Customer,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
TR85083,61085,70,27,34,1,1
EO95328,89284,67,7,31,3,2
EN21086,0,63,6,12,0,2
YL83902,31686,81,11,33,0,1
AZ62651,56855,255,12,1,0,1
ZW25874,53703,67,3,45,2,1
EH41854,0,96,12,35,1,2
MW70227,20396,76,15,60,1,4
SL22297,27679,150,30,28,0,3
RV14138,23904,123,1,67,3,1
UO62808,65351,69,4,54,0,1
ZX64745,0,113,20,1,0,7
FL34139,0,63,0,54,3,7
TS11219,0,116,14,35,0,2
XX12304,64459,72,16,64,0,1
SD64087,32961,190,13,53,0,3
OY38576,71416,116,10,0,0,3
BG76355,68964,78,15,6,0,3
IP66913,78108,98,12,34,0,1
LE95702,10621,67,28,22,0,5
KX54357,84910,95,4,69,0,2
EZ78112,77493,70,2,35,0,3
XN16891,81097,74,7,67,0,1
XK31350,96610,85,6,23,0,3
CC30924,30110,159,20,71,0,1
IT78748,22081,84,1,9,0,6
KY33386,0,112,12,93,0,3
CO44221,98473,72,19,69,0,1
LK60013,97431,74,1,72,0,3
DE21533,93870,69,1,96,0,8
YS94121,50366,72,9,5,0,9
UK68427,34498,83,30,72,0,7
TE49565,16552,103,23,53,0,2
RA88421,26787,77,7,50,0,5
KQ51983,0,74,2,42,0,9
CD88896,43860,65,15,58,0,1
YV22553,21474,114,13,72,2,9
WU14435,18174,66,8,16,0,9
XV84099,0,73,18,45,0,5
RI24911,60920,64,10,61,0,2
KO26461,41520,90,18,70,0,2
HI14283,0,152,12,89,0,1
PT50227,0,68,19,16,0,8
BH36570,72208,73,3,84,0,8
TX17484,53863,63,12,30,0,2
CT41158,66446,136,8,77,0,3
AO87348,0,61,18,26,0,1
DE55857,64997,63,7,99,1,1
LF66923,64460,66,18,42,0,3
CN24514,46618,67,22,77,0,2
UW32074,0,64,13,64,0,4
HP36979,49988,84,6,37,5,5
PP40919,0,91,2,8,5,1
RO73268,16269,86,6,84,0,1
HO61691,72006,64,4,38,0,3
BS13062,0,81,3,60,2,2
FO35655,0,245,34,83,0,1
HR10526,44320,67,13,79,0,2
IA63417,19782,108,13,66,0,1
BH35016,63933,70,35,98,0,2
PK52952,28224,109,13,13,0,8
OD76309,21073,106,25,54,1,3
IL28481,63243,77,21,73,0,3
GY55092,20993,133,35,90,0,1
UF33451,94827,135,5,64,0,4
CF15558,39161,63,18,83,1,4
JM62924,37534,84,2,0,2,2
EM66435,80210,65,30,28,0,1
QX45933,0,62,32,59,0,2
JI71369,30110,64,2,4,0,5
JU93290,21708,68,28,77,0,2
GU66096,94731,67,23,65,0,4
UC33108,32375,83,17,83,0,6
LW93867,16531,63,0,40,0,4
OU78470,32006,94,28,7,0,2
XW90265,81676,72,21,86,0,8
HS67749,71038,86,15,56,0,3
VZ51506,0,103,20,43,0,1
UI64281,20832,65,8,32,0,2
AE98193,0,113,19,10,0,7
AZ74055,52405,103,2,27,0,1
XS76911,0,133,3,89,0,1
AY40674,26583,128,6,46,4,1
NA12740,25486,65,15,53,0,3
UA84837,24065,111,30,1,0,5
DJ51510,70435,116,0,50,0,4
VM58985,0,76,33,36,2,2
OH60605,39679,92,2,85,0,1
UO98052,0,89,13,45,0,5
NC53424,0,69,21,70,4,3
LQ13873,53565,71,27,34,1,6
LA97014,37574,66,19,14,1,1
NB79936,48259,108,14,79,0,3
NT89061,78532,78,25,87,0,3
AF10970,96163,73,23,90,0,3
ZG48513,0,72,0,86,0,7
JQ59145,0,114,9,72,1,5
FE84989,72672,63,7,39,0,5
JT52858,99002,112,33,75,1,8
MC62068,79494,91,19,30,0,3
EU27538,35704,225,21,35,0,8
RH42306,0,71,6,5,0,3
US23612,26049,118,17,6,0,6
WV76014,70125,64,21,77,0,1
RK96223,52369,110,34,49,1,2
MF82000,0,66,25,51,2,1
FM46980,41770,72,0,60,0,9
SY56792,0,101,16,88,0,8
RF61565,31911,67,33,27,0,1
IM94808,70051,68,15,69,0,8
VI14730,19683,117,17,41,1,9
YR34119,30916,112,7,65,0,2
RR77985,0,80,24,95,0,1
VC22097,0,118,14,64,0,4
WV17090,0,116,0,45,0,2
TM23514,60145,132,8,28,0,3
MQ68407,63774,111,18,63,0,1
GJ59592,25134,67,3,0,0,6
FY56083,37057,61,5,48,1,6
UA94723,58577,110,6,62,0,1
FW91032,85857,73,3,19,0,6
DE34457,70602,116,8,47,0,3
HD32044,33816,106,10,97,2,3
HH30454,0,153,7,75,0,2
AH84063,89642,121,11,20,4,1
QA17596,60068,98,17,75,0,1
XI41052,50044,139,16,14,0,1
DI30528,36650,69,2,70,1,1
SC66359,50653,110,29,42,0,1
EN61670,68931,66,32,30,0,7
DQ10761,0,73,14,39,1,1
BQ51587,0,73,1,22,0,5
JE21522,39266,80,33,31,0,2
WS47147,0,102,35,48,0,2
ZA64638,0,98,24,11,1,2
EW38459,40864,65,2,75,0,1
QW87316,39035,68,15,65,0,1
IC43478,34923,98,23,82,0,2
TE34064,0,63,1,56,0,1
WU60905,0,111,27,36,0,9
YM18992,24506,71,7,47,0,1
PD55753,0,82,25,63,0,2
KU56006,52220,70,17,42,1,5
MJ69973,0,74,17,73,0,1
TW43626,53554,67,6,5,0,2
XX84133,34476,67,23,49,1,3
ZW84453,0,70,1,11,0,5
HO29524,68205,76,35,14,0,1
VE89726,0,119,6,48,1,8
GE87503,53690,154,20,97,0,2
PX90263,0,72,2,22,0,5
NI17718,0,61,28,31,0,1
FY32213,74454,71,25,29,0,3
RZ13254,0,73,23,91,0,2
GN45013,29664,71,1,69,0,3
UB16654,15680,64,20,29,0,8
KU84464,47272,79,17,17,3,2
YH43527,21585,92,35,61,0,1
RO30676,23827,106,18,77,2,3
QL59704,69906,74,34,32,2,2
QH19450,0,72,7,77,0,1
HR85211,89879,63,17,20,0,3
UV54502,0,69,9,89,0,1
WB38524,46131,74,27,28,0,1
CE56187,54514,109,5,36,3,1
JL19416,0,161,29,1,0,1
JZ61422,96668,66,2,95,0,3
LA13377,78879,69,9,67,1,4
NC99948,0,69,21,86,0,2
QD34785,0,76,8,44,0,3
RO26085,0,112,28,30,0,2
ES57969,29735,69,3,92,0,1
JK55587,23082,65,18,90,0,7
RN97635,53984,80,15,62,0,1
BI76326,52135,156,6,86,0,9
JA34909,17576,71,29,70,0,1
OJ90342,29486,62,19,73,0,1
CM88932,58557,88,4,83,0,1
JJ97525,25632,63,27,52,0,7
XV21647,0,112,7,42,0,9
MC83487,18768,68,19,53,3,3
BL90769,33190,106,18,95,0,2
CR57148,47945,74,32,39,0,3
CP85232,58778,126,6,62,0,2
YL74732,15192,100,1,7,0,1
FG16766,51859,171,0,21,0,1
NV55438,23422,72,25,76,0,3
RM10880,21604,79,14,28,0,1
GL56175,79298,90,22,2,0,1
UK52289,76731,64,2,68,0,1
LL45497,67282,62,29,27,0,1
BC62782,48534,115,29,79,1,2
YM57893,77678,116,32,81,0,1
JP30654,48412,104,15,23,0,2
RA66180,33837,72,29,54,4,1
EN60878,23712,85,2,20,0,3
JF36291,28142,105,18,50,0,1
BK59444,72196,68,8,61,0,2
MK70700,68197,69,1,81,0,3
IW71076,75248,63,13,71,0,5
AP98768,0,98,9,50,0,2
OM24164,0,65,5,19,1,1
QP84605,41546,111,4,47,0,3
VC87846,46998,96,13,98,0,6
ZM92052,57099,67,20,37,0,1
ON73702,33897,114,15,67,0,8
QQ90441,59207,116,23,21,0,2
HU35721,40171,73,8,78,0,1
XH85336,67798,69,1,78,0,9
ZH17561,21665,136,0,25,0,1
AG85615,0,87,9,75,0,2
OY74069,0,67,12,67,5,7
DJ91267,34226,244,29,22,0,2
KB72438,65989,123,4,43,1,2
TR67616,30686,61,22,45,0,3
GF65731,0,113,15,6,0,2
HB67642,20090,109,10,59,0,2
DP84567,0,183,6,16,0,2
VV77534,77094,176,25,29,0,5
GL67540,97413,73,21,80,0,6
SV50502,79189,69,6,97,0,4
UK59698,0,62,5,31,0,1
OA57352,18577,86,21,76,0,6
ZF84449,0,112,7,34,1,1
VH31965,40783,67,13,43,1,9
HG39060,0,74,34,51,0,4
EM29359,17483,183,24,63,0,1
SF57173,84394,114,9,38,0,1
OT47603,0,127,3,93,0,3
SW31412,41440,62,20,80,1,2
JS36322,0,136,14,69,1,8
RE81445,98132,71,10,61,0,3
RM24280,0,112,4,49,0,1
LC25393,88220,230,28,63,0,2
UX38930,58327,129,31,5,0,3
HD95496,25950,66,27,1,0,2
RX24650,20993,133,35,90,0,1
DW19309,65726,177,35,90,0,7
EG48956,0,63,35,59,3,3
UF88986,39783,72,28,43,0,1
DB42794,58842,110,6,74,0,1
JB50798,25629,124,3,70,2,6
JY45873,48567,130,12,15,0,1
TE35785,0,196,0,73,2,1
CM55703,33746,74,1,6,1,1
QN65180,22254,79,22,75,0,2
GE47180,65974,113,3,43,0,3
VQ38776,0,76,18,63,0,3
ZY90118,17161,113,1,22,1,1
IN17648,0,74,1,62,0,7
DF95759,0,132,9,85,0,6
QG45324,0,73,9,14,0,2
MN61620,67752,131,4,40,4,9
YH86390,25398,64,30,80,0,6
FY13480,0,88,30,19,0,4
YH61661,33321,105,6,2,0,3
NL93182,0,78,13,32,0,1
UM45563,68798,114,19,69,0,1
WE68644,20325,100,4,6,0,1
EZ30498,13129,117,15,93,0,6
QY74517,0,73,24,57,0,4
NM88660,49080,91,14,68,0,1
MZ82036,42536,63,30,57,0,6
ID20929,29926,74,25,34,0,1
EY50028,0,86,5,55,0,1
TT82373,21450,138,15,35,0,4
OH64088,33345,65,32,52,0,2
SK97780,15752,90,27,37,0,2
IO33050,40169,65,1,47,1,3
XA55917,26049,113,10,15,1,9
JK32620,0,68,3,4,0,1
RQ19236,55411,100,24,53,0,4
QC47433,12459,70,4,41,0,1
RA93608,64620,76,24,32,1,2
XH97711,83140,61,25,70,0,1
AU96286,0,92,20,50,0,1
KC17170,54422,68,9,8,0,5
ZN47335,68309,131,4,67,0,9
EI46264,56621,65,27,36,2,1
EK87864,38977,70,27,22,0,1
GV45403,0,111,32,13,0,3
QK31192,0,114,12,43,0,1
LU89008,0,83,35,87,0,8
NS10490,83235,70,16,33,0,2
KL98495,0,74,7,93,0,2
IU96845,32390,80,20,36,0,8
QL93655,66538,95,14,64,0,2
QZ42725,0,64,12,24,0,1
LZ34046,76358,66,25,3,0,2
ZH19885,43860,65,15,58,0,1
YE88490,55350,67,0,13,0,9
YC80498,12964,65,2,37,0,4
AI85843,33288,86,1,27,2,9
XD66024,0,84,31,25,0,3
FY51713,56168,88,13,20,0,1
PH26378,0,92,3,28,0,4
WQ18638,23105,69,15,21,0,3
KY14688,36218,68,6,83,0,1
TC97762,52275,62,6,88,0,5
QC87108,49665,74,5,51,0,2
CX12134,32471,110,0,87,0,1
SM73248,0,86,12,89,1,2
CK19789,62773,73,19,57,0,9
UV12583,76694,117,34,23,0,1
JC11405,55687,276,33,91,0,1
KA89683,0,70,20,81,0,1
BG85305,36633,96,20,61,1,1
UQ87917,77060,106,23,90,0,2
XN11823,92600,94,9,48,0,1
OS46571,0,66,2,75,0,2
PX17116,0,111,6,24,2,1
RP19541,64801,64,23,19,0,2
ZR25747,45257,103,33,90,0,4
NQ86532,26854,66,31,70,0,1
JY27336,85840,102,14,79,2,4
PB54378,26463,72,28,93,0,2
SV38190,30689,81,23,51,0,5
CV24005,29590,66,17,18,0,1
EX28656,25965,253,15,59,0,1
CF57022,17269,139,3,31,0,5
GM16780,90330,137,0,86,3,2
BX94438,0,113,34,5,0,8
RM41745,0,110,20,66,0,7
XR70252,0,67,2,49,1,3
YH92099,18558,80,17,23,0,1
SG81493,46384,113,33,93,0,1
ZX23819,0,72,1,77,0,2
FJ54907,42303,180,24,66,0,1
CU26127,71731,130,12,50,0,2
YH60476,51066,74,23,0,0,8
ZZ97035,0,203,20,66,0,2
GE82737,0,86,19,93,3,5
KY21873,0,69,16,45,0,6
UA51318,26173,68,2,10,1,9
BV55014,24445,63,18,15,0,2
HX21307,72302,66,6,27,0,1
LQ68252,27208,102,10,65,0,1
CR92802,36650,69,2,70,1,1
SL35268,30855,68,7,15,0,7
RD62882,0,95,13,20,0,5
JS42382,99960,76,19,83,0,4
BT30554,0,98,1,15,0,2
VP57424,55873,88,30,19,0,6
VU19243,18052,111,5,71,0,1
TA82973,28937,104,28,23,2,6
GK71720,0,86,34,80,0,5
OQ61223,0,73,9,94,0,2
LL62746,12829,118,33,1,0,9
JQ56711,92163,73,3,79,0,6
AW77988,17588,192,24,92,0,2
HF75891,82302,106,11,92,0,1
MY97912,0,127,19,40,0,2
IB87349,70340,113,5,56,0,1
AW73065,0,74,35,59,0,1
HI74419,50825,102,3,46,0,3
PX70175,93459,99,9,85,0,5
KF75098,86148,65,19,51,2,4
IS50283,27048,72,5,85,0,4
MY64920,73259,115,7,31,0,4
KN34250,35482,129,21,59,0,3
GN46207,29462,107,28,23,1,1
KL57176,67801,115,12,45,1,1
MN94234,0,94,34,59,4,1
JY90595,16042,73,33,58,0,9
HK26543,28056,64,32,41,1,8
PN86062,16495,85,25,75,3,1
VW27730,41163,108,11,66,0,3
SH55671,0,161,3,71,1,9
MO56878,33799,109,28,52,3,2
QP80741,0,61,17,71,3,2
SV35618,87747,147,3,87,1,1
RX12347,35695,90,2,7,0,1
FR55658,90985,87,33,39,0,1
XS12556,0,101,19,16,0,1
ZU73588,66839,154,33,24,0,1
WT43034,0,165,16,43,0,3
VM13430,79090,107,2,74,0,3
TC78849,24825,64,34,44,0,1
VC34764,26806,63,32,19,0,2
WO90953,56835,67,25,16,0,3
IU47468,0,88,12,54,0,6
KO46064,46135,69,12,68,0,1
RB34917,0,73,21,87,0,4
BI38192,22862,67,9,40,0,2
PU18983,21450,110,8,80,2,3
SW79912,95854,65,16,78,0,1
ES39217,44897,99,22,46,1,7
OY51402,54040,103,14,88,0,4
UA19178,53265,62,12,27,0,3
PR53785,0,198,18,55,1,1
RJ85627,43817,62,25,12,1,2
CN90378,54780,88,22,72,3,5
KI56154,0,119,9,8,0,3
UI55951,67798,69,1,78,0,9
FF28650,21442,118,32,84,0,3
FS55302,27615,62,19,18,1,1
TN79487,17622,65,1,36,1,3
HG32616,50200,135,23,98,0,1
UK41984,0,112,3,51,2,1
LZ52266,0,96,31,34,0,1
PM27367,73570,70,0,46,1,1
ZK21724,0,111,4,85,0,1
QV59143,0,106,11,15,0,6
QE22757,36631,62,30,77,0,1
ON77649,35895,73,11,51,0,1
RN82884,40864,109,16,70,1,1
CQ75652,0,118,15,77,0,4
FF58467,93018,63,5,90,0,3
BS83666,70014,62,6,4,0,2
WO29605,48875,61,20,9,0,1
TL77607,67969,74,11,14,0,2
EZ50606,0,108,8,55,0,2
OS39723,68665,69,33,67,0,7
FN69743,26802,66,7,43,1,5
XW96958,0,110,6,37,0,6
TU92578,45345,125,0,73,0,2
IJ50779,17101,113,1,88,0,2
YE68736,32051,193,4,40,1,1
OB96537,81139,74,22,69,0,3
EU68825,63834,100,23,19,1,3
CC31456,37548,81,12,9,0,3
DJ77787,0,69,28,28,3,2
LN26837,72421,65,8,23,0,1
YI92916,83102,116,15,35,0,1
NW54906,28432,118,1,59,0,2
ME77513,83707,108,2,72,0,7
UK76891,63259,65,25,14,0,7
SI26888,0,67,18,73,0,8
YD74948,63860,62,26,81,0,1
CA86085,67176,72,20,90,0,9
BW52697,86132,68,30,10,0,3
NL41409,28519,66,1,56,0,1
OD69005,39102,88,11,98,0,2
ZZ91716,0,89,17,56,0,1
UK70255,97298,128,16,38,0,2
QT25383,41986,84,25,31,2,5
AW18068,0,88,6,47,0,2
NS45347,17291,73,3,25,0,5
FV19421,0,74,0,52,0,2
XW89091,37256,62,15,7,0,2
YC11951,96306,95,12,17,1,6
UY18770,14290,271,20,40,0,1
RA49085,37038,71,6,97,1,1
BG84194,90760,103,5,7,2,1
GM62071,20668,188,34,54,3,2
MR67738,54480,67,19,91,0,1
DM95829,16244,68,4,85,0,1
DB75522,22436,89,24,21,0,3
RZ27571,25544,68,18,30,0,1
WW30771,28728,67,8,10,0,1
QP65569,57449,103,6,28,0,2
TN50051,83318,73,21,42,0,1
GT62080,55561,63,2,79,0,2
JA41698,0,102,18,32,5,1
NX18774,55308,107,17,74,0,6
DA69469,36068,97,0,10,0,2
CN23147,48804,112,1,4,1,2
RA68844,0,131,6,52,0,6
GH42026,55790,111,4,40,0,9
BD16530,70258,69,20,65,0,2
JH91579,0,95,13,20,0,5
WK23685,47274,83,32,26,1,5
ZJ18419,0,78,27,10,0,8
PI78084,0,73,26,84,0,3
ZF40671,15818,107,24,99,0,2
UG34438,44552,137,7,42,0,3
UK25655,64348,86,25,18,0,1
QR45101,0,62,27,53,0,2
EL93539,88997,72,9,71,0,3
DG80424,77411,67,30,63,0,1
DP46882,10312,78,10,63,0,1
WP41146,0,72,4,11,1,7
TK60799,96263,103,5,5,0,1
DN29808,28919,72,18,11,0,1
SS59521,0,68,2,28,1,4
NG66579,41869,64,5,52,0,6
TC14209,0,128,5,76,0,8
ED50963,32808,68,1,88,1,1
GP40701,79780,68,11,58,0,2
CP98451,91025,112,26,37,0,9
NX52648,33043,95,15,90,0,1
ZC32510,69442,118,26,6,3,3
NG27780,0,70,18,47,0,1
HN95240,0,70,25,48,0,9
EB59129,47234,65,11,34,0,1
RA70851,86863,92,27,26,0,3
PM19162,25805,66,25,0,2,2
MS59005,43676,76,19,7,0,3
SU71163,59855,74,30,82,4,1
BD35676,35296,126,19,11,0,2
NI44621,36576,125,11,73,1,3
EW33419,28513,100,4,22,1,2
HX44948,85448,72,16,76,0,3
DL36983,23791,110,11,71,3,7
XR87264,20597,112,31,46,0,1
NN99001,56940,87,11,10,0,9
XV95530,93210,71,35,62,0,2
OL97871,48992,94,30,0,1,7
HQ23708,53736,71,2,20,0,2
WR63188,25378,66,22,32,1,2
NG82219,76731,64,2,68,0,1
GB33195,0,64,11,85,0,1
RE46783,69379,103,14,79,0,1
RU94434,57449,103,6,28,0,2
GI82355,0,68,7,31,0,7
VO26340,0,93,30,70,0,6
NV61299,33806,89,32,59,0,2
PT64580,77048,103,20,41,0,1
CY50337,74965,90,20,93,0,2
TJ20375,34095,63,5,99,0,2
EP72155,0,66,16,35,4,1
JJ76159,96045,61,24,35,0,1
BG15419,86355,118,27,86,0,2
AO74776,27824,118,32,9,0,8
HQ82233,42995,101,10,22,0,2
OL72737,21235,79,18,56,0,1
ZQ59828,74585,106,1,49,0,1
NZ15548,41833,103,28,43,0,1
XK61304,23908,70,18,57,0,4
EJ44139,0,65,9,31,0,2
CM94425,61953,113,5,63,0,1
OV54878,0,142,5,87,0,1
JF57282,0,137,25,45,0,1
MY37953,73760,107,16,3,1,2
XP64922,23333,74,8,43,0,1
WL65572,0,61,6,30,0,1
LN50325,20440,128,11,54,2,9
MP53505,86073,136,3,32,0,1
KH59823,50943,139,18,14,0,1
YM79169,19003,71,29,21,0,1
DR38127,46703,108,0,48,0,6
PU42145,14072,71,13,3,0,2
KM33477,21733,73,17,37,0,2
RI53167,20811,61,33,61,0,1
OF77789,11904,61,34,11,2,3
YB33445,43490,114,24,63,4,6
BA17836,57340,67,7,19,0,2
JS43228,49088,97,4,46,0,3
BB11622,47761,131,2,54,0,6
UG79499,70930,99,2,21,0,2
WK88044,61281,110,7,16,0,7
LA80525,0,82,4,77,1,3
EH16250,25290,66,0,4,0,2
PU41872,24239,88,25,5,0,8
HB85743,82664,114,24,10,3,9
MM71959,83210,110,0,25,0,3
MB83663,38736,81,7,35,0,2
KR43119,0,66,0,10,0,9
KH24214,55437,64,5,78,1,2
HD95276,0,130,0,93,0,1
HP55391,0,71,33,83,0,3
EG62398,29066,100,13,51,0,3
VS19949,54337,72,27,7,0,1
AM92343,67616,96,25,17,0,2
GI68556,41082,63,23,94,0,2
JT11876,0,73,12,71,0,4
XR64251,36650,69,2,70,1,1
MK34957,50631,112,19,12,4,2
GP18756,19592,92,31,63,0,2
AP23850,0,114,30,1,0,2
KQ65521,55761,115,22,73,0,2
EJ19449,17576,71,29,70,0,1
QB70027,41449,89,15,45,0,5
QW47320,14290,271,20,40,0,1
KH64733,62007,73,4,7,0,3
ON59472,21921,206,14,44,0,3
HP94242,42621,66,8,3,0,3
RV15398,0,87,16,41,1,2
EA25683,63786,196,30,81,0,1
PW73754,0,104,1,48,3,7
MC71942,82877,99,8,89,1,3
OX72195,0,63,0,75,0,1
YQ99152,10475,88,13,81,1,2
KI19439,21952,66,20,31,0,6
PM76175,49721,132,18,49,0,2
US45383,88340,102,16,1,0,2
GT38956,0,65,7,28,0,1
SN41301,0,65,14,62,0,2
BE62503,24589,82,33,39,0,2
PA16884,69379,103,14,79,0,1
NC58480,73769,61,24,95,2,3
NS39326,66670,114,23,6,0,1
PN18507,88854,118,6,50,0,2
EK91340,31266,193,6,79,0,1
JY16280,43860,65,15,58,0,1
