Customer,state,response,coverage,education,effective_to_date,employment_status,gender,location_code,marital_status,policy_type,sales_channel,vehicle_class
UB61619,Oregon,No,Premium,Master,2/28/11,Disabled,F,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
CD86811,Arizona,Yes,Basic,Bachelor,1/2/11,Retired,M,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
RU83859,California,No,Premium,Bachelor,1/22/11,Medical Leave,F,Suburban,Married,Personal Auto,Call Center,Two-Door Car
FG63582,Oregon,No,Extended,Bachelor,1/15/11,Unemployed,M,Suburban,Single,Personal Auto,Agent,Two-Door Car
NN71951,California,No,Basic,High School or Below,1/27/11,Employed,F,Rural,Married,Personal Auto,Agent,SUV
WB37082,Arizona,No,Basic,Bachelor,1/23/11,Unemployed,F,Suburban,Single,Personal Auto,Branch,Four-Door Car
SM52139,Washington,No,Basic,College,1/31/11,Employed,M,Suburban,Married,Personal Auto,Web,Four-Door Car
FL82372,Oregon,No,Basic,College,1/26/11,Employed,F,Suburban,Divorced,Corporate Auto,Agent,SUV
DP45816,Arizona,No,Extended,High School or Below,1/10/11,Employed,F,Urban,Married,Personal Auto,Branch,Two-Door Car
GW33762,Oregon,Yes,Extended,Bachelor,1/27/11,Unemployed,F,Suburban,Divorced,Personal Auto,Call Center,Two-Door Car
RZ33670,California,No,Premium,College,1/9/11,Disabled,F,Suburban,Married,Personal Auto,Web,Four-Door Car
PY70169,Oregon,No,Basic,High School or Below,2/24/11,Employed,M,Rural,Divorced,Personal Auto,Agent,SUV
MO91628,Oregon,No,Basic,Master,2/11/11,Employed,M,Rural,Married,Personal Auto,Web,Two-Door Car
HW87852,Oregon,No,Basic,Master,2/12/11,Medical Leave,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
HB20453,Oregon,No,Basic,Bachelor,2/4/11,Unemployed,M,Suburban,Single,Personal Auto,Agent,Sports Car
BN87372,Oregon,Yes,Basic,Bachelor,1/18/11,Employed,M,Suburban,Divorced,Personal Auto,Branch,Two-Door Car
YX23800,Oregon,No,Basic,Bachelor,2/11/11,Employed,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
DZ87709,Oregon,No,Basic,High School or Below,2/1/11,Employed,F,Rural,Single,Personal Auto,Call Center,Four-Door Car
XW13033,Nevada,No,Basic,College,2/15/11,Employed,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
LN31673,Washington,No,Extended,College,2/6/11,Employed,M,Rural,Married,Personal Auto,Agent,Four-Door Car
OM82309,California,No,Basic,Bachelor,2/27/11,Employed,M,Rural,Single,Personal Auto,Branch,Luxury Car
ZU35962,California,No,Extended,College,1/26/11,Unemployed,F,Rural,Single,Personal Auto,Branch,Two-Door Car
VH85817,California,Yes,Basic,High School or Below,2/26/11,Employed,M,Suburban,Single,Personal Auto,Call Center,Four-Door Car
DT85712,California,No,Basic,Doctor,1/27/11,Employed,M,Suburban,Married,Personal Auto,Branch,SUV
YJ88573,Nevada,No,Basic,Master,1/16/11,Employed,M,Suburban,Married,Personal Auto,Call Center,Four-Door Car
SQ19467,Oregon,No,Extended,College,1/27/11,Disabled,F,Suburban,Single,Personal Auto,Agent,Four-Door Car
HF88410,Washington,No,Basic,High School or Below,2/28/11,Employed,M,Suburban,Married,Personal Auto,Call Center,Four-Door Car
ET79815,California,Yes,Extended,College,1/25/11,Retired,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
QC35222,California,No,Basic,Bachelor,1/1/11,Employed,F,Urban,Married,Corporate Auto,Web,Four-Door Car
CJ15590,Oregon,No,Basic,Bachelor,2/1/11,Employed,F,Suburban,Divorced,Personal Auto,Branch,Four-Door Car
OI48267,California,Yes,Extended,College,2/19/11,Employed,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
JY67916,Oregon,No,Premium,College,1/27/11,Medical Leave,M,Suburban,Married,Personal Auto,Branch,Two-Door Car
OE75231,Washington,Yes,Extended,Bachelor,2/27/11,Employed,F,Suburban,Married,Corporate Auto,Call Center,Two-Door Car
CZ33664,Oregon,No,Basic,Bachelor,1/17/11,Employed,F,Rural,Married,Corporate Auto,Agent,Four-Door Car
WK30175,Oregon,No,Basic,Bachelor,2/10/11,Employed,M,Suburban,Married,Corporate Auto,Branch,Two-Door Car
ON44465,California,No,Extended,High School or Below,1/24/11,Unemployed,F,Suburban,Single,Personal Auto,Agent,Four-Door Car
TV87155,Oregon,No,Basic,Bachelor,2/24/11,Employed,F,Suburban,Married,Personal Auto,Branch,Four-Door Car
KH48895,Arizona,No,Basic,Master,2/15/11,Medical Leave,F,Rural,Married,Personal Auto,Branch,SUV
NZ30757,California,No,Basic,Bachelor,2/16/11,Medical Leave,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
RI22468,Arizona,No,Basic,Bachelor,1/22/11,Employed,F,Urban,Married,Personal Auto,Web,Four-Door Car
FZ30935,Oregon,No,Extended,College,2/25/11,Employed,M,Suburban,Married,Personal Auto,Agent,Two-Door Car
UG93476,California,Yes,Basic,College,1/11/11,Unemployed,F,Suburban,Married,Personal Auto,Agent,SUV
AB96670,California,Yes,Basic,College,1/31/11,Unemployed,M,Suburban,Single,Personal Auto,Branch,Four-Door Car
XK64261,Oregon,No,Basic,Bachelor,1/12/11,Employed,M,Rural,Single,Corporate Auto,Call Center,Two-Door Car
EV68375,California,Yes,Premium,College,2/16/11,Employed,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
UN51653,California,No,Extended,High School or Below,2/9/11,Unemployed,F,Suburban,Single,Personal Auto,Web,SUV
TO96662,Oregon,No,Extended,Bachelor,1/19/11,Employed,F,Rural,Married,Personal Auto,Call Center,Four-Door Car
MR52087,California,No,Basic,Bachelor,1/4/11,Employed,F,Rural,Married,Personal Auto,Branch,Four-Door Car
DE75225,Oregon,No,Basic,High School or Below,1/9/11,Unemployed,M,Suburban,Married,Personal Auto,Agent,SUV
EP80820,California,No,Basic,Bachelor,1/27/11,Employed,F,Rural,Married,Personal Auto,Agent,Two-Door Car
GU99037,Oregon,No,Basic,College,2/14/11,Employed,M,Urban,Married,Corporate Auto,Agent,Four-Door Car
WI57118,California,No,Extended,College,2/27/11,Employed,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
YQ74870,Washington,No,Extended,High School or Below,2/12/11,Employed,M,Suburban,Divorced,Corporate Auto,Web,Four-Door Car
MQ14219,Arizona,No,Basic,College,2/26/11,Employed,M,Suburban,Married,Personal Auto,Branch,SUV
KN20603,Oregon,No,Basic,Bachelor,2/20/11,Employed,M,Suburban,Single,Personal Auto,Agent,Four-Door Car
CR48975,Washington,No,Basic,High School or Below,2/2/11,Employed,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
JI70886,California,No,Basic,High School or Below,2/15/11,Unemployed,M,Suburban,Married,Corporate Auto,Agent,SUV
VF72557,Oregon,Yes,Extended,High School or Below,2/18/11,Retired,M,Suburban,Divorced,Personal Auto,Agent,SUV
OX28638,Arizona,No,Extended,High School or Below,1/21/11,Employed,M,Suburban,Married,Personal Auto,Branch,Two-Door Car
SK55033,California,No,Basic,Bachelor,1/15/11,Employed,F,Suburban,Single,Personal Auto,Agent,Two-Door Car
OO88645,California,No,Extended,College,2/5/11,Employed,F,Urban,Married,Corporate Auto,Call Center,Four-Door Car
YT36855,Washington,No,Extended,College,2/24/11,Unemployed,M,Suburban,Married,Personal Auto,Web,Two-Door Car
CW82151,California,No,Basic,Bachelor,1/5/11,Employed,M,Rural,Married,Personal Auto,Call Center,Sports Car
DY22043,Oregon,No,Basic,High School or Below,1/28/11,Employed,F,Suburban,Married,Personal Auto,Branch,Two-Door Car
SH36774,California,No,Basic,High School or Below,1/12/11,Employed,M,Suburban,Single,Personal Auto,Web,Luxury SUV
EM43724,Nevada,No,Basic,Bachelor,2/16/11,Employed,F,Rural,Married,Personal Auto,Agent,Four-Door Car
FH85960,Oregon,No,Premium,College,1/3/11,Employed,M,Suburban,Divorced,Personal Auto,Call Center,Four-Door Car
XA55993,Oregon,No,Extended,Master,2/7/11,Employed,F,Rural,Single,Personal Auto,Branch,Four-Door Car
GO36627,Arizona,No,Extended,College,1/13/11,Employed,M,Urban,Married,Special Auto,Branch,Four-Door Car
QH48047,Oregon,Yes,Basic,College,1/3/11,Retired,M,Suburban,Divorced,Personal Auto,Web,Four-Door Car
RB50392,Washington,No,Basic,Master,2/17/11,Unemployed,F,Rural,Married,Personal Auto,Agent,Four-Door Car
UH65059,Arizona,No,Basic,High School or Below,1/21/11,Employed,M,Suburban,Married,Personal Auto,Agent,Sports Car
FV21968,Nevada,No,Basic,Bachelor,1/26/11,Employed,F,Rural,Married,Special Auto,Branch,Four-Door Car
QA87025,Oregon,No,Basic,Bachelor,1/31/11,Employed,F,Urban,Married,Personal Auto,Call Center,Four-Door Car
TQ13499,Arizona,No,Premium,College,1/2/11,Employed,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
BU44523,Arizona,No,Basic,High School or Below,2/7/11,Unemployed,F,Suburban,Single,Corporate Auto,Web,Four-Door Car
MS41162,Arizona,No,Basic,High School or Below,1/26/11,Unemployed,M,Suburban,Single,Personal Auto,Agent,SUV
PU25891,Oregon,No,Basic,High School or Below,1/11/11,Employed,F,Rural,Married,Special Auto,Branch,Sports Car
RB81636,Washington,No,Basic,College,1/15/11,Unemployed,F,Suburban,Single,Personal Auto,Agent,Four-Door Car
SX26335,Oregon,No,Extended,College,2/8/11,Employed,F,Urban,Married,Personal Auto,Branch,Four-Door Car
AZ95587,Arizona,No,Extended,Bachelor,1/11/11,Employed,F,Urban,Single,Special Auto,Branch,Four-Door Car
DS81757,Oregon,No,Basic,College,1/9/11,Unemployed,M,Suburban,Single,Personal Auto,Web,Two-Door Car
OJ94107,Arizona,No,Premium,Master,2/4/11,Employed,M,Urban,Married,Personal Auto,Call Center,SUV
LP84436,California,No,Extended,High School or Below,1/21/11,Unemployed,F,Suburban,Single,Personal Auto,Branch,Sports Car
YV64727,Washington,No,Premium,High School or Below,2/16/11,Employed,M,Suburban,Married,Corporate Auto,Agent,SUV
LM19287,Oregon,Yes,Extended,High School or Below,2/24/11,Unemployed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
ZU18643,Nevada,No,Extended,Bachelor,1/18/11,Employed,M,Urban,Married,Corporate Auto,Web,Four-Door Car
AZ82578,California,No,Basic,College,1/30/11,Unemployed,F,Suburban,Married,Corporate Auto,Call Center,Four-Door Car
XC67861,Arizona,No,Basic,Bachelor,1/9/11,Employed,F,Suburban,Divorced,Corporate Auto,Call Center,Two-Door Car
YC43143,Arizona,No,Extended,High School or Below,2/1/11,Employed,F,Rural,Married,Personal Auto,Web,Four-Door Car
EK59571,Oregon,Yes,Premium,College,2/28/11,Unemployed,M,Suburban,Married,Corporate Auto,Branch,Four-Door Car
GD83998,Washington,No,Basic,Bachelor,1/31/11,Employed,M,Suburban,Single,Personal Auto,Branch,Four-Door Car
WA25797,Washington,Yes,Basic,High School or Below,2/17/11,Employed,M,Rural,Married,Personal Auto,Agent,Sports Car
PD27940,Arizona,No,Extended,High School or Below,2/12/11,Disabled,M,Suburban,Married,Personal Auto,Agent,SUV
BS77946,Arizona,No,Extended,Bachelor,2/24/11,Medical Leave,F,Rural,Married,Personal Auto,Branch,SUV
YM50253,California,No,Basic,Bachelor,2/1/11,Employed,F,Urban,Single,Personal Auto,Branch,Four-Door Car
NR15332,California,No,Basic,High School or Below,2/6/11,Employed,M,Suburban,Married,Personal Auto,Web,Four-Door Car
RC62865,Oregon,No,Extended,College,1/23/11,Employed,M,Rural,Single,Personal Auto,Agent,Four-Door Car
CC15295,Oregon,No,Extended,Bachelor,1/21/11,Employed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
KA61892,Arizona,Yes,Basic,College,1/20/11,Retired,M,Suburban,Married,Personal Auto,Agent,Sports Car
OS94884,Arizona,No,Basic,Bachelor,1/6/11,Employed,F,Rural,Married,Personal Auto,Web,Two-Door Car
ND87334,California,No,Basic,High School or Below,2/22/11,Unemployed,M,Suburban,Married,Corporate Auto,Agent,Two-Door Car
ML93326,Washington,No,Basic,College,2/27/11,Employed,F,Urban,Married,Personal Auto,Agent,SUV
YL74911,California,Yes,Basic,College,2/21/11,Unemployed,F,Suburban,Divorced,Personal Auto,Agent,SUV
JP69864,Washington,Yes,Basic,Bachelor,1/29/11,Retired,F,Suburban,Single,Personal Auto,Branch,Four-Door Car
HL53154,California,No,Extended,Bachelor,2/22/11,Unemployed,M,Suburban,Single,Personal Auto,Agent,Four-Door Car
RI78966,Oregon,No,Basic,Master,2/21/11,Medical Leave,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
IC13702,California,No,Basic,Bachelor,1/10/11,Unemployed,F,Suburban,Single,Personal Auto,Agent,Four-Door Car
BE10809,California,Yes,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Single,Personal Auto,Agent,Four-Door Car
HT87217,Oregon,No,Extended,High School or Below,1/16/11,Employed,F,Urban,Divorced,Personal Auto,Agent,Four-Door Car
TH95618,California,No,Basic,High School or Below,1/6/11,Unemployed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
TS19868,California,No,Basic,College,1/27/11,Medical Leave,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
LP45550,Oregon,No,Premium,Doctor,1/15/11,Disabled,F,Urban,Divorced,Personal Auto,Agent,Four-Door Car
QR87004,Nevada,No,Basic,College,1/9/11,Employed,F,Rural,Divorced,Personal Auto,Agent,Four-Door Car
OE75747,Nevada,No,Basic,College,1/28/11,Unemployed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
DX91392,California,Yes,Basic,High School or Below,2/26/11,Employed,M,Suburban,Single,Personal Auto,Call Center,Four-Door Car
AB72731,California,No,Basic,Bachelor,1/4/11,Employed,F,Rural,Married,Personal Auto,Call Center,Sports Car
RU49126,Washington,No,Basic,College,2/1/11,Employed,F,Rural,Married,Personal Auto,Agent,SUV
IS12901,Arizona,No,Basic,Bachelor,1/27/11,Employed,F,Urban,Married,Personal Auto,Call Center,Two-Door Car
IX37561,Washington,No,Basic,College,2/14/11,Unemployed,F,Suburban,Single,Personal Auto,Web,Two-Door Car
HH90090,California,No,Basic,Bachelor,1/23/11,Employed,F,Suburban,Divorced,Personal Auto,Call Center,Sports Car
IU25463,California,No,Premium,Bachelor,2/18/11,Unemployed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
KC11055,Nevada,No,Extended,Bachelor,1/24/11,Employed,F,Suburban,Married,Personal Auto,Branch,Luxury Car
PD33979,Oregon,No,Basic,High School or Below,2/18/11,Employed,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
NK71023,Nevada,No,Extended,Bachelor,1/19/11,Employed,M,Suburban,Single,Personal Auto,Agent,Four-Door Car
AB13432,California,No,Basic,Bachelor,1/4/11,Unemployed,M,Suburban,Single,Personal Auto,Agent,SUV
OZ97704,California,No,Basic,High School or Below,2/7/11,Employed,F,Suburban,Single,Personal Auto,Call Center,SUV
UF46533,California,No,Basic,College,1/30/11,Employed,F,Suburban,Single,Corporate Auto,Branch,SUV
XP47431,Arizona,Yes,Extended,Bachelor,2/17/11,Employed,F,Suburban,Married,Personal Auto,Agent,SUV
GK73582,California,No,Extended,Bachelor,1/13/11,Employed,F,Urban,Single,Personal Auto,Branch,Four-Door Car
RV98763,Oregon,No,Extended,College,2/8/11,Employed,M,Urban,Married,Personal Auto,Branch,Four-Door Car
II62831,California,No,Basic,Master,1/29/11,Employed,M,Urban,Married,Special Auto,Web,SUV
XK33449,California,No,Basic,High School or Below,2/5/11,Unemployed,F,Suburban,Single,Special Auto,Branch,Two-Door Car
TR85083,California,No,Basic,Bachelor,1/20/11,Employed,M,Suburban,Married,Personal Auto,Branch,Two-Door Car
EO95328,Oregon,No,Basic,Bachelor,1/27/11,Employed,F,Suburban,Married,Personal Auto,Agent,Two-Door Car
EN21086,Arizona,No,Basic,High School or Below,1/9/11,Unemployed,F,Suburban,Divorced,Personal Auto,Branch,Four-Door Car
YL83902,Washington,No,Extended,Bachelor,1/11/11,Employed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
AZ62651,Oregon,No,Premium,High School or Below,2/17/11,Employed,M,Suburban,Single,Corporate Auto,Web,Luxury SUV
ZW25874,Oregon,No,Basic,Bachelor,2/16/11,Employed,M,Rural,Single,Special Auto,Branch,Four-Door Car
EH41854,Washington,No,Extended,High School or Below,2/10/11,Unemployed,F,Suburban,Single,Personal Auto,Branch,Two-Door Car
MW70227,California,Yes,Extended,College,2/19/11,Employed,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
SL22297,California,No,Premium,Master,1/21/11,Disabled,F,Suburban,Single,Personal Auto,Call Center,SUV
RV14138,Nevada,Yes,Extended,Bachelor,2/27/11,Retired,F,Suburban,Single,Personal Auto,Agent,SUV
UO62808,Arizona,No,Basic,High School or Below,2/4/11,Employed,F,Suburban,Married,Corporate Auto,Call Center,Four-Door Car
ZX64745,California,No,Basic,College,1/18/11,Unemployed,M,Suburban,Single,Personal Auto,Agent,SUV
FL34139,California,No,Basic,High School or Below,2/3/11,Unemployed,M,Suburban,Single,Personal Auto,Call Center,Four-Door Car
TS11219,California,No,Basic,College,1/2/11,Unemployed,M,Suburban,Single,Personal Auto,Agent,SUV
XX12304,California,No,Basic,College,1/9/11,Employed,F,Urban,Married,Personal Auto,Branch,Four-Door Car
SD64087,California,No,Premium,College,1/19/11,Employed,M,Suburban,Married,Corporate Auto,Branch,SUV
OY38576,Oregon,No,Basic,High School or Below,1/11/11,Employed,F,Suburban,Divorced,Corporate Auto,Agent,SUV
BG76355,Washington,No,Extended,Bachelor,1/31/11,Employed,F,Rural,Married,Personal Auto,Web,Four-Door Car
IP66913,California,No,Extended,High School or Below,1/11/11,Employed,M,Suburban,Single,Personal Auto,Agent,Two-Door Car
LE95702,California,Yes,Basic,College,2/11/11,Retired,M,Suburban,Single,Special Auto,Agent,Four-Door Car
KX54357,Washington,No,Extended,College,1/22/11,Employed,M,Urban,Married,Corporate Auto,Web,Two-Door Car
EZ78112,California,No,Basic,High School or Below,2/24/11,Employed,F,Urban,Single,Special Auto,Agent,Four-Door Car
XN16891,Arizona,No,Basic,College,2/28/11,Employed,M,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
XK31350,Oregon,No,Extended,College,1/25/11,Employed,F,Suburban,Married,Corporate Auto,Call Center,Four-Door Car
CC30924,Oregon,No,Premium,College,2/26/11,Employed,M,Urban,Married,Corporate Auto,Agent,Sports Car
IT78748,Oregon,Yes,Extended,High School or Below,2/19/11,Disabled,F,Suburban,Married,Special Auto,Agent,Two-Door Car
KY33386,Washington,Yes,Basic,High School or Below,1/2/11,Unemployed,F,Suburban,Divorced,Personal Auto,Web,Sports Car
CO44221,California,No,Basic,College,1/2/11,Employed,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
LK60013,Oregon,No,Basic,Bachelor,1/26/11,Employed,F,Suburban,Married,Personal Auto,Branch,Four-Door Car
DE21533,California,No,Basic,Bachelor,2/2/11,Employed,M,Suburban,Divorced,Personal Auto,Call Center,Four-Door Car
YS94121,Nevada,No,Basic,High School or Below,2/27/11,Employed,M,Suburban,Divorced,Personal Auto,Call Center,Four-Door Car
UK68427,Washington,Yes,Extended,High School or Below,1/20/11,Employed,M,Suburban,Single,Personal Auto,Branch,Two-Door Car
TE49565,Oregon,No,Basic,College,1/17/11,Disabled,F,Suburban,Married,Personal Auto,Call Center,SUV
RA88421,Oregon,No,Extended,College,1/17/11,Employed,F,Suburban,Married,Personal Auto,Branch,Four-Door Car
KQ51983,Nevada,No,Basic,College,2/24/11,Unemployed,M,Suburban,Single,Personal Auto,Branch,Two-Door Car
CD88896,Nevada,Yes,Basic,High School or Below,2/14/11,Employed,F,Rural,Single,Corporate Auto,Agent,Four-Door Car
YV22553,Arizona,No,Basic,High School or Below,2/20/11,Employed,M,Urban,Married,Corporate Auto,Agent,SUV
WU14435,California,No,Basic,Bachelor,2/19/11,Disabled,M,Suburban,Married,Corporate Auto,Agent,Four-Door Car
XV84099,Arizona,Yes,Basic,Bachelor,2/8/11,Unemployed,F,Suburban,Married,Corporate Auto,Call Center,Four-Door Car
RI24911,Arizona,Yes,Basic,College,2/6/11,Employed,M,Urban,Single,Personal Auto,Agent,Two-Door Car
KO26461,Arizona,No,Extended,High School or Below,2/27/11,Employed,M,Urban,Married,Personal Auto,Agent,Four-Door Car
HI14283,Oregon,No,Premium,Bachelor,2/1/11,Unemployed,F,Suburban,Married,Personal Auto,Web,SUV
PT50227,Arizona,No,Basic,High School or Below,2/23/11,Unemployed,M,Suburban,Married,Personal Auto,Call Center,Two-Door Car
