,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
43,12231.87968,43244.0,103.0,15.0,16.0,0,2,494.4
44,2443.665166,92834.0,61.0,15.0,56.0,0,1,292.8
45,12819.10289,10105.0,93.21929056273265,5.0,4.0,3,3,0.517753
46,4468.510542,0.0,73.0,7.0,57.0,3,5,579.165954
47,5514.344018,23218.0,71.0,7.0,10.0,0,4,447.79344
48,3343.875326,0.0,92.0,11.0,77.0,0,1,529.624084
49,2294.478927,0.0,62.0,11.0,56.0,0,1,313.023175
50,8004.9404749870755,24804.0,104.0,1.0,28.0,0,2,593.830288
51,8004.9404749870755,33190.0,106.0,18.0,95.0,0,2,508.8
52,7983.431709,36014.0,69.0,4.0,40.0,3,2,173.956072
53,4854.745666,29834.0,64.0,19.0,44.0,0,3,307.2
54,4293.997319,16701.0,113.0,20.0,26.0,0,1,831.625979
55,7164.395543,46623.0,91.0,1.0,53.0,0,3,436.8
56,7619.5158,64749.0,64.0,24.0,59.0,0,2,302.56519
57,3958.002823,0.0,101.0,29.0,12.0,0,1,484.8
58,4499.493252,16969.0,124.0,34.0,47.0,2,1,704.768111
59,4059.567414,11621.0,108.0,4.0,98.0,0,1,518.4
60,4458.113369,17622.0,65.0,1.0,36.0,1,3,312.0
61,8110.333139,11489.0,105.0,4.0,50.0,0,6,504.0
62,3339.764873,0.0,94.0,20.0,53.0,0,1,863.327324
63,8004.9404749870755,66525.0,100.0,0.0,86.0,0,2,104.331355
64,6613.973653,0.0,63.0,21.0,28.0,0,2,676.391482
65,2930.693543,33663.0,73.0,29.0,71.0,0,1,350.4
66,8672.194272,22547.0,112.0,7.0,60.0,0,3,537.6
67,11638.66926,61486.0,97.0,5.0,65.0,0,2,465.258644
68,6846.150323,0.0,95.0,13.0,20.0,0,5,456.0
69,11727.77648,29879.0,102.0,17.0,0.0,0,2,500.254235
70,8004.9404749870755,93011.0,113.0,17.0,12.0,0,2,281.451042
71,2614.474305,65186.0,65.0,29.0,27.0,0,1,5.434505
72,2451.752695,26840.0,64.0,1.0,47.0,2,1,307.2
73,6781.270203,0.0,104.0,30.0,3.0,1,5,434.0887943128942
74,4974.801539,75644.0,65.0,5.0,68.0,3,9,467.803638
75,8591.604933,38984.0,73.0,27.0,38.0,0,2,350.4
76,5592.161392,71811.0,71.0,17.0,48.0,0,6,29.03416
77,8009.472833,20961.0,67.0,20.0,33.0,0,2,321.6
78,11318.08982,38923.0,99.0,6.0,83.0,2,2,115.728852
79,8004.9404749870755,61321.0,93.21929056273265,0.0,30.0,1,2,427.63121
80,8025.229358,0.0,77.0,20.0,26.0,0,2,25.807685
81,5780.182197,51066.0,74.0,23.0,0.0,0,8,787.993313
82,4118.539113,34378.0,102.0,12.0,54.0,0,1,489.6
83,2523.07015,43072.0,63.0,35.0,15.0,0,1,302.4
84,6554.216396,25222.0,90.0,28.0,69.0,0,3,475.623251
85,7703.397294,36765.0,66.0,15.0,32.0,1,2,320.849072
86,5926.729379,23091.0,96.0,28.0,90.0,5,5,460.8
87,2683.470677,48269.0,69.0,3.0,79.0,3,1,282.151207
88,2695.182419,32720.0,67.0,13.0,12.0,0,1,321.6
89,6047.02516,20396.0,76.0,15.0,60.0,1,4,364.8
90,13171.01282,21513.0,119.0,21.0,81.0,1,2,679.827592
91,10656.88195,72540.0,88.0,7.0,3.0,0,2,631.743039
92,2527.653796,80744.0,63.0,24.0,84.0,0,1,11.879037
93,2672.095756,52822.0,67.0,23.0,88.0,0,1,350.529033
94,5313.294035,0.0,77.0,8.0,10.0,1,9,863.3947
95,8004.9404749870755,69738.0,74.0,2.0,26.0,1,2,492.127532
96,8375.353929,17780.0,109.0,12.0,18.0,0,9,132.588288
97,4801.661503,18107.0,62.0,29.0,11.0,0,8,297.6
98,5745.94334,57740.0,74.0,30.0,87.0,3,9,269.905129
99,6066.115969,32627.0,76.0,11.0,60.0,0,7,380.036697
100,8002.308333,0.0,107.0,3.0,65.0,0,3,513.6
101,2393.915369,0.0,70.0,24.0,10.0,0,1,425.266308
102,4762.8179,65795.0,62.0,2.0,85.0,1,3,49.011099
103,4330.38602,60475.0,107.0,9.0,18.0,0,1,513.6
104,9402.729769,0.0,130.0,28.0,88.0,0,4,936.0
105,6966.694527,41837.0,88.0,29.0,93.0,0,9,142.062768
106,7694.064293,32303.0,65.0,13.0,34.0,0,2,45.152521
107,8717.561149,0.0,117.0,5.0,89.0,1,3,561.6
108,5928.748528,40531.0,74.0,17.0,32.0,0,9,30.567357
109,2452.977288,79898.0,62.0,5.0,86.0,1,1,271.606799
110,6701.571657,56398.0,85.0,4.0,18.0,0,7,408.0
111,7556.24034,35257.0,98.0,16.0,2.0,1,8,470.4
112,8492.6988,27804.0,109.0,19.0,54.0,0,7,784.8
113,7713.494046,45506.0,66.0,16.0,32.0,2,2,316.8
114,8004.9404749870755,65196.0,67.0,0.0,54.0,0,2,396.082036
115,7290.069769,0.0,102.0,11.0,70.0,1,3,489.6
116,4772.943848,20993.0,133.0,35.0,90.0,0,1,638.4
117,6806.491395,37839.0,86.0,35.0,77.0,0,9,465.633954
118,2469.781334,92711.0,62.0,24.0,10.0,0,1,368.400146
119,3103.923041,74665.0,78.0,10.0,90.0,2,1,236.902001
120,2981.875575,0.0,83.0,26.0,89.0,0,1,582.679087
121,8902.737595,46833.0,112.0,6.0,3.0,0,9,64.109663
122,5499.447223,88768.0,68.0,17.0,77.0,0,7,326.4
123,15023.59858,28262.0,93.21929056273265,9.0,77.0,0,3,921.6
124,2509.107875,33555.0,63.0,17.0,11.0,0,1,101.89645
125,8004.9404749870755,42780.0,113.0,10.0,27.0,1,2,542.4
126,3133.503432,58850.0,78.0,20.0,26.0,0,1,143.747794
127,3837.451863,21880.0,97.0,29.0,37.0,0,1,424.077159
128,11790.49617,25251.0,66.0,13.0,43.0,0,2,316.8
129,7838.068321,0.0,69.0,9.0,12.0,0,2,2.704934
130,4305.808345,24188.0,109.0,14.0,82.0,0,1,523.2
131,5973.976904,41611.0,74.0,14.0,8.0,0,8,113.801497
132,5670.442396,28406.0,72.0,16.0,35.0,1,4,192.87572
133,4731.749346,69833.0,118.0,32.0,99.0,0,1,828.662719
134,8026.379641,0.0,74.0,15.0,91.0,0,2,532.8
135,4022.963529,0.0,117.0,6.0,1.0,0,1,434.0887943128942
136,9618.310865,80536.0,119.0,5.0,83.0,0,3,53.798708
137,2274.775451,0.0,63.0,2.0,5.0,0,1,606.642452
138,9552.926922,97732.0,79.0,0.0,70.0,0,2,289.9122
139,10388.55323,61222.0,89.0,20.0,55.0,0,2,392.604371
140,2470.121222,0.0,74.0,7.0,20.0,0,1,721.242206
141,5619.068508,50335.0,140.0,9.0,54.0,0,1,456.52385
142,9047.119209,0.0,127.0,30.0,11.0,0,6,434.0887943128942
143,6692.143668,63221.0,168.0,28.0,49.0,0,1,806.4
144,3731.504584,0.0,96.0,31.0,34.0,0,1,460.8
145,3660.770258,64495.0,92.0,34.0,30.0,0,1,251.992083
146,7928.829252,0.0,72.0,7.0,75.0,0,2,345.6
147,5011.751577,28859.0,67.0,24.0,51.0,3,4,321.6
148,7988.258292,77330.0,99.0,0.0,21.0,0,3,99.257608
149,3885.456401,0.0,105.0,3.0,92.0,0,1,504.0
150,2659.337982,24495.0,70.0,29.0,65.0,0,1,336.0
151,8564.768226,95697.0,107.0,29.0,29.0,0,9,178.006524
152,4885.162511,26372.0,126.0,11.0,7.0,0,1,604.8
153,9753.307106,17514.0,127.0,2.0,5.0,0,3,8.312729
154,2946.153697,89270.0,74.0,17.0,90.0,0,1,316.599228
155,2581.110945,29757.0,65.0,13.0,55.0,0,1,312.0
156,3517.385764,51814.0,92.0,28.0,89.0,0,1,56.300724
157,9743.350113,24028.0,82.0,14.0,27.0,0,2,393.6
158,3873.647046,28142.0,105.0,18.0,50.0,0,1,701.708239
159,7649.28199,52705.0,64.0,14.0,8.0,1,2,128.705563
160,2287.59692,0.0,63.0,1.0,5.0,0,1,679.368378
161,4475.424592,84903.0,111.0,7.0,63.0,0,1,497.126827
162,8714.922135,0.0,118.0,14.0,64.0,0,4,566.4
163,2248.449633,24910.0,63.0,7.0,63.0,1,1,347.857619
164,7416.197322,0.0,77.0,15.0,12.0,2,2,554.4
165,7771.158973,21876.0,68.0,12.0,28.0,0,2,465.41477
166,6968.3419,0.0,69.0,33.0,61.0,1,2,496.8
167,4250.282624,0.0,61.0,17.0,1.0,1,7,292.8
168,8004.9404749870755,70699.0,82.0,1.0,57.0,0,2,256.813837
169,8004.9404749870755,0.0,74.0,11.0,85.0,1,2,355.2
170,2413.139714,27501.0,63.0,20.0,0.0,0,1,542.319401
171,15363.84716,15897.0,101.0,30.0,99.0,0,2,303.148399
172,8456.961887,25141.0,73.0,12.0,4.0,1,2,25.438063
173,2189.642522,0.0,61.0,5.0,46.0,3,1,292.8
174,5780.182197,51066.0,74.0,23.0,0.0,0,8,787.993313
175,4639.981638,28358.0,117.0,24.0,37.0,0,1,84.024413
176,4465.335703,61846.0,112.0,1.0,48.0,0,1,215.8182
177,5968.118877,90972.0,74.0,3.0,47.0,0,8,232.926145
178,5097.763337,0.0,74.0,3.0,95.0,0,7,532.8
179,4076.634665,29549.0,104.0,17.0,51.0,0,1,710.433775
180,12252.60179,0.0,115.0,12.0,17.0,1,2,552.0
181,8004.9404749870755,39411.0,93.21929056273265,4.0,29.0,2,4,434.0887943128942
182,4892.435461,21709.0,62.0,28.0,17.0,0,3,408.374746
183,9942.304791,67890.0,85.0,23.0,57.0,0,2,408.0
184,3735.838129,0.0,110.0,3.0,16.0,0,1,792.0
185,13117.52215,84311.0,111.0,11.0,98.0,4,2,532.8
186,4574.524094,99316.0,114.0,26.0,53.0,0,1,754.358929
187,5470.060561,54507.0,138.0,20.0,11.0,0,1,702.990032
188,2978.84601,64586.0,76.0,3.0,17.0,0,1,206.837111
189,6410.967544,61709.0,82.0,5.0,41.0,2,7,275.395894
190,4479.023088,94656.0,111.0,12.0,79.0,1,1,459.738128
191,2383.731879,0.0,69.0,5.0,40.0,0,1,496.8
192,2764.493659,61085.0,70.0,27.0,34.0,1,1,336.0
193,7920.105377,89284.0,67.0,7.0,31.0,3,2,321.6
194,6889.097981,0.0,63.0,6.0,12.0,0,2,302.4
195,3274.194616,31686.0,81.0,11.0,33.0,0,1,430.994107
196,9951.707743,56855.0,93.21929056273265,12.0,1.0,0,1,434.0887943128942
197,2521.555686,53703.0,67.0,3.0,45.0,2,1,67.632476
198,8004.9404749870755,0.0,96.0,12.0,35.0,1,2,844.481918
199,6047.02516,20396.0,76.0,15.0,60.0,1,4,364.8
200,11140.30248,27679.0,150.0,30.0,28.0,0,3,722.486994
201,4334.064096,23904.0,123.0,1.0,67.0,3,1,590.4
202,2799.74791,65351.0,69.0,4.0,54.0,0,1,481.027516
203,7923.136624,0.0,113.0,20.0,1.0,0,7,434.0887943128942
204,3688.110888,0.0,63.0,0.0,54.0,3,7,669.682001
205,12067.45599,0.0,116.0,14.0,35.0,0,2,434.0887943128942
206,2924.976721,64459.0,72.0,16.0,64.0,0,1,240.259479
207,15014.0927,32961.0,93.21929056273265,13.0,53.0,0,3,912.0
208,9277.233839,71416.0,116.0,10.0,0.0,0,3,556.8
209,6274.123875,68964.0,78.0,15.0,6.0,0,3,115.086827
210,3886.647414,78108.0,98.0,12.0,34.0,0,1,470.4
211,4386.277558,10621.0,67.0,28.0,22.0,0,5,321.6
212,11365.26766,84910.0,95.0,4.0,69.0,0,2,383.167471
213,5610.96434,77493.0,70.0,2.0,35.0,0,3,307.963291
214,2912.892035,81097.0,74.0,7.0,67.0,0,1,355.2
215,6915.729915,96610.0,85.0,6.0,23.0,0,3,520.364752
216,6262.663307,30110.0,159.0,20.0,71.0,0,1,466.436375
217,6503.397049,22081.0,84.0,1.0,9.0,0,6,451.670309
218,8007.399376,0.0,112.0,12.0,93.0,0,3,537.6
219,2929.916512,98473.0,72.0,19.0,69.0,0,1,345.6
220,5969.55297,97431.0,74.0,1.0,72.0,0,3,355.2
221,5473.15987,93870.0,69.0,1.0,96.0,0,8,331.2
222,5645.396665,50366.0,72.0,9.0,5.0,0,9,428.734656
223,6369.262355,34498.0,83.0,30.0,72.0,0,7,398.4
224,11833.76732,16552.0,103.0,23.0,53.0,0,2,494.4
225,6121.107929,26787.0,77.0,7.0,50.0,0,5,369.6
226,5159.369746,0.0,74.0,2.0,42.0,0,9,831.752839
227,2514.59196,43860.0,65.0,15.0,58.0,0,1,156.124914
228,8668.611261,21474.0,114.0,13.0,72.0,2,9,373.428187
229,4960.965384,18174.0,66.0,8.0,16.0,0,9,395.934815
230,5504.139033,0.0,73.0,18.0,45.0,0,5,350.4
231,7507.455372,60920.0,64.0,10.0,61.0,0,2,231.201886
232,8004.9404749870755,41520.0,90.0,18.0,70.0,0,2,289.904105
233,5657.031588,0.0,152.0,12.0,89.0,0,1,729.6
234,5061.757902,0.0,68.0,19.0,16.0,0,8,326.4
235,5912.783829,72208.0,73.0,3.0,84.0,0,8,350.4
236,15182.27975,53863.0,63.0,12.0,30.0,0,2,105.765111
237,10747.03094,66446.0,136.0,8.0,77.0,0,3,639.464548
238,2050.623512,0.0,61.0,18.0,26.0,0,1,292.8
239,2465.444865,64997.0,63.0,7.0,99.0,1,1,383.442328
240,5343.121327,64460.0,66.0,18.0,42.0,0,3,316.8
241,8119.829071,46618.0,67.0,22.0,77.0,0,2,99.085943
242,4605.265164,0.0,64.0,13.0,64.0,0,4,307.2
243,6408.785577,49988.0,84.0,6.0,37.0,5,5,566.935022
244,2376.533508,0.0,91.0,2.0,8.0,5,1,436.8
245,3211.070017,16269.0,86.0,6.0,84.0,0,1,412.8
246,5094.522262,72006.0,64.0,4.0,38.0,0,3,307.2
247,8004.9404749870755,0.0,81.0,3.0,60.0,2,2,388.8
248,8672.229719,0.0,93.21929056273265,34.0,83.0,0,1,434.0887943128942
249,8044.73072,44320.0,67.0,13.0,79.0,0,2,321.6
250,4001.519098,19782.0,108.0,13.0,66.0,0,1,773.470977
251,8004.9404749870755,63933.0,70.0,35.0,98.0,0,2,424.883448
252,8544.411077,28224.0,109.0,13.0,13.0,0,8,523.2
253,7805.31287,21073.0,106.0,25.0,54.0,1,3,508.8
254,6112.756868,63243.0,77.0,21.0,73.0,0,3,364.240307
255,4772.943848,20993.0,133.0,35.0,90.0,0,1,638.4
256,10979.09559,94827.0,135.0,5.0,64.0,0,4,354.729129
257,5004.263818,39161.0,63.0,18.0,83.0,1,4,283.995953
258,13223.04379,37534.0,84.0,2.0,0.0,2,2,403.2
259,2623.31543,80210.0,65.0,30.0,28.0,0,1,20.543176
260,8004.9404749870755,0.0,62.0,32.0,59.0,0,2,385.115437
261,5106.111827,30110.0,64.0,2.0,4.0,0,5,140.165035
262,8004.9404749870755,21708.0,68.0,28.0,77.0,0,2,326.4
263,5457.342569,94731.0,67.0,23.0,65.0,0,4,321.6
264,6563.644143,32375.0,83.0,17.0,83.0,0,6,398.4
265,4812.525221,16531.0,63.0,0.0,40.0,0,4,102.879769
266,8004.9404749870755,32006.0,94.0,28.0,7.0,0,2,56.868289
267,5773.520711,81676.0,72.0,21.0,86.0,0,8,463.158502
268,6847.1189,71038.0,86.0,15.0,56.0,0,3,205.444066
269,3595.31286,0.0,103.0,20.0,43.0,0,1,741.6
270,8004.9404749870755,20832.0,65.0,8.0,32.0,0,2,56.371967
271,7859.414569,0.0,113.0,19.0,10.0,0,7,813.6
272,4115.577437,52405.0,103.0,2.0,27.0,0,1,494.4
273,5029.638777,0.0,133.0,3.0,89.0,0,1,795.864079
274,4821.418454,26583.0,128.0,6.0,46.0,4,1,614.4
275,5004.310469,25486.0,65.0,15.0,53.0,0,3,72.438681
276,8630.053943,24065.0,111.0,30.0,1.0,0,5,532.8
277,9322.08512,70435.0,116.0,0.0,50.0,0,4,67.881546
278,8004.9404749870755,0.0,76.0,33.0,36.0,2,2,402.636829
279,3652.532435,39679.0,92.0,2.0,85.0,0,1,641.388616
280,6158.601171,0.0,89.0,13.0,45.0,0,5,342.481173
281,4376.083958,0.0,69.0,21.0,70.0,4,3,331.2
282,5569.456156,53565.0,71.0,27.0,34.0,1,6,340.8
283,2576.513006,37574.0,66.0,19.0,14.0,1,1,412.101933
284,8346.983233,48259.0,108.0,14.0,79.0,0,3,73.700573
285,6323.923864,78532.0,78.0,25.0,87.0,0,3,374.4
286,5973.14343,96163.0,73.0,23.0,90.0,0,3,350.4
287,4706.676993,0.0,72.0,0.0,86.0,0,7,345.6
288,8093.410258,0.0,114.0,9.0,72.0,1,5,722.024742
289,5035.744643,72672.0,63.0,7.0,39.0,0,5,259.361117
290,9027.867218,99002.0,112.0,33.0,75.0,1,8,537.6
291,7288.884849,79494.0,91.0,19.0,30.0,0,3,396.295614
292,8004.9404749870755,35704.0,93.21929056273265,21.0,35.0,0,8,358.281562
293,4992.063043,0.0,71.0,6.0,5.0,0,3,653.388564
294,9102.267849,26049.0,118.0,17.0,6.0,0,6,121.032372
295,2540.407726,70125.0,64.0,21.0,77.0,0,1,92.813396
296,12941.89193,52369.0,110.0,34.0,49.0,1,2,528.0
297,2365.348601,0.0,66.0,25.0,51.0,2,1,159.636956
298,5720.765064,41770.0,72.0,0.0,60.0,0,9,476.156957
299,7035.534088,0.0,101.0,16.0,88.0,0,8,727.2
300,2636.97773,31911.0,67.0,33.0,27.0,0,1,321.6
301,5395.831967,70051.0,68.0,15.0,69.0,0,8,42.078345
302,8382.630118,19683.0,117.0,17.0,41.0,1,9,561.6
303,8004.9404749870755,30916.0,112.0,7.0,65.0,0,2,200.11606
304,2887.742258,0.0,80.0,24.0,95.0,0,1,676.944023
305,8714.922135,0.0,118.0,14.0,64.0,0,4,566.4
306,8004.9404749870755,0.0,116.0,0.0,45.0,0,2,830.623064
307,10272.6082,60145.0,132.0,8.0,28.0,0,3,580.473259
308,4376.363592,63774.0,111.0,18.0,63.0,0,1,60.036683
309,5318.89664,25134.0,67.0,3.0,0.0,0,6,321.6
310,4719.762191,37057.0,61.0,5.0,48.0,1,6,47.53101
311,4428.031583,58577.0,110.0,6.0,62.0,0,1,303.872752
312,5879.176092,85857.0,73.0,3.0,19.0,0,6,100.620067
313,9416.908485,70602.0,116.0,8.0,47.0,0,3,481.339891
314,8288.155579,33816.0,106.0,10.0,97.0,2,3,508.8
315,8004.9404749870755,0.0,153.0,7.0,75.0,0,2,434.0887943128942
316,4719.450052,89642.0,121.0,11.0,20.0,4,1,86.320022
317,3903.474784,60068.0,98.0,17.0,75.0,0,1,470.4
318,5457.259678,50044.0,139.0,16.0,14.0,0,1,667.2
319,2725.356404,36650.0,69.0,2.0,70.0,1,1,56.60333
320,4433.97368,50653.0,110.0,29.0,42.0,0,1,262.865172
321,5332.462694,68931.0,66.0,32.0,30.0,0,7,309.577946
322,2315.094985,0.0,73.0,14.0,39.0,1,1,350.4
323,5411.953687,0.0,73.0,1.0,22.0,0,5,365.364581
324,9587.33234,39266.0,80.0,33.0,31.0,0,2,384.0
325,8004.9404749870755,0.0,102.0,35.0,48.0,0,2,489.6
326,9764.945308,0.0,98.0,24.0,11.0,1,2,705.6
327,2567.151468,40864.0,65.0,2.0,75.0,0,1,9.51528
328,2650.622781,39035.0,68.0,15.0,65.0,0,1,244.564334
329,11264.36334,34923.0,98.0,23.0,82.0,0,2,639.105556
330,2168.523464,0.0,63.0,1.0,56.0,0,1,453.6
331,8610.667489,0.0,111.0,27.0,36.0,0,9,532.8
332,2834.646235,24506.0,71.0,7.0,47.0,0,1,511.2
333,8930.139728,0.0,82.0,25.0,63.0,0,2,554.522969
334,5536.386959,52220.0,70.0,17.0,42.0,1,5,336.0
335,2840.85429,0.0,74.0,17.0,73.0,0,1,402.449823
336,8082.880956,53554.0,67.0,6.0,5.0,0,2,327.020539
337,5254.734278,34476.0,67.0,23.0,49.0,1,3,5.3953
338,5116.237577,0.0,70.0,1.0,11.0,0,5,131.401291
339,3034.646997,68205.0,76.0,35.0,14.0,0,1,99.382943
340,8024.89992,0.0,119.0,6.0,48.0,1,8,856.8
341,8004.9404749870755,53690.0,154.0,20.0,97.0,0,2,739.2
342,5121.563312,0.0,72.0,2.0,22.0,0,5,518.4
343,2150.178588,0.0,61.0,28.0,31.0,0,1,292.8
344,5595.389905,74454.0,71.0,25.0,29.0,0,3,340.8
345,7562.824036,0.0,73.0,23.0,91.0,0,2,350.4
346,5385.853211,29664.0,71.0,1.0,69.0,0,3,340.8
347,4718.558501,15680.0,64.0,20.0,29.0,0,8,260.879903
348,9422.567923,47272.0,79.0,17.0,17.0,3,2,64.546877
349,3605.860265,21585.0,92.0,35.0,61.0,0,1,441.6
350,7762.590564,23827.0,106.0,18.0,77.0,2,3,37.910623
351,8004.9404749870755,69906.0,74.0,34.0,32.0,2,2,202.860399
352,2558.178159,0.0,72.0,7.0,77.0,0,1,345.6
353,5123.170887,89879.0,63.0,17.0,20.0,0,3,94.030308
354,2537.744494,0.0,69.0,9.0,89.0,0,1,331.2
355,2969.593296,46131.0,74.0,27.0,28.0,0,1,355.2
356,4363.124641,54514.0,109.0,5.0,36.0,3,1,286.234931
357,5884.308607,0.0,161.0,29.0,1.0,0,1,434.0887943128942
358,5272.191556,96668.0,66.0,2.0,95.0,0,3,316.8
359,5509.895664,78879.0,69.0,9.0,67.0,1,4,466.570791
360,16313.68349,0.0,69.0,21.0,86.0,0,2,331.2
361,5678.050167,0.0,76.0,8.0,44.0,0,3,364.8
362,12101.20884,0.0,112.0,28.0,30.0,0,2,434.0887943128942
363,2453.570794,29735.0,69.0,3.0,92.0,0,1,331.2
364,5075.66267,23082.0,65.0,18.0,90.0,0,7,312.0
365,3214.979402,53984.0,80.0,15.0,62.0,0,1,421.484456
366,12275.34309,52135.0,156.0,6.0,86.0,0,9,430.505942
367,2722.210707,17576.0,71.0,29.0,70.0,0,1,398.502948
368,2457.440923,29486.0,62.0,19.0,73.0,0,1,7.646763
369,3554.845264,58557.0,88.0,4.0,83.0,0,1,55.510526
370,4929.549699,25632.0,63.0,27.0,52.0,0,7,351.270869
371,8036.45034,0.0,112.0,7.0,42.0,0,9,806.4
372,4276.915328,18768.0,68.0,19.0,53.0,3,3,647.454583
373,8004.9404749870755,33190.0,106.0,18.0,95.0,0,2,508.8
374,5960.581363,47945.0,74.0,32.0,39.0,0,3,128.43823
375,8004.9404749870755,58778.0,126.0,6.0,62.0,0,2,302.033971
376,3832.118106,15192.0,100.0,1.0,7.0,0,1,480.0
377,6837.932624,51859.0,93.21929056273265,0.0,21.0,0,1,434.0887943128942
378,5285.26816,23422.0,72.0,25.0,76.0,0,3,518.4
379,3096.511217,21604.0,79.0,14.0,28.0,0,1,379.2
380,3589.710715,79298.0,90.0,22.0,2.0,0,1,244.362072
381,2582.408525,76731.0,64.0,2.0,68.0,0,1,201.455005
382,2487.729726,67282.0,62.0,29.0,27.0,0,1,297.6
383,13575.67599,48534.0,115.0,29.0,79.0,1,2,552.0
384,4685.504251,77678.0,116.0,32.0,81.0,0,1,741.418485
385,8004.9404749870755,48412.0,104.0,15.0,23.0,0,2,707.430832
386,2764.032126,33837.0,72.0,29.0,54.0,4,1,305.575785
387,6183.111464,23712.0,85.0,2.0,20.0,0,3,376.126419
388,3873.647046,28142.0,105.0,18.0,50.0,0,1,701.708239
389,8004.9404749870755,72196.0,68.0,8.0,61.0,0,2,152.184244
390,5553.295758,68197.0,69.0,1.0,81.0,0,3,176.819414
391,5011.259184,75248.0,63.0,13.0,71.0,0,5,104.454624
392,10442.44633,0.0,98.0,9.0,50.0,0,2,941.718054
393,2199.61781,0.0,65.0,5.0,19.0,1,1,468.0
394,8709.845263,41546.0,111.0,4.0,47.0,0,3,121.306839
395,7484.310483,46998.0,96.0,13.0,98.0,0,6,460.8
396,2613.023132,57099.0,67.0,20.0,37.0,0,1,67.859881
397,9080.639651,33897.0,114.0,15.0,67.0,0,8,539.843003
398,13770.97618,59207.0,116.0,23.0,21.0,0,2,556.8
399,2876.822941,40171.0,73.0,8.0,78.0,0,1,350.4
400,5548.031892,67798.0,69.0,1.0,78.0,0,9,331.2
401,5097.526248,21665.0,136.0,0.0,25.0,0,1,765.709629
402,8004.9404749870755,0.0,87.0,9.0,75.0,0,2,626.4
403,3538.059456,0.0,67.0,12.0,67.0,5,7,321.6
404,8004.9404749870755,34226.0,93.21929056273265,29.0,22.0,0,2,494.395024
405,8004.9404749870755,65989.0,123.0,4.0,43.0,1,2,115.545086
406,4731.366975,30686.0,61.0,22.0,45.0,0,3,19.938981
407,8004.9404749870755,0.0,113.0,15.0,6.0,0,2,799.926741
408,8004.9404749870755,20090.0,109.0,10.0,59.0,0,2,523.2
