income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
0,105,3,92,0,1,504.0
24495,70,29,65,0,1,336.0
95697,107,29,29,0,9,178.006524
26372,126,11,7,0,1,604.8
17514,127,2,5,0,3,8.312729
89270,74,17,90,0,1,316.599228
29757,65,13,55,0,1,312.0
51814,92,28,89,0,1,56.300724
24028,82,14,27,0,2,393.6
28142,105,18,50,0,1,701.708239
52705,64,14,8,1,2,128.705563
0,63,1,5,0,1,679.368378
84903,111,7,63,0,1,497.126827
0,118,14,64,0,4,566.4
24910,63,7,63,1,1,347.857619
0,77,15,12,2,2,554.4
21876,68,12,28,0,2,465.41477
0,69,33,61,1,2,496.8
0,61,17,1,1,7,292.8
70699,82,1,57,0,2,256.813837
0,74,11,85,1,2,355.2
27501,63,20,0,0,1,542.319401
15897,101,30,99,0,2,303.148399
25141,73,12,4,1,2,25.438063
0,61,5,46,3,1,292.8
51066,74,23,0,0,8,787.993313
28358,117,24,37,0,1,84.024413
61846,112,1,48,0,1,215.8182
90972,74,3,47,0,8,232.926145
0,74,3,95,0,7,532.8
29549,104,17,51,0,1,710.433775
0,115,12,17,1,2,552.0
39411,217,4,29,2,4,1122.658899
21709,62,28,17,0,3,408.374746
67890,85,23,57,0,2,408.0
0,110,3,16,0,1,792.0
84311,111,11,98,4,2,532.8
99316,114,26,53,0,1,754.358929
54507,138,20,11,0,1,702.990032
64586,76,3,17,0,1,206.837111
61709,82,5,41,2,7,275.395894
94656,111,12,79,1,1,459.738128
0,69,5,40,0,1,496.8
61085,70,27,34,1,1,336.0
89284,67,7,31,3,2,321.6
0,63,6,12,0,2,302.4
31686,81,11,33,0,1,430.994107
56855,255,12,1,0,1,1836.0
53703,67,3,45,2,1,67.632476
0,96,12,35,1,2,844.481918
20396,76,15,60,1,4,364.8
27679,150,30,28,0,3,722.486994
23904,123,1,67,3,1,590.4
65351,69,4,54,0,1,481.027516
0,113,20,1,0,7,1124.427734
0,63,0,54,3,7,669.682001
0,116,14,35,0,2,1284.093173
64459,72,16,64,0,1,240.259479
32961,190,13,53,0,3,912.0
71416,116,10,0,0,3,556.8
68964,78,15,6,0,3,115.086827
78108,98,12,34,0,1,470.4
10621,67,28,22,0,5,321.6
84910,95,4,69,0,2,383.167471
77493,70,2,35,0,3,307.963291
81097,74,7,67,0,1,355.2
96610,85,6,23,0,3,520.364752
30110,159,20,71,0,1,466.436375
22081,84,1,9,0,6,451.670309
0,112,12,93,0,3,537.6
98473,72,19,69,0,1,345.6
97431,74,1,72,0,3,355.2
93870,69,1,96,0,8,331.2
50366,72,9,5,0,9,428.734656
34498,83,30,72,0,7,398.4
16552,103,23,53,0,2,494.4
26787,77,7,50,0,5,369.6
0,74,2,42,0,9,831.752839
43860,65,15,58,0,1,156.124914
21474,114,13,72,2,9,373.428187
18174,66,8,16,0,9,395.934815
0,73,18,45,0,5,350.4
60920,64,10,61,0,2,231.201886
41520,90,18,70,0,2,289.904105
0,152,12,89,0,1,729.6
0,68,19,16,0,8,326.4
72208,73,3,84,0,8,350.4
53863,63,12,30,0,2,105.765111
66446,136,8,77,0,3,639.464548
0,61,18,26,0,1,292.8
64997,63,7,99,1,1,383.442328
64460,66,18,42,0,3,316.8
46618,67,22,77,0,2,99.085943
0,64,13,64,0,4,307.2
49988,84,6,37,5,5,566.935022
0,91,2,8,5,1,436.8
16269,86,6,84,0,1,412.8
72006,64,4,38,0,3,307.2
0,81,3,60,2,2,388.8
0,245,34,83,0,1,2345.413441
44320,67,13,79,0,2,321.6
19782,108,13,66,0,1,773.470977
63933,70,35,98,0,2,424.883448
28224,109,13,13,0,8,523.2
21073,106,25,54,1,3,508.8
63243,77,21,73,0,3,364.240307
20993,133,35,90,0,1,638.4
94827,135,5,64,0,4,354.729129
39161,63,18,83,1,4,283.995953
37534,84,2,0,2,2,403.2
80210,65,30,28,0,1,20.543176
0,62,32,59,0,2,385.115437
30110,64,2,4,0,5,140.165035
21708,68,28,77,0,2,326.4
94731,67,23,65,0,4,321.6
32375,83,17,83,0,6,398.4
16531,63,0,40,0,4,102.879769
32006,94,28,7,0,2,56.868289
81676,72,21,86,0,8,463.158502
71038,86,15,56,0,3,205.444066
0,103,20,43,0,1,741.6
20832,65,8,32,0,2,56.371967
0,113,19,10,0,7,813.6
52405,103,2,27,0,1,494.4
0,133,3,89,0,1,795.864079
26583,128,6,46,4,1,614.4
25486,65,15,53,0,3,72.438681
24065,111,30,1,0,5,532.8
70435,116,0,50,0,4,67.881546
0,76,33,36,2,2,402.636829
39679,92,2,85,0,1,641.388616
0,89,13,45,0,5,342.481173
0,69,21,70,4,3,331.2
53565,71,27,34,1,6,340.8
37574,66,19,14,1,1,412.101933
48259,108,14,79,0,3,73.700573
78532,78,25,87,0,3,374.4
96163,73,23,90,0,3,350.4
0,72,0,86,0,7,345.6
0,114,9,72,1,5,722.024742
72672,63,7,39,0,5,259.361117
99002,112,33,75,1,8,537.6
79494,91,19,30,0,3,396.295614
35704,225,21,35,0,8,358.281562
0,71,6,5,0,3,653.388564
26049,118,17,6,0,6,121.032372
70125,64,21,77,0,1,92.813396
52369,110,34,49,1,2,528.0
0,66,25,51,2,1,159.636956
41770,72,0,60,0,9,476.156957
0,101,16,88,0,8,727.2
31911,67,33,27,0,1,321.6
70051,68,15,69,0,8,42.078345
19683,117,17,41,1,9,561.6
30916,112,7,65,0,2,200.11606
0,80,24,95,0,1,676.944023
0,118,14,64,0,4,566.4
0,116,0,45,0,2,830.623064
60145,132,8,28,0,3,580.473259
63774,111,18,63,0,1,60.036683
25134,67,3,0,0,6,321.6
37057,61,5,48,1,6,47.53101
58577,110,6,62,0,1,303.872752
85857,73,3,19,0,6,100.620067
70602,116,8,47,0,3,481.339891
33816,106,10,97,2,3,508.8
0,153,7,75,0,2,1101.6
89642,121,11,20,4,1,86.320022
60068,98,17,75,0,1,470.4
50044,139,16,14,0,1,667.2
36650,69,2,70,1,1,56.60333
50653,110,29,42,0,1,262.865172
68931,66,32,30,0,7,309.577946
0,73,14,39,1,1,350.4
0,73,1,22,0,5,365.364581
39266,80,33,31,0,2,384.0
0,102,35,48,0,2,489.6
0,98,24,11,1,2,705.6
40864,65,2,75,0,1,9.51528
39035,68,15,65,0,1,244.564334
34923,98,23,82,0,2,639.105556
0,63,1,56,0,1,453.6
0,111,27,36,0,9,532.8
24506,71,7,47,0,1,511.2
0,82,25,63,0,2,554.522969
52220,70,17,42,1,5,336.0
0,74,17,73,0,1,402.449823
53554,67,6,5,0,2,327.020539
34476,67,23,49,1,3,5.3953
0,70,1,11,0,5,131.401291
68205,76,35,14,0,1,99.382943
0,119,6,48,1,8,856.8
53690,154,20,97,0,2,739.2
0,72,2,22,0,5,518.4
0,61,28,31,0,1,292.8
74454,71,25,29,0,3,340.8
0,73,23,91,0,2,350.4
29664,71,1,69,0,3,340.8
15680,64,20,29,0,8,260.879903
47272,79,17,17,3,2,64.546877
21585,92,35,61,0,1,441.6
23827,106,18,77,2,3,37.910623
69906,74,34,32,2,2,202.860399
0,72,7,77,0,1,345.6
89879,63,17,20,0,3,94.030308
0,69,9,89,0,1,331.2
46131,74,27,28,0,1,355.2
54514,109,5,36,3,1,286.234931
0,161,29,1,0,1,1159.2
96668,66,2,95,0,3,316.8
78879,69,9,67,1,4,466.570791
0,69,21,86,0,2,331.2
0,76,8,44,0,3,364.8
0,112,28,30,0,2,1252.406235
29735,69,3,92,0,1,331.2
23082,65,18,90,0,7,312.0
53984,80,15,62,0,1,421.484456
52135,156,6,86,0,9,430.505942
17576,71,29,70,0,1,398.502948
29486,62,19,73,0,1,7.646763
58557,88,4,83,0,1,55.510526
25632,63,27,52,0,7,351.270869
0,112,7,42,0,9,806.4
18768,68,19,53,3,3,647.454583
33190,106,18,95,0,2,508.8
47945,74,32,39,0,3,128.43823
58778,126,6,62,0,2,302.033971
15192,100,1,7,0,1,480.0
51859,171,0,21,0,1,1003.160633
23422,72,25,76,0,3,518.4
21604,79,14,28,0,1,379.2
79298,90,22,2,0,1,244.362072
76731,64,2,68,0,1,201.455005
67282,62,29,27,0,1,297.6
48534,115,29,79,1,2,552.0
77678,116,32,81,0,1,741.418485
48412,104,15,23,0,2,707.430832
33837,72,29,54,4,1,305.575785
23712,85,2,20,0,3,376.126419
28142,105,18,50,0,1,701.708239
72196,68,8,61,0,2,152.184244
68197,69,1,81,0,3,176.819414
75248,63,13,71,0,5,104.454624
0,98,9,50,0,2,941.718054
0,65,5,19,1,1,468.0
41546,111,4,47,0,3,121.306839
46998,96,13,98,0,6,460.8
57099,67,20,37,0,1,67.859881
33897,114,15,67,0,8,539.843003
59207,116,23,21,0,2,556.8
40171,73,8,78,0,1,350.4
67798,69,1,78,0,9,331.2
21665,136,0,25,0,1,765.709629
0,87,9,75,0,2,626.4
0,67,12,67,5,7,321.6
34226,244,29,22,0,2,494.395024
65989,123,4,43,1,2,115.545086
30686,61,22,45,0,3,19.938981
0,113,15,6,0,2,799.926741
20090,109,10,59,0,2,523.2
0,183,6,16,0,2,878.4
77094,176,25,29,0,5,444.470676
97413,73,21,80,0,6,268.819985
79189,69,6,97,0,4,331.2
0,62,5,31,0,1,297.6
18577,86,21,76,0,6,412.8
0,112,7,34,1,1,806.4
40783,67,13,43,1,9,321.6
0,74,34,51,0,4,532.8
17483,183,24,63,0,1,1317.6
84394,114,9,38,0,1,691.412378
0,127,3,93,0,3,804.811859
41440,62,20,80,1,2,297.6
0,136,14,69,1,8,1090.86434
98132,71,10,61,0,3,50.587035
0,112,4,49,0,1,537.6
88220,230,28,63,0,2,151.528482
58327,129,31,5,0,3,347.075948
25950,66,27,1,0,2,271.697529
20993,133,35,90,0,1,638.4
65726,177,35,90,0,7,849.6
0,63,35,59,3,3,639.45899
39783,72,28,43,0,1,345.6
58842,110,6,74,0,1,528.0
25629,124,3,70,2,6,595.2
48567,130,12,15,0,1,624.0
0,196,0,73,2,1,1337.063487
33746,74,1,6,1,1,355.2
22254,79,22,75,0,2,125.194389
65974,113,3,43,0,3,235.220971
0,76,18,63,0,3,395.34111
17161,113,1,22,1,1,542.4
0,74,1,62,0,7,772.798511
0,132,9,85,0,6,633.6
0,73,9,14,0,2,350.4
67752,131,4,40,4,9,168.517149
25398,64,30,80,0,6,307.2
0,88,30,19,0,4,633.6
33321,105,6,2,0,3,504.0
0,78,13,32,0,1,845.654042
68798,114,19,69,0,1,92.915251
20325,100,4,6,0,1,668.29397
13129,117,15,93,0,6,700.901632
0,73,24,57,0,4,525.6
49080,91,14,68,0,1,25.299
42536,63,30,57,0,6,375.330097
29926,74,25,34,0,1,418.233667
0,86,5,55,0,1,398.240791
21450,138,15,35,0,4,938.513425
33345,65,32,52,0,2,338.619869
15752,90,27,37,0,2,339.344531
40169,65,1,47,1,3,302.818833
26049,113,10,15,1,9,619.165344
0,68,3,4,0,1,326.4
55411,100,24,53,0,4,259.561195
12459,70,4,41,0,1,336.0
64620,76,24,32,1,2,364.8
83140,61,25,70,0,1,179.161843
0,92,20,50,0,1,662.4
54422,68,9,8,0,5,75.501852
68309,131,4,67,0,9,306.983596
56621,65,27,36,2,1,84.026848
38977,70,27,22,0,1,139.489926
0,111,32,13,0,3,607.4459
0,114,12,43,0,1,631.124372
0,83,35,87,0,8,628.023494
83235,70,16,33,0,2,336.0
0,74,7,93,0,2,426.655599
32390,80,20,36,0,8,91.417923
66538,95,14,64,0,2,317.844812
0,64,12,24,0,1,460.8
76358,66,25,3,0,2,86.461582
43860,65,15,58,0,1,156.124914
55350,67,0,13,0,9,321.6
12964,65,2,37,0,4,362.774545
33288,86,1,27,2,9,221.856184
0,84,31,25,0,3,980.169081
56168,88,13,20,0,1,614.675906
0,92,3,28,0,4,662.4
23105,69,15,21,0,3,331.2
36218,68,6,83,0,1,145.252168
52275,62,6,88,0,5,374.240783
49665,74,5,51,0,2,355.2
32471,110,0,87,0,1,528.0
0,86,12,89,1,2,619.2
62773,73,19,57,0,9,80.669257
76694,117,34,23,0,1,561.6
55687,276,33,91,0,1,1324.8
0,70,20,81,0,1,504.0
36633,96,20,61,1,1,460.8
77060,106,23,90,0,2,468.566133
92600,94,9,48,0,1,842.43785
0,66,2,75,0,2,475.2
0,111,6,24,2,1,1171.93117
64801,64,23,19,0,2,268.471802
45257,103,33,90,0,4,494.4
26854,66,31,70,0,1,475.2
85840,102,14,79,2,4,138.722385
26463,72,28,93,0,2,345.6
30689,81,23,51,0,5,467.24802
29590,66,17,18,0,1,467.503236
25965,253,15,59,0,1,1214.4
17269,139,3,31,0,5,667.2
90330,137,0,86,3,2,192.085299
0,113,34,5,0,8,619.973889
0,110,20,66,0,7,1002.782553
0,67,2,49,1,3,321.6
18558,80,17,23,0,1,384.0
46384,113,33,93,0,1,251.774574
0,72,1,77,0,2,866.208321
42303,180,24,66,0,1,1210.920949
71731,130,12,50,0,2,599.648466
51066,74,23,0,0,8,787.993313
0,203,20,66,0,2,2027.724442
0,86,19,93,3,5,619.2
0,69,16,45,0,6,72.852047
26173,68,2,10,1,9,449.819671
24445,63,18,15,0,2,302.4
72302,66,6,27,0,1,316.8
27208,102,10,65,0,1,489.6
36650,69,2,70,1,1,56.60333
30855,68,7,15,0,7,259.060862
0,95,13,20,0,5,456.0
99960,76,19,83,0,4,364.8
0,98,1,15,0,2,470.4
55873,88,30,19,0,6,299.356083
18052,111,5,71,0,1,699.1679
28937,104,28,23,2,6,117.959654
0,86,34,80,0,5,545.240341
0,73,9,94,0,2,350.4
12829,118,33,1,0,9,328.231432
92163,73,3,79,0,6,66.568642
17588,192,24,92,0,2,1382.4
82302,106,11,92,0,1,722.178166
0,127,19,40,0,2,609.6
70340,113,5,56,0,1,542.4
0,74,35,59,0,1,532.8
50825,102,3,46,0,3,369.614729
93459,99,9,85,0,5,655.41333
86148,65,19,51,2,4,312.0
27048,72,5,85,0,4,345.6
73259,115,7,31,0,4,673.34265
35482,129,21,59,0,3,619.2
29462,107,28,23,1,1,513.6
67801,115,12,45,1,1,23.810491
0,94,34,59,4,1,451.2
16042,73,33,58,0,9,350.4
28056,64,32,41,1,8,307.2
16495,85,25,75,3,1,408.0
41163,108,11,66,0,3,231.922173
0,161,3,71,1,9,772.8
33799,109,28,52,3,2,664.980242
0,61,17,71,3,2,292.8
87747,147,3,87,1,1,46.492039
35695,90,2,7,0,1,432.0
90985,87,33,39,0,1,78.085149
0,101,19,16,0,1,564.466556
66839,154,33,24,0,1,739.2
0,165,16,43,0,3,792.0
79090,107,2,74,0,3,289.040734
24825,64,34,44,0,1,155.938593
26806,63,32,19,0,2,302.4
56835,67,25,16,0,3,326.549425
0,88,12,54,0,6,653.65668
46135,69,12,68,0,1,103.935601
0,73,21,87,0,4,809.532341
22862,67,9,40,0,2,321.6
21450,110,8,80,2,3,528.0
95854,65,16,78,0,1,312.0
44897,99,22,46,1,7,580.72531
54040,103,14,88,0,4,59.987126
53265,62,12,27,0,3,238.005074
0,198,18,55,1,1,1577.674417
43817,62,25,12,1,2,245.447622
54780,88,22,72,3,5,135.26125
0,119,9,8,0,3,571.2
67798,69,1,78,0,9,331.2
21442,118,32,84,0,3,566.4
27615,62,19,18,1,1,297.6
17622,65,1,36,1,3,312.0
50200,135,23,98,0,1,637.063458
0,112,3,51,2,1,537.6
0,96,31,34,0,1,460.8
73570,70,0,46,1,1,75.936096
0,111,4,85,0,1,799.2
0,106,11,15,0,6,603.058114
36631,62,30,77,0,1,67.530904
35895,73,11,51,0,1,312.921256
40864,109,16,70,1,1,166.937747
0,118,15,77,0,4,566.4
93018,63,5,90,0,3,135.382194
70014,62,6,4,0,2,17.742954
48875,61,20,9,0,1,1.838367
67969,74,11,14,0,2,197.776009
0,108,8,55,0,2,612.102262
68665,69,33,67,0,7,331.2
26802,66,7,43,1,5,316.8
0,110,6,37,0,6,1193.036154
45345,125,0,73,0,2,600.0
17101,113,1,88,0,2,542.4
32051,193,4,40,1,1,926.4
81139,74,22,69,0,3,392.6364
63834,100,23,19,1,3,215.226476
37548,81,12,9,0,3,160.598662
0,69,28,28,3,2,371.803029
72421,65,8,23,0,1,312.0
83102,116,15,35,0,1,443.670399
28432,118,1,59,0,2,612.300581
83707,108,2,72,0,7,290.391526
63259,65,25,14,0,7,316.795337
0,67,18,73,0,8,405.527937
63860,62,26,81,0,1,208.598246
67176,72,20,90,0,9,345.6
86132,68,30,10,0,3,301.437365
28519,66,1,56,0,1,456.473115
39102,88,11,98,0,2,152.338562
0,89,17,56,0,1,491.755368
97298,128,16,38,0,2,48.517439
41986,84,25,31,2,5,430.375049
0,88,6,47,0,2,633.6
17291,73,3,25,0,5,350.4
0,74,0,52,0,2,246.489123
37256,62,15,7,0,2,128.969729
96306,95,12,17,1,6,185.355353
14290,271,20,40,0,1,1300.8
37038,71,6,97,1,1,9.071305
90760,103,5,7,2,1,133.475315
20668,188,34,54,3,2,902.4
54480,67,19,91,0,1,321.6
16244,68,4,85,0,1,623.223617
22436,89,24,21,0,3,427.2
25544,68,18,30,0,1,326.4
28728,67,8,10,0,1,321.6
57449,103,6,28,0,2,494.4
83318,73,21,42,0,1,211.336937
55561,63,2,79,0,2,227.872071
0,102,18,32,5,1,862.762957
55308,107,17,74,0,6,513.6
36068,97,0,10,0,2,113.367765
48804,112,1,4,1,2,537.6
0,131,6,52,0,6,943.2
55790,111,4,40,0,9,117.672722
70258,69,20,65,0,2,225.145949
0,95,13,20,0,5,456.0
47274,83,32,26,1,5,182.432565
0,78,27,10,0,8,644.755653
0,73,26,84,0,3,525.6
15818,107,24,99,0,2,333.886816
44552,137,7,42,0,3,311.103582
64348,86,25,18,0,1,212.391975
0,62,27,53,0,2,297.6
88997,72,9,71,0,3,174.041566
77411,67,30,63,0,1,257.900458
10312,78,10,63,0,1,486.278557
0,72,4,11,1,7,345.6
96263,103,5,5,0,1,1.924709
28919,72,18,11,0,1,518.4
0,68,2,28,1,4,326.4
41869,64,5,52,0,6,262.12205
0,128,5,76,0,8,921.6
32808,68,1,88,1,1,541.695658
79780,68,11,58,0,2,326.4
91025,112,26,37,0,9,327.682669
33043,95,15,90,0,1,456.0
69442,118,26,6,3,3,1265.570302
0,70,18,47,0,1,63.043197
0,70,25,48,0,9,336.0
47234,65,11,34,0,1,15.631363
86863,92,27,26,0,3,441.6
25805,66,25,0,2,2,375.866091
43676,76,19,7,0,3,364.8
59855,74,30,82,4,1,355.2
35296,126,19,11,0,2,452.616872
36576,125,11,73,1,3,113.450122
28513,100,4,22,1,2,480.0
85448,72,16,76,0,3,16.03451
23791,110,11,71,3,7,615.27228
20597,112,31,46,0,1,615.256301
56940,87,11,10,0,9,512.66245
93210,71,35,62,0,2,74.523935
48992,94,30,0,1,7,426.072946
53736,71,2,20,0,2,169.287785
25378,66,22,32,1,2,419.464143
76731,64,2,68,0,1,201.455005
0,64,11,85,0,1,662.69318
69379,103,14,79,0,1,494.4
57449,103,6,28,0,2,494.4
0,68,7,31,0,7,326.4
0,93,30,70,0,6,669.6
33806,89,32,59,0,2,395.729716
77048,103,20,41,0,1,141.199465
74965,90,20,93,0,2,58.557552
34095,63,5,99,0,2,302.4
0,66,16,35,4,1,316.8
96045,61,24,35,0,1,8.582971
86355,118,27,86,0,2,285.418473
27824,118,32,9,0,8,566.4
42995,101,10,22,0,2,410.508316
21235,79,18,56,0,1,244.23135
74585,106,1,49,0,1,218.598065
41833,103,28,43,0,1,643.826716
23908,70,18,57,0,4,336.0
0,65,9,31,0,2,312.0
61953,113,5,63,0,1,497.047297
0,142,5,87,0,1,1022.4
0,137,25,45,0,1,657.6
73760,107,16,3,1,2,230.245772
23333,74,8,43,0,1,5.622751
0,61,6,30,0,1,292.8
20440,128,11,54,2,9,614.4
86073,136,3,32,0,1,333.5671
50943,139,18,14,0,1,667.2
19003,71,29,21,0,1,34.651305
46703,108,0,48,0,6,678.100487
14072,71,13,3,0,2,511.2
21733,73,17,37,0,2,525.6
20811,61,33,61,0,1,292.8
11904,61,34,11,2,3,292.8
43490,114,24,63,4,6,174.588413
57340,67,7,19,0,2,159.391681
49088,97,4,46,0,3,698.4
47761,131,2,54,0,6,232.711071
70930,99,2,21,0,2,190.43446
61281,110,7,16,0,7,79.865605
0,82,4,77,1,3,393.6
25290,66,0,4,0,2,382.085897
24239,88,25,5,0,8,48.348319
82664,114,24,10,3,9,133.425609
83210,110,0,25,0,3,528.0
38736,81,7,35,0,2,561.414794
0,66,0,10,0,9,316.8
55437,64,5,78,1,2,445.287788
0,130,0,93,0,1,23.820158
0,71,33,83,0,3,407.99684
29066,100,13,51,0,3,844.229478
54337,72,27,7,0,1,345.6
67616,96,25,17,0,2,340.306584
41082,63,23,94,0,2,106.647493
0,73,12,71,0,4,626.116259
36650,69,2,70,1,1,56.60333
50631,112,19,12,4,2,784.65781
19592,92,31,63,0,2,441.6
0,114,30,1,0,2,547.2
55761,115,22,73,0,2,86.27772
17576,71,29,70,0,1,398.502948
41449,89,15,45,0,5,63.516572
14290,271,20,40,0,1,1300.8
62007,73,4,7,0,3,120.015609
21921,206,14,44,0,3,1254.137899
42621,66,8,3,0,3,316.8
0,87,16,41,1,2,417.6
63786,196,30,81,0,1,798.002689
0,104,1,48,3,7,82.041684
82877,99,8,89,1,3,22.819088
0,63,0,75,0,1,302.4
10475,88,13,81,1,2,422.4
21952,66,20,31,0,6,316.8
49721,132,18,49,0,2,639.971388
88340,102,16,1,0,2,489.6
0,65,7,28,0,1,312.0
0,65,14,62,0,2,468.0
24589,82,33,39,0,2,511.497882
69379,103,14,79,0,1,494.4
73769,61,24,95,2,3,239.540223
66670,114,23,6,0,1,518.180364
88854,118,6,50,0,2,715.252366
31266,193,6,79,0,1,926.4
43860,65,15,58,0,1,156.124914
89284,133,4,62,2,1,402.070719
67267,89,31,10,0,2,94.814032
79270,95,28,61,3,2,456.0
36692,109,1,6,1,1,523.2
0,119,0,37,0,1,571.2
0,107,3,65,0,3,513.6
0,105,3,92,0,1,504.0
0,135,8,14,0,1,972.0
44624,71,10,79,1,2,73.883044
0,71,1,23,0,2,340.8
19614,85,21,32,0,2,574.024018
0,64,31,53,0,1,632.715382
83846,74,22,94,3,2,355.2
51159,72,4,61,0,1,4.238626
83772,62,13,76,0,1,42.248087
66839,154,33,24,0,1,739.2
88440,70,19,30,0,2,27.145151
25666,63,7,30,2,2,270.002766
52926,61,2,92,0,1,292.8
0,67,16,90,0,1,494.946438
40001,70,26,7,0,2,142.567008
0,70,24,10,0,1,425.266308
18024,65,13,1,0,3,312.0
