,customer,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,sales_channel,vehicle_class,vehicle_size,Effective To Date,year_effective_to_date,month_effective_to_date
37,DM79012,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Personal L3,Web,Four-Door Car,Small,2011-02-06,2011,02
38,CM61827,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Agent,Two-Door Car,Small,2011-01-25,2011,01
39,WC35801,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Call Center,Four-Door Car,Medsize,2011-02-07,2011,02
40,QG25316,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Call Center,Two-Door Car,Medsize,2011-01-18,2011,01
41,MB98372,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,Corporate L3,Agent,Two-Door Car,Medsize,2011-01-11,2011,01
42,IL19217,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Agent,Four-Door Car,Small,2011-01-28,2011,01
43,SR38658,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Agent,Sports Car,Medsize,2011-02-08,2011,02
44,DH41343,Washington,No,Basic,College,Employed,M,Suburban,Married,Special Auto,Special L2,Call Center,Four-Door Car,Large,2011-02-23,2011,02
45,HG65722,Oregon,No,Premium,Doctor,Disabled,F,Rural,Married,Personal Auto,Personal L2,Branch,SUV,Medsize,2011-01-25,2011,01
46,BU27331,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Call Center,Four-Door Car,Medsize,2011-01-31,2011,01
47,XM45289,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Personal L2,Agent,Two-Door Car,Medsize,2011-01-02,2011,01
48,KP34198,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Call Center,Four-Door Car,Medsize,2011-02-07,2011,02
49,SH90947,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Branch,Four-Door Car,Medsize,2011-01-18,2011,01
50,WE95729,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Agent,SUV,Small,2011-01-17,2011,01
51,PY51963,California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L1,Web,SUV,Medsize,2011-01-11,2011,01
52,RB69909,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Special L1,Branch,Four-Door Car,Medsize,2011-02-21,2011,02
53,XR95069,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,Agent,Four-Door Car,Medsize,2011-02-16,2011,02
54,FR46645,California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Branch,Four-Door Car,Small,2011-01-17,2011,01
55,SY17488,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Call Center,Four-Door Car,Small,2011-02-05,2011,02
56,AP67935,California,No,Basic,College,Employed,M,Urban,Married,Special Auto,Special L2,Branch,Four-Door Car,Medsize,2011-02-13,2011,02
57,FS37417,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Call Center,SUV,Small,2011-02-23,2011,02
58,ML29312,Oregon,No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Call Center,SUV,Medsize,2011-01-28,2011,01
59,UB61619,Oregon,No,Premium,Master,Disabled,F,Suburban,Divorced,Personal Auto,Personal L1,Agent,Four-Door Car,Medsize,2011-02-28,2011,02
60,CD86811,Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Personal L1,Agent,Four-Door Car,Medsize,2011-01-02,2011,01
61,RU83859,California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Call Center,Two-Door Car,Small,2011-01-22,2011,01
62,FG63582,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Agent,Two-Door Car,Small,2011-01-15,2011,01
63,NN71951,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L3,Agent,SUV,Medsize,2011-01-27,2011,01
64,WB37082,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Branch,Four-Door Car,Large,2011-01-23,2011,01
65,SM52139,Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Web,Four-Door Car,Medsize,2011-01-31,2011,01
66,FL82372,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Agent,SUV,Medsize,2011-01-26,2011,01
67,DP45816,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L3,Branch,Two-Door Car,Small,2011-01-10,2011,01
68,GW33762,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Call Center,Two-Door Car,Large,2011-01-27,2011,01
69,RZ33670,California,No,Premium,College,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Web,Four-Door Car,Medsize,2011-01-09,2011,01
70,PY70169,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Agent,SUV,Medsize,2011-02-24,2011,02
71,MO91628,Oregon,No,Basic,Master,Employed,M,Rural,Married,Personal Auto,Personal L2,Web,Two-Door Car,Large,2011-02-11,2011,02
72,HW87852,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Agent,Four-Door Car,Medsize,2011-02-12,2011,02
73,HB20453,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Agent,Sports Car,Medsize,2011-02-04,2011,02
74,BN87372,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Branch,Two-Door Car,Medsize,2011-01-18,2011,01
75,YX23800,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Branch,Four-Door Car,Small,2011-02-11,2011,02
76,DZ87709,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,Personal L1,Call Center,Four-Door Car,Medsize,2011-02-01,2011,02
77,XW13033,Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L1,Agent,Four-Door Car,Medsize,2011-02-15,2011,02
78,LN31673,Washington,No,Extended,College,Employed,M,Rural,Married,Personal Auto,Personal L3,Agent,Four-Door Car,Medsize,2011-02-06,2011,02
79,OM82309,California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L3,Branch,Luxury Car,Small,2011-02-27,2011,02
80,ZU35962,California,No,Extended,College,Unemployed,F,Rural,Single,Personal Auto,Personal L3,Branch,Two-Door Car,Large,2011-01-26,2011,01
81,VH85817,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L3,Call Center,Four-Door Car,Medsize,2011-02-26,2011,02
82,DT85712,California,No,Basic,Doctor,Employed,M,Suburban,Married,Personal Auto,Personal L1,Branch,SUV,Medsize,2011-01-27,2011,01
83,YJ88573,Nevada,No,Basic,Master,Employed,M,Suburban,Married,Personal Auto,Personal L3,Call Center,Four-Door Car,Large,2011-01-16,2011,01
84,SQ19467,Oregon,No,Extended,College,Disabled,F,Suburban,Single,Personal Auto,Personal L3,Agent,Four-Door Car,Small,2011-01-27,2011,01
85,HF88410,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Call Center,Four-Door Car,Medsize,2011-02-28,2011,02
86,ET79815,California,Yes,Extended,College,Retired,M,Suburban,Married,Personal Auto,Personal L1,Agent,Four-Door Car,Medsize,2011-01-25,2011,01
87,QC35222,California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Web,Four-Door Car,Medsize,2011-01-01,2011,01
88,CJ15590,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Branch,Four-Door Car,Medsize,2011-02-01,2011,02
89,OI48267,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Branch,Four-Door Car,Medsize,2011-02-19,2011,02
90,JY67916,Oregon,No,Premium,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Branch,Two-Door Car,Small,2011-01-27,2011,01
91,OE75231,Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Call Center,Two-Door Car,Medsize,2011-02-27,2011,02
92,CZ33664,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Agent,Four-Door Car,Medsize,2011-01-17,2011,01
93,WK30175,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,Branch,Two-Door Car,Small,2011-02-10,2011,02
94,ON44465,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Agent,Four-Door Car,Medsize,2011-01-24,2011,01
95,TV87155,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,Branch,Four-Door Car,Large,2011-02-24,2011,02
96,KH48895,Arizona,No,Basic,Master,Medical Leave,F,Rural,Married,Personal Auto,Personal L3,Branch,SUV,Medsize,2011-02-15,2011,02
97,NZ30757,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Agent,Four-Door Car,Medsize,2011-02-16,2011,02
98,RI22468,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L1,Web,Four-Door Car,Medsize,2011-01-22,2011,01
99,FZ30935,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Agent,Two-Door Car,Small,2011-02-25,2011,02
100,UG93476,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Agent,SUV,Medsize,2011-01-11,2011,01
101,AB96670,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Branch,Four-Door Car,Medsize,2011-01-31,2011,01
102,XK64261,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate Auto,Corporate L3,Call Center,Two-Door Car,Medsize,2011-01-12,2011,01
103,EV68375,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Branch,Four-Door Car,Medsize,2011-02-16,2011,02
104,UN51653,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Web,SUV,Medsize,2011-02-09,2011,02
105,TO96662,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Call Center,Four-Door Car,Small,2011-01-19,2011,01
106,MR52087,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L1,Branch,Four-Door Car,Medsize,2011-01-04,2011,01
107,DE75225,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Agent,SUV,Medsize,2011-01-09,2011,01
108,EP80820,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Agent,Two-Door Car,Medsize,2011-01-27,2011,01
109,GU99037,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Agent,Four-Door Car,Medsize,2011-02-14,2011,02
110,WI57118,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Agent,Four-Door Car,Small,2011-02-27,2011,02
111,YQ74870,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L2,Web,Four-Door Car,Small,2011-02-12,2011,02
112,MQ14219,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Branch,SUV,Medsize,2011-02-26,2011,02
113,KN20603,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,Agent,Four-Door Car,Medsize,2011-02-20,2011,02
114,CR48975,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Branch,Four-Door Car,Medsize,2011-02-02,2011,02
115,JI70886,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Agent,SUV,Medsize,2011-02-15,2011,02
116,VF72557,Oregon,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Personal Auto,Personal L3,Agent,SUV,Medsize,2011-02-18,2011,02
117,OX28638,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Branch,Two-Door Car,Medsize,2011-01-21,2011,01
118,SK55033,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,Personal L2,Agent,Two-Door Car,Medsize,2011-01-15,2011,01
119,OO88645,California,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Call Center,Four-Door Car,Medsize,2011-02-05,2011,02
120,YT36855,Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Web,Two-Door Car,Medsize,2011-02-24,2011,02
121,CW82151,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L3,Call Center,Sports Car,Medsize,2011-01-05,2011,01
122,DY22043,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Branch,Two-Door Car,Small,2011-01-28,2011,01
123,SH36774,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L3,Web,Luxury SUV,Medsize,2011-01-12,2011,01
124,EM43724,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Agent,Four-Door Car,Medsize,2011-02-16,2011,02
125,FH85960,Oregon,No,Premium,College,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,Call Center,Four-Door Car,Medsize,2011-01-03,2011,01
126,XA55993,Oregon,No,Extended,Master,Employed,F,Rural,Single,Personal Auto,Personal L3,Branch,Four-Door Car,Medsize,2011-02-07,2011,02
127,GO36627,Arizona,No,Extended,College,Employed,M,Urban,Married,Special Auto,Special L2,Branch,Four-Door Car,Medsize,2011-01-13,2011,01
128,QH48047,Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Personal Auto,Personal L2,Web,Four-Door Car,Medsize,2011-01-03,2011,01
129,RB50392,Washington,No,Basic,Master,Unemployed,F,Rural,Married,Personal Auto,Personal L1,Agent,Four-Door Car,Medsize,2011-02-17,2011,02
130,UH65059,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Agent,Sports Car,Medsize,2011-01-21,2011,01
131,FV21968,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Special Auto,Special L2,Branch,Four-Door Car,Medsize,2011-01-26,2011,01
132,QA87025,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L3,Call Center,Four-Door Car,Medsize,2011-01-31,2011,01
133,TQ13499,Arizona,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Agent,Four-Door Car,Small,2011-01-02,2011,01
134,BU44523,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Web,Four-Door Car,Small,2011-02-07,2011,02
135,MS41162,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Agent,SUV,Medsize,2011-01-26,2011,01
136,PU25891,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Special L2,Branch,Sports Car,Medsize,2011-01-11,2011,01
137,RB81636,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Agent,Four-Door Car,Small,2011-01-15,2011,01
138,SX26335,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Personal L3,Branch,Four-Door Car,Medsize,2011-02-08,2011,02
139,AZ95587,Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special Auto,Special L3,Branch,Four-Door Car,Small,2011-01-11,2011,01
140,DS81757,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Web,Two-Door Car,Large,2011-01-09,2011,01
141,OJ94107,Arizona,No,Premium,Master,Employed,M,Urban,Married,Personal Auto,Personal L2,Call Center,SUV,Medsize,2011-02-04,2011,02
142,LP84436,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Branch,Sports Car,Medsize,2011-01-21,2011,01
143,YV64727,Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Agent,SUV,Medsize,2011-02-16,2011,02
144,LM19287,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Agent,Four-Door Car,Large,2011-02-24,2011,02
145,ZU18643,Nevada,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Web,Four-Door Car,Medsize,2011-01-18,2011,01
146,AZ82578,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Call Center,Four-Door Car,Medsize,2011-01-30,2011,01
147,XC67861,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Call Center,Two-Door Car,Medsize,2011-01-09,2011,01
148,YC43143,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L3,Web,Four-Door Car,Medsize,2011-02-01,2011,02
149,EK59571,Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Branch,Four-Door Car,Large,2011-02-28,2011,02
150,GD83998,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L2,Branch,Four-Door Car,Small,2011-01-31,2011,01
151,WA25797,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L3,Agent,Sports Car,Medsize,2011-02-17,2011,02
152,PD27940,Arizona,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Agent,SUV,Medsize,2011-02-12,2011,02
153,BS77946,Arizona,No,Extended,Bachelor,Medical Leave,F,Rural,Married,Personal Auto,Personal L1,Branch,SUV,Medsize,2011-02-24,2011,02
154,YM50253,California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal Auto,Personal L3,Branch,Four-Door Car,Medsize,2011-02-01,2011,02
155,NR15332,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Web,Four-Door Car,Small,2011-02-06,2011,02
156,RC62865,Oregon,No,Extended,College,Employed,M,Rural,Single,Personal Auto,Personal L2,Agent,Four-Door Car,Medsize,2011-01-23,2011,01
157,CC15295,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Agent,Four-Door Car,Small,2011-01-21,2011,01
158,KA61892,Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Personal Auto,Personal L3,Agent,Sports Car,Medsize,2011-01-20,2011,01
159,OS94884,Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L2,Web,Two-Door Car,Large,2011-01-06,2011,01
160,ND87334,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L3,Agent,Two-Door Car,Medsize,2011-02-22,2011,02
161,ML93326,Washington,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L1,Agent,SUV,Medsize,2011-02-27,2011,02
162,YL74911,California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Agent,SUV,Medsize,2011-02-21,2011,02
163,JP69864,Washington,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Personal Auto,Personal L1,Branch,Four-Door Car,Medsize,2011-01-29,2011,01
164,HL53154,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Agent,Four-Door Car,Medsize,2011-02-22,2011,02
165,RI78966,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Agent,Four-Door Car,Small,2011-02-21,2011,02
166,IC13702,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Agent,Four-Door Car,Small,2011-01-10,2011,01
167,BE10809,California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Agent,Four-Door Car,Small,2011-01-18,2011,01
168,HT87217,Oregon,No,Extended,High School or Below,Employed,F,Urban,Divorced,Personal Auto,Personal L2,Agent,Four-Door Car,Medsize,2011-01-16,2011,01
169,TH95618,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Agent,Four-Door Car,Medsize,2011-01-06,2011,01
170,TS19868,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Branch,Four-Door Car,Medsize,2011-01-27,2011,01
171,LP45550,Oregon,No,Premium,Doctor,Disabled,F,Urban,Divorced,Personal Auto,Personal L3,Agent,Four-Door Car,Medsize,2011-01-15,2011,01
172,QR87004,Nevada,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Agent,Four-Door Car,Medsize,2011-01-09,2011,01
173,OE75747,Nevada,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Agent,Four-Door Car,Small,2011-01-28,2011,01
174,DX91392,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L2,Call Center,Four-Door Car,Medsize,2011-02-26,2011,02
175,AB72731,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L2,Call Center,Sports Car,Medsize,2011-01-04,2011,01
176,RU49126,Washington,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L2,Agent,SUV,Medsize,2011-02-01,2011,02
