,alpha_customer,customer,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy_n,renew_offer_type,sales_channel,vehicle_class,vehicle_size,effective_to_date,year_effective_to_date,month_effective_to_date
32,PF,41800,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Medsize,2011-01-25,2011,01
33,AO,98601,Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,2,1,Agent,Two-Door Car,Small,2011-01-18,2011,01
34,SK,67821,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,1,3,Web,Four-Door Car,Medsize,2011-02-13,2011,02
35,YV,55495,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,1,1,Branch,Four-Door Car,Medsize,2011-01-15,2011,01
36,KY,38074,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-01-08,2011,01
37,DM,79012,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,3,2,Web,Four-Door Car,Small,2011-02-06,2011,02
38,CM,61827,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,2,3,Agent,Two-Door Car,Small,2011-01-25,2011,01
39,WC,35801,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,3,1,Call Center,Four-Door Car,Medsize,2011-02-07,2011,02
40,QG,25316,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,3,3,Call Center,Two-Door Car,Medsize,2011-01-18,2011,01
41,MB,98372,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,3,2,Agent,Two-Door Car,Medsize,2011-01-11,2011,01
42,IL,19217,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Small,2011-01-28,2011,01
43,SR,38658,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,4,Agent,Sports Car,Medsize,2011-02-08,2011,02
44,DH,41343,Washington,No,Basic,College,Employed,M,Suburban,Married,Special Auto,2,2,Call Center,Four-Door Car,Large,2011-02-23,2011,02
45,HG,65722,Oregon,No,Premium,Doctor,Disabled,F,Rural,Married,Personal Auto,2,1,Branch,SUV,Medsize,2011-01-25,2011,01
46,BU,27331,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,3,3,Call Center,Four-Door Car,Medsize,2011-01-31,2011,01
47,XM,45289,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,2,4,Agent,Two-Door Car,Medsize,2011-01-02,2011,01
48,KP,34198,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,2,2,Call Center,Four-Door Car,Medsize,2011-02-07,2011,02
49,SH,90947,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,2,4,Branch,Four-Door Car,Medsize,2011-01-18,2011,01
50,WE,95729,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,2,1,Agent,SUV,Small,2011-01-17,2011,01
51,PY,51963,California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,1,1,Web,SUV,Medsize,2011-01-11,2011,01
52,RB,69909,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,1,4,Branch,Four-Door Car,Medsize,2011-02-21,2011,02
53,XR,95069,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,3,4,Agent,Four-Door Car,Medsize,2011-02-16,2011,02
54,FR,46645,California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Personal Auto,2,1,Branch,Four-Door Car,Small,2011-01-17,2011,01
55,SY,17488,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,3,3,Call Center,Four-Door Car,Small,2011-02-05,2011,02
56,AP,67935,California,No,Basic,College,Employed,M,Urban,Married,Special Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-13,2011,02
57,FS,37417,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,2,1,Call Center,SUV,Small,2011-02-23,2011,02
58,ML,29312,Oregon,No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Personal Auto,3,1,Call Center,SUV,Medsize,2011-01-28,2011,01
59,UB,61619,Oregon,No,Premium,Master,Disabled,F,Suburban,Divorced,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-02-28,2011,02
60,CD,86811,Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-01-02,2011,01
61,RU,83859,California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,3,1,Call Center,Two-Door Car,Small,2011-01-22,2011,01
62,FG,63582,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Two-Door Car,Small,2011-01-15,2011,01
63,NN,71951,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-27,2011,01
64,WB,37082,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,3,3,Branch,Four-Door Car,Large,2011-01-23,2011,01
65,SM,52139,Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,3,3,Web,Four-Door Car,Medsize,2011-01-31,2011,01
66,FL,82372,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,3,1,Agent,SUV,Medsize,2011-01-26,2011,01
67,DP,45816,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,3,4,Branch,Two-Door Car,Small,2011-01-10,2011,01
68,GW,33762,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,3,1,Call Center,Two-Door Car,Large,2011-01-27,2011,01
69,RZ,33670,California,No,Premium,College,Disabled,F,Suburban,Married,Personal Auto,3,3,Web,Four-Door Car,Medsize,2011-01-09,2011,01
70,PY,70169,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,3,4,Agent,SUV,Medsize,2011-02-24,2011,02
71,MO,91628,Oregon,No,Basic,Master,Employed,M,Rural,Married,Personal Auto,2,2,Web,Two-Door Car,Large,2011-02-11,2011,02
72,HW,87852,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-02-12,2011,02
73,HB,20453,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Sports Car,Medsize,2011-02-04,2011,02
74,BN,87372,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,3,2,Branch,Two-Door Car,Medsize,2011-01-18,2011,01
75,YX,23800,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small,2011-02-11,2011,02
76,DZ,87709,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,1,2,Call Center,Four-Door Car,Medsize,2011-02-01,2011,02
77,XW,13033,Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,1,2,Agent,Four-Door Car,Medsize,2011-02-15,2011,02
78,LN,31673,Washington,No,Extended,College,Employed,M,Rural,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-06,2011,02
79,OM,82309,California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,3,2,Branch,Luxury Car,Small,2011-02-27,2011,02
80,ZU,35962,California,No,Extended,College,Unemployed,F,Rural,Single,Personal Auto,3,3,Branch,Two-Door Car,Large,2011-01-26,2011,01
81,VH,85817,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,3,2,Call Center,Four-Door Car,Medsize,2011-02-26,2011,02
82,DT,85712,California,No,Basic,Doctor,Employed,M,Suburban,Married,Personal Auto,1,3,Branch,SUV,Medsize,2011-01-27,2011,01
83,YJ,88573,Nevada,No,Basic,Master,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Large,2011-01-16,2011,01
84,SQ,19467,Oregon,No,Extended,College,Disabled,F,Suburban,Single,Personal Auto,3,2,Agent,Four-Door Car,Small,2011-01-27,2011,01
85,HF,88410,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,1,Call Center,Four-Door Car,Medsize,2011-02-28,2011,02
86,ET,79815,California,Yes,Extended,College,Retired,M,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-01-25,2011,01
87,QC,35222,California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,2,3,Web,Four-Door Car,Medsize,2011-01-01,2011,01
88,CJ,15590,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,2,3,Branch,Four-Door Car,Medsize,2011-02-01,2011,02
89,OI,48267,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Medsize,2011-02-19,2011,02
90,JY,67916,Oregon,No,Premium,College,Medical Leave,M,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Small,2011-01-27,2011,01
91,OE,75231,Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,3,2,Call Center,Two-Door Car,Medsize,2011-02-27,2011,02
92,CZ,33664,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-17,2011,01
93,WK,30175,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,1,1,Branch,Two-Door Car,Small,2011-02-10,2011,02
94,ON,44465,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-24,2011,01
95,TV,87155,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Large,2011-02-24,2011,02
96,KH,48895,Arizona,No,Basic,Master,Medical Leave,F,Rural,Married,Personal Auto,3,1,Branch,SUV,Medsize,2011-02-15,2011,02
97,NZ,30757,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-02-16,2011,02
98,RI,22468,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,1,3,Web,Four-Door Car,Medsize,2011-01-22,2011,01
99,FZ,30935,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,2,1,Agent,Two-Door Car,Small,2011-02-25,2011,02
100,UG,93476,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-11,2011,01
101,AB,96670,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,1,1,Branch,Four-Door Car,Medsize,2011-01-31,2011,01
102,XK,64261,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate Auto,3,3,Call Center,Two-Door Car,Medsize,2011-01-12,2011,01
103,EV,68375,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-02-16,2011,02
104,UN,51653,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,3,1,Web,SUV,Medsize,2011-02-09,2011,02
105,TO,96662,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,3,1,Call Center,Four-Door Car,Small,2011-01-19,2011,01
106,MR,52087,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,1,3,Branch,Four-Door Car,Medsize,2011-01-04,2011,01
107,DE,75225,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,1,1,Agent,SUV,Medsize,2011-01-09,2011,01
108,EP,80820,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,3,1,Agent,Two-Door Car,Medsize,2011-01-27,2011,01
109,GU,99037,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,1,4,Agent,Four-Door Car,Medsize,2011-02-14,2011,02
110,WI,57118,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,3,4,Agent,Four-Door Car,Small,2011-02-27,2011,02
111,YQ,74870,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,2,2,Web,Four-Door Car,Small,2011-02-12,2011,02
112,MQ,14219,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,SUV,Medsize,2011-02-26,2011,02
113,KN,20603,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-20,2011,02
114,CR,48975,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,4,Branch,Four-Door Car,Medsize,2011-02-02,2011,02
115,JI,70886,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Agent,SUV,Medsize,2011-02-15,2011,02
116,VF,72557,Oregon,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Personal Auto,3,2,Agent,SUV,Medsize,2011-02-18,2011,02
117,OX,28638,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Medsize,2011-01-21,2011,01
118,SK,55033,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,2,3,Agent,Two-Door Car,Medsize,2011-01-15,2011,01
119,OO,88645,California,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,2,2,Call Center,Four-Door Car,Medsize,2011-02-05,2011,02
120,YT,36855,Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,2,3,Web,Two-Door Car,Medsize,2011-02-24,2011,02
121,CW,82151,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,3,1,Call Center,Sports Car,Medsize,2011-01-05,2011,01
122,DY,22043,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,3,3,Branch,Two-Door Car,Small,2011-01-28,2011,01
123,SH,36774,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,3,3,Web,Luxury SUV,Medsize,2011-01-12,2011,01
124,EM,43724,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-16,2011,02
125,FH,85960,Oregon,No,Premium,College,Employed,M,Suburban,Divorced,Personal Auto,2,1,Call Center,Four-Door Car,Medsize,2011-01-03,2011,01
126,XA,55993,Oregon,No,Extended,Master,Employed,F,Rural,Single,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-02-07,2011,02
127,GO,36627,Arizona,No,Extended,College,Employed,M,Urban,Married,Special Auto,2,1,Branch,Four-Door Car,Medsize,2011-01-13,2011,01
128,QH,48047,Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Personal Auto,2,2,Web,Four-Door Car,Medsize,2011-01-03,2011,01
129,RB,50392,Washington,No,Basic,Master,Unemployed,F,Rural,Married,Personal Auto,1,2,Agent,Four-Door Car,Medsize,2011-02-17,2011,02
130,UH,65059,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Sports Car,Medsize,2011-01-21,2011,01
131,FV,21968,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Special Auto,2,1,Branch,Four-Door Car,Medsize,2011-01-26,2011,01
132,QA,87025,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Medsize,2011-01-31,2011,01
133,TQ,13499,Arizona,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-01-02,2011,01
134,BU,44523,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,2,1,Web,Four-Door Car,Small,2011-02-07,2011,02
135,MS,41162,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-26,2011,01
136,PU,25891,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,2,1,Branch,Sports Car,Medsize,2011-01-11,2011,01
137,RB,81636,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,2,2,Agent,Four-Door Car,Small,2011-01-15,2011,01
138,SX,26335,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,3,4,Branch,Four-Door Car,Medsize,2011-02-08,2011,02
139,AZ,95587,Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special Auto,3,3,Branch,Four-Door Car,Small,2011-01-11,2011,01
140,DS,81757,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,1,4,Web,Two-Door Car,Large,2011-01-09,2011,01
141,OJ,94107,Arizona,No,Premium,Master,Employed,M,Urban,Married,Personal Auto,2,1,Call Center,SUV,Medsize,2011-02-04,2011,02
142,LP,84436,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,2,3,Branch,Sports Car,Medsize,2011-01-21,2011,01
143,YV,64727,Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,3,3,Agent,SUV,Medsize,2011-02-16,2011,02
144,LM,19287,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Large,2011-02-24,2011,02
145,ZU,18643,Nevada,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,2,4,Web,Four-Door Car,Medsize,2011-01-18,2011,01
146,AZ,82578,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,3,1,Call Center,Four-Door Car,Medsize,2011-01-30,2011,01
147,XC,67861,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,2,1,Call Center,Two-Door Car,Medsize,2011-01-09,2011,01
148,YC,43143,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,3,2,Web,Four-Door Car,Medsize,2011-02-01,2011,02
149,EK,59571,Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Branch,Four-Door Car,Large,2011-02-28,2011,02
150,GD,83998,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,2,4,Branch,Four-Door Car,Small,2011-01-31,2011,01
151,WA,25797,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,3,2,Agent,Sports Car,Medsize,2011-02-17,2011,02
152,PD,27940,Arizona,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal Auto,3,4,Agent,SUV,Medsize,2011-02-12,2011,02
153,BS,77946,Arizona,No,Extended,Bachelor,Medical Leave,F,Rural,Married,Personal Auto,1,1,Branch,SUV,Medsize,2011-02-24,2011,02
154,YM,50253,California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-02-01,2011,02
155,NR,15332,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,2,Web,Four-Door Car,Small,2011-02-06,2011,02
156,RC,62865,Oregon,No,Extended,College,Employed,M,Rural,Single,Personal Auto,2,3,Agent,Four-Door Car,Medsize,2011-01-23,2011,01
157,CC,15295,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Small,2011-01-21,2011,01
158,KA,61892,Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Personal Auto,3,2,Agent,Sports Car,Medsize,2011-01-20,2011,01
159,OS,94884,Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,2,1,Web,Two-Door Car,Large,2011-01-06,2011,01
160,ND,87334,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,3,2,Agent,Two-Door Car,Medsize,2011-02-22,2011,02
161,ML,93326,Washington,No,Basic,College,Employed,F,Urban,Married,Personal Auto,1,1,Agent,SUV,Medsize,2011-02-27,2011,02
162,YL,74911,California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,3,1,Agent,SUV,Medsize,2011-02-21,2011,02
163,JP,69864,Washington,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Personal Auto,1,1,Branch,Four-Door Car,Medsize,2011-01-29,2011,01
164,HL,53154,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-22,2011,02
165,RI,78966,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-02-21,2011,02
166,IC,13702,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-01-10,2011,01
167,BE,10809,California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,1,1,Agent,Four-Door Car,Small,2011-01-18,2011,01
168,HT,87217,Oregon,No,Extended,High School or Below,Employed,F,Urban,Divorced,Personal Auto,2,3,Agent,Four-Door Car,Medsize,2011-01-16,2011,01
169,TH,95618,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-06,2011,01
170,TS,19868,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,1,4,Branch,Four-Door Car,Medsize,2011-01-27,2011,01
171,LP,45550,Oregon,No,Premium,Doctor,Disabled,F,Urban,Divorced,Personal Auto,3,2,Agent,Four-Door Car,Medsize,2011-01-15,2011,01
172,QR,87004,Nevada,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,3,3,Agent,Four-Door Car,Medsize,2011-01-09,2011,01
173,OE,75747,Nevada,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,2,3,Agent,Four-Door Car,Small,2011-01-28,2011,01
174,DX,91392,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,2,2,Call Center,Four-Door Car,Medsize,2011-02-26,2011,02
175,AB,72731,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,2,2,Call Center,Sports Car,Medsize,2011-01-04,2011,01
176,RU,49126,Washington,No,Basic,College,Employed,F,Rural,Married,Personal Auto,2,2,Agent,SUV,Medsize,2011-02-01,2011,02
177,IS,12901,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Medsize,2011-01-27,2011,01
178,IX,37561,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,3,3,Web,Two-Door Car,Medsize,2011-02-14,2011,02
179,HH,90090,California,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,2,2,Call Center,Sports Car,Small,2011-01-23,2011,01
