Customer,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
FR46645,4293.997319,16701,113,20,26,0,1,831.625979
SY17488,7164.395543,46623,91,1,53,0,3,436.8
AP67935,7619.5158,64749,64,24,59,0,2,302.56519
FS37417,3958.002823,0,101,29,12,0,1,484.8
ML29312,4499.493252,16969,124,34,47,2,1,704.768111
UB61619,4059.567414,11621,108,4,98,0,1,518.4
CD86811,4458.113369,17622,65,1,36,1,3,312.0
RU83859,8110.333139,11489,105,4,50,0,6,504.0
FG63582,3339.764873,0,94,20,53,0,1,863.327324
NN71951,24261.01777,66525,100,0,86,0,2,104.331355
WB37082,6613.973653,0,63,21,28,0,2,676.391482
SM52139,2930.693543,33663,73,29,71,0,1,350.4
FL82372,8672.194272,22547,112,7,60,0,3,537.6
DP45816,11638.66926,61486,97,5,65,0,2,465.258644
GW33762,6846.150323,0,95,13,20,0,5,456.0
RZ33670,11727.77648,29879,102,17,0,0,2,500.254235
PY70169,22643.83478,93011,113,17,12,0,2,281.451042
MO91628,2614.474305,65186,65,29,27,0,1,5.434505
HW87852,2451.752695,26840,64,1,47,2,1,307.2
HB20453,6781.270203,0,104,30,3,1,5,982.399613
BN87372,4974.801539,75644,65,5,68,3,9,467.803638
YX23800,8591.604933,38984,73,27,38,0,2,350.4
DZ87709,5592.161392,71811,71,17,48,0,6,29.03416
XW13033,8009.472833,20961,67,20,33,0,2,321.6
LN31673,11318.08982,38923,99,6,83,2,2,115.728852
OM82309,58166.55351,61321,186,0,30,1,2,427.63121
ZU35962,8025.229358,0,77,20,26,0,2,25.807685
VH85817,5780.182197,51066,74,23,0,0,8,787.993313
DT85712,4118.539113,34378,102,12,54,0,1,489.6
YJ88573,2523.07015,43072,63,35,15,0,1,302.4
SQ19467,6554.216396,25222,90,28,69,0,3,475.623251
HF88410,7703.397294,36765,66,15,32,1,2,320.849072
ET79815,5926.729379,23091,96,28,90,5,5,460.8
QC35222,2683.470677,48269,69,3,79,3,1,282.151207
CJ15590,2695.182419,32720,67,13,12,0,1,321.6
OI48267,6047.02516,20396,76,15,60,1,4,364.8
JY67916,13171.01282,21513,119,21,81,1,2,679.827592
OE75231,10656.88195,72540,88,7,3,0,2,631.743039
CZ33664,2527.653796,80744,63,24,84,0,1,11.879037
WK30175,2672.095756,52822,67,23,88,0,1,350.529033
ON44465,5313.294035,0,77,8,10,1,9,863.3947
TV87155,20946.19251,69738,74,2,26,1,2,492.127532
KH48895,8375.353929,17780,109,12,18,0,9,132.588288
NZ30757,4801.661503,18107,62,29,11,0,8,297.6
RI22468,5745.94334,57740,74,30,87,3,9,269.905129
FZ30935,6066.115969,32627,76,11,60,0,7,380.036697
UG93476,8002.308333,0,107,3,65,0,3,513.6
AB96670,2393.915369,0,70,24,10,0,1,425.266308
XK64261,4762.8179,65795,62,2,85,1,3,49.011099
EV68375,4330.38602,60475,107,9,18,0,1,513.6
UN51653,9402.729769,0,130,28,88,0,4,936.0
TO96662,6966.694527,41837,88,29,93,0,9,142.062768
MR52087,7694.064293,32303,65,13,34,0,2,45.152521
DE75225,8717.561149,0,117,5,89,1,3,561.6
EP80820,5928.748528,40531,74,17,32,0,9,30.567357
GU99037,2452.977288,79898,62,5,86,1,1,271.606799
WI57118,6701.571657,56398,85,4,18,0,7,408.0
YQ74870,7556.24034,35257,98,16,2,1,8,470.4
MQ14219,8492.6988,27804,109,19,54,0,7,784.8
KN20603,7713.494046,45506,66,16,32,2,2,316.8
CR48975,24084.5352,65196,67,0,54,0,2,396.082036
JI70886,7290.069769,0,102,11,70,1,3,489.6
VF72557,4772.943848,20993,133,35,90,0,1,638.4
OX28638,6806.491395,37839,86,35,77,0,9,465.633954
SK55033,2469.781334,92711,62,24,10,0,1,368.400146
OO88645,3103.923041,74665,78,10,90,2,1,236.902001
YT36855,2981.875575,0,83,26,89,0,1,582.679087
CW82151,8902.737595,46833,112,6,3,0,9,64.109663
DY22043,5499.447223,88768,68,17,77,0,7,326.4
SH36774,15023.59858,28262,192,9,77,0,3,921.6
EM43724,2509.107875,33555,63,17,11,0,1,101.89645
FH85960,31221.7481,42780,113,10,27,1,2,542.4
XA55993,3133.503432,58850,78,20,26,0,1,143.747794
GO36627,3837.451863,21880,97,29,37,0,1,424.077159
QH48047,11790.49617,25251,66,13,43,0,2,316.8
RB50392,7838.068321,0,69,9,12,0,2,2.704934
UH65059,4305.808345,24188,109,14,82,0,1,523.2
FV21968,5973.976904,41611,74,14,8,0,8,113.801497
QA87025,5670.442396,28406,72,16,35,1,4,192.87572
TQ13499,4731.749346,69833,118,32,99,0,1,828.662719
BU44523,8026.379641,0,74,15,91,0,2,532.8
MS41162,4022.963529,0,117,6,1,0,1,975.107098
PU25891,9618.310865,80536,119,5,83,0,3,53.798708
RB81636,2274.775451,0,63,2,5,0,1,606.642452
SX26335,9552.926922,97732,79,0,70,0,2,289.9122
AZ95587,10388.55323,61222,89,20,55,0,2,392.604371
DS81757,2470.121222,0,74,7,20,0,1,721.242206
OJ94107,5619.068508,50335,140,9,54,0,1,456.52385
LP84436,9047.119209,0,127,30,11,0,6,1087.995426
YV64727,6692.143668,63221,168,28,49,0,1,806.4
LM19287,3731.504584,0,96,31,34,0,1,460.8
ZU18643,3660.770258,64495,92,34,30,0,1,251.992083
AZ82578,7928.829252,0,72,7,75,0,2,345.6
XC67861,5011.751577,28859,67,24,51,3,4,321.6
YC43143,7988.258292,77330,99,0,21,0,3,99.257608
EK59571,3885.456401,0,105,3,92,0,1,504.0
GD83998,2659.337982,24495,70,29,65,0,1,336.0
WA25797,8564.768226,95697,107,29,29,0,9,178.006524
PD27940,4885.162511,26372,126,11,7,0,1,604.8
BS77946,9753.307106,17514,127,2,5,0,3,8.312729
YM50253,2946.153697,89270,74,17,90,0,1,316.599228
NR15332,2581.110945,29757,65,13,55,0,1,312.0
RC62865,3517.385764,51814,92,28,89,0,1,56.300724
CC15295,9743.350113,24028,82,14,27,0,2,393.6
KA61892,3873.647046,28142,105,18,50,0,1,701.708239
OS94884,7649.28199,52705,64,14,8,1,2,128.705563
ND87334,2287.59692,0,63,1,5,0,1,679.368378
ML93326,4475.424592,84903,111,7,63,0,1,497.126827
YL74911,8714.922135,0,118,14,64,0,4,566.4
JP69864,2248.449633,24910,63,7,63,1,1,347.857619
HL53154,7416.197322,0,77,15,12,2,2,554.4
RI78966,7771.158973,21876,68,12,28,0,2,465.41477
IC13702,6968.3419,0,69,33,61,1,2,496.8
BE10809,4250.282624,0,61,17,1,1,7,292.8
HT87217,19776.56654,70699,82,1,57,0,2,256.813837
TH95618,21343.46599,0,74,11,85,1,2,355.2
TS19868,2413.139714,27501,63,20,0,0,1,542.319401
LP45550,15363.84716,15897,101,30,99,0,2,303.148399
QR87004,8456.961887,25141,73,12,4,1,2,25.438063
OE75747,2189.642522,0,61,5,46,3,1,292.8
DX91392,5780.182197,51066,74,23,0,0,8,787.993313
AB72731,4639.981638,28358,117,24,37,0,1,84.024413
RU49126,4465.335703,61846,112,1,48,0,1,215.8182
IS12901,5968.118877,90972,74,3,47,0,8,232.926145
IX37561,5097.763337,0,74,3,95,0,7,532.8
HH90090,4076.634665,29549,104,17,51,0,1,710.433775
IU25463,12252.60179,0,115,12,17,1,2,552.0
KC11055,16936.27147,39411,217,4,29,2,4,1122.658899
PD33979,4892.435461,21709,62,28,17,0,3,408.374746
NK71023,9942.304791,67890,85,23,57,0,2,408.0
AB13432,3735.838129,0,110,3,16,0,1,792.0
OZ97704,13117.52215,84311,111,11,98,4,2,532.8
UF46533,4574.524094,99316,114,26,53,0,1,754.358929
XP47431,5470.060561,54507,138,20,11,0,1,702.990032
GK73582,2978.84601,64586,76,3,17,0,1,206.837111
RV98763,6410.967544,61709,82,5,41,2,7,275.395894
II62831,4479.023088,94656,111,12,79,1,1,459.738128
XK33449,2383.731879,0,69,5,40,0,1,496.8
TR85083,2764.493659,61085,70,27,34,1,1,336.0
EO95328,7920.105377,89284,67,7,31,3,2,321.6
EN21086,6889.097981,0,63,6,12,0,2,302.4
YL83902,3274.194616,31686,81,11,33,0,1,430.994107
AZ62651,9951.707743,56855,255,12,1,0,1,1836.0
ZW25874,2521.555686,53703,67,3,45,2,1,67.632476
EH41854,23706.11337,0,96,12,35,1,2,844.481918
MW70227,6047.02516,20396,76,15,60,1,4,364.8
SL22297,11140.30248,27679,150,30,28,0,3,722.486994
RV14138,4334.064096,23904,123,1,67,3,1,590.4
UO62808,2799.74791,65351,69,4,54,0,1,481.027516
ZX64745,7923.136624,0,113,20,1,0,7,1124.427734
FL34139,3688.110888,0,63,0,54,3,7,669.682001
TS11219,12067.45599,0,116,14,35,0,2,1284.093173
XX12304,2924.976721,64459,72,16,64,0,1,240.259479
SD64087,15014.0927,32961,190,13,53,0,3,912.0
OY38576,9277.233839,71416,116,10,0,0,3,556.8
BG76355,6274.123875,68964,78,15,6,0,3,115.086827
IP66913,3886.647414,78108,98,12,34,0,1,470.4
LE95702,4386.277558,10621,67,28,22,0,5,321.6
KX54357,11365.26766,84910,95,4,69,0,2,383.167471
EZ78112,5610.96434,77493,70,2,35,0,3,307.963291
XN16891,2912.892035,81097,74,7,67,0,1,355.2
XK31350,6915.729915,96610,85,6,23,0,3,520.364752
CC30924,6262.663307,30110,159,20,71,0,1,466.436375
IT78748,6503.397049,22081,84,1,9,0,6,451.670309
KY33386,8007.399376,0,112,12,93,0,3,537.6
CO44221,2929.916512,98473,72,19,69,0,1,345.6
LK60013,5969.55297,97431,74,1,72,0,3,355.2
DE21533,5473.15987,93870,69,1,96,0,8,331.2
YS94121,5645.396665,50366,72,9,5,0,9,428.734656
UK68427,6369.262355,34498,83,30,72,0,7,398.4
TE49565,11833.76732,16552,103,23,53,0,2,494.4
RA88421,6121.107929,26787,77,7,50,0,5,369.6
KQ51983,5159.369746,0,74,2,42,0,9,831.752839
CD88896,2514.59196,43860,65,15,58,0,1,156.124914
YV22553,8668.611261,21474,114,13,72,2,9,373.428187
WU14435,4960.965384,18174,66,8,16,0,9,395.934815
XV84099,5504.139033,0,73,18,45,0,5,350.4
RI24911,7507.455372,60920,64,10,61,0,2,231.201886
KO26461,32269.85139,41520,90,18,70,0,2,289.904105
HI14283,5657.031588,0,152,12,89,0,1,729.6
PT50227,5061.757902,0,68,19,16,0,8,326.4
BH36570,5912.783829,72208,73,3,84,0,8,350.4
TX17484,15182.27975,53863,63,12,30,0,2,105.765111
CT41158,10747.03094,66446,136,8,77,0,3,639.464548
AO87348,2050.623512,0,61,18,26,0,1,292.8
DE55857,2465.444865,64997,63,7,99,1,1,383.442328
LF66923,5343.121327,64460,66,18,42,0,3,316.8
CN24514,8119.829071,46618,67,22,77,0,2,99.085943
UW32074,4605.265164,0,64,13,64,0,4,307.2
HP36979,6408.785577,49988,84,6,37,5,5,566.935022
PP40919,2376.533508,0,91,2,8,5,1,436.8
RO73268,3211.070017,16269,86,6,84,0,1,412.8
HO61691,5094.522262,72006,64,4,38,0,3,307.2
BS13062,25755.27817,0,81,3,60,2,2,388.8
FO35655,8672.229719,0,245,34,83,0,1,2345.413441
HR10526,8044.73072,44320,67,13,79,0,2,321.6
IA63417,4001.519098,19782,108,13,66,0,1,773.470977
BH35016,16706.11699,63933,70,35,98,0,2,424.883448
PK52952,8544.411077,28224,109,13,13,0,8,523.2
OD76309,7805.31287,21073,106,25,54,1,3,508.8
IL28481,6112.756868,63243,77,21,73,0,3,364.240307
GY55092,4772.943848,20993,133,35,90,0,1,638.4
UF33451,10979.09559,94827,135,5,64,0,4,354.729129
CF15558,5004.263818,39161,63,18,83,1,4,283.995953
JM62924,13223.04379,37534,84,2,0,2,2,403.2
EM66435,2623.31543,80210,65,30,28,0,1,20.543176
QX45933,17840.19555,0,62,32,59,0,2,385.115437
JI71369,5106.111827,30110,64,2,4,0,5,140.165035
JU93290,17930.60451,21708,68,28,77,0,2,326.4
GU66096,5457.342569,94731,67,23,65,0,4,321.6
UC33108,6563.644143,32375,83,17,83,0,6,398.4
LW93867,4812.525221,16531,63,0,40,0,4,102.879769
OU78470,29328.04185,32006,94,28,7,0,2,56.868289
XW90265,5773.520711,81676,72,21,86,0,8,463.158502
HS67749,6847.1189,71038,86,15,56,0,3,205.444066
VZ51506,3595.31286,0,103,20,43,0,1,741.6
UI64281,22855.61209,20832,65,8,32,0,2,56.371967
AE98193,7859.414569,0,113,19,10,0,7,813.6
AZ74055,4115.577437,52405,103,2,27,0,1,494.4
XS76911,5029.638777,0,133,3,89,0,1,795.864079
AY40674,4821.418454,26583,128,6,46,4,1,614.4
NA12740,5004.310469,25486,65,15,53,0,3,72.438681
UA84837,8630.053943,24065,111,30,1,0,5,532.8
DJ51510,9322.08512,70435,116,0,50,0,4,67.881546
VM58985,16727.56063,0,76,33,36,2,2,402.636829
OH60605,3652.532435,39679,92,2,85,0,1,641.388616
UO98052,6158.601171,0,89,13,45,0,5,342.481173
NC53424,4376.083958,0,69,21,70,4,3,331.2
LQ13873,5569.456156,53565,71,27,34,1,6,340.8
LA97014,2576.513006,37574,66,19,14,1,1,412.101933
NB79936,8346.983233,48259,108,14,79,0,3,73.700573
NT89061,6323.923864,78532,78,25,87,0,3,374.4
AF10970,5973.14343,96163,73,23,90,0,3,350.4
ZG48513,4706.676993,0,72,0,86,0,7,345.6
JQ59145,8093.410258,0,114,9,72,1,5,722.024742
FE84989,5035.744643,72672,63,7,39,0,5,259.361117
JT52858,9027.867218,99002,112,33,75,1,8,537.6
MC62068,7288.884849,79494,91,19,30,0,3,396.295614
EU27538,18042.47942,35704,225,21,35,0,8,358.281562
RH42306,4992.063043,0,71,6,5,0,3,653.388564
US23612,9102.267849,26049,118,17,6,0,6,121.032372
WV76014,2540.407726,70125,64,21,77,0,1,92.813396
RK96223,12941.89193,52369,110,34,49,1,2,528.0
MF82000,2365.348601,0,66,25,51,2,1,159.636956
FM46980,5720.765064,41770,72,0,60,0,9,476.156957
SY56792,7035.534088,0,101,16,88,0,8,727.2
RF61565,2636.97773,31911,67,33,27,0,1,321.6
IM94808,5395.831967,70051,68,15,69,0,8,42.078345
VI14730,8382.630118,19683,117,17,41,1,9,561.6
YR34119,31161.74523,30916,112,7,65,0,2,200.11606
RR77985,2887.742258,0,80,24,95,0,1,676.944023
VC22097,8714.922135,0,118,14,64,0,4,566.4
WV17090,25585.72783,0,116,0,45,0,2,830.623064
TM23514,10272.6082,60145,132,8,28,0,3,580.473259
MQ68407,4376.363592,63774,111,18,63,0,1,60.036683
GJ59592,5318.89664,25134,67,3,0,0,6,321.6
FY56083,4719.762191,37057,61,5,48,1,6,47.53101
UA94723,4428.031583,58577,110,6,62,0,1,303.872752
FW91032,5879.176092,85857,73,3,19,0,6,100.620067
DE34457,9416.908485,70602,116,8,47,0,3,481.339891
HD32044,8288.155579,33816,106,10,97,2,3,508.8
HH30454,32654.8383,0,153,7,75,0,2,1101.6
AH84063,4719.450052,89642,121,11,20,4,1,86.320022
QA17596,3903.474784,60068,98,17,75,0,1,470.4
XI41052,5457.259678,50044,139,16,14,0,1,667.2
DI30528,2725.356404,36650,69,2,70,1,1,56.60333
SC66359,4433.97368,50653,110,29,42,0,1,262.865172
EN61670,5332.462694,68931,66,32,30,0,7,309.577946
DQ10761,2315.094985,0,73,14,39,1,1,350.4
BQ51587,5411.953687,0,73,1,22,0,5,365.364581
JE21522,9587.33234,39266,80,33,31,0,2,384.0
WS47147,22103.5072,0,102,35,48,0,2,489.6
ZA64638,9764.945308,0,98,24,11,1,2,705.6
EW38459,2567.151468,40864,65,2,75,0,1,9.51528
QW87316,2650.622781,39035,68,15,65,0,1,244.564334
IC43478,11264.36334,34923,98,23,82,0,2,639.105556
TE34064,2168.523464,0,63,1,56,0,1,453.6
WU60905,8610.667489,0,111,27,36,0,9,532.8
YM18992,2834.646235,24506,71,7,47,0,1,511.2
PD55753,8930.139728,0,82,25,63,0,2,554.522969
KU56006,5536.386959,52220,70,17,42,1,5,336.0
MJ69973,2840.85429,0,74,17,73,0,1,402.449823
TW43626,8082.880956,53554,67,6,5,0,2,327.020539
XX84133,5254.734278,34476,67,23,49,1,3,5.3953
ZW84453,5116.237577,0,70,1,11,0,5,131.401291
HO29524,3034.646997,68205,76,35,14,0,1,99.382943
VE89726,8024.89992,0,119,6,48,1,8,856.8
GE87503,18211.14319,53690,154,20,97,0,2,739.2
PX90263,5121.563312,0,72,2,22,0,5,518.4
NI17718,2150.178588,0,61,28,31,0,1,292.8
FY32213,5595.389905,74454,71,25,29,0,3,340.8
RZ13254,7562.824036,0,73,23,91,0,2,350.4
GN45013,5385.853211,29664,71,1,69,0,3,340.8
UB16654,4718.558501,15680,64,20,29,0,8,260.879903
KU84464,9422.567923,47272,79,17,17,3,2,64.546877
YH43527,3605.860265,21585,92,35,61,0,1,441.6
RO30676,7762.590564,23827,106,18,77,2,3,37.910623
QL59704,23444.90045,69906,74,34,32,2,2,202.860399
QH19450,2558.178159,0,72,7,77,0,1,345.6
HR85211,5123.170887,89879,63,17,20,0,3,94.030308
UV54502,2537.744494,0,69,9,89,0,1,331.2
WB38524,2969.593296,46131,74,27,28,0,1,355.2
CE56187,4363.124641,54514,109,5,36,3,1,286.234931
JL19416,5884.308607,0,161,29,1,0,1,1159.2
JZ61422,5272.191556,96668,66,2,95,0,3,316.8
LA13377,5509.895664,78879,69,9,67,1,4,466.570791
NC99948,16313.68349,0,69,21,86,0,2,331.2
QD34785,5678.050167,0,76,8,44,0,3,364.8
RO26085,12101.20884,0,112,28,30,0,2,1252.406235
ES57969,2453.570794,29735,69,3,92,0,1,331.2
JK55587,5075.66267,23082,65,18,90,0,7,312.0
RN97635,3214.979402,53984,80,15,62,0,1,421.484456
BI76326,12275.34309,52135,156,6,86,0,9,430.505942
JA34909,2722.210707,17576,71,29,70,0,1,398.502948
OJ90342,2457.440923,29486,62,19,73,0,1,7.646763
CM88932,3554.845264,58557,88,4,83,0,1,55.510526
JJ97525,4929.549699,25632,63,27,52,0,7,351.270869
XV21647,8036.45034,0,112,7,42,0,9,806.4
MC83487,4276.915328,18768,68,19,53,3,3,647.454583
BL90769,33473.34946,33190,106,18,95,0,2,508.8
CR57148,5960.581363,47945,74,32,39,0,3,128.43823
CP85232,44795.46942,58778,126,6,62,0,2,302.033971
YL74732,3832.118106,15192,100,1,7,0,1,480.0
FG16766,6837.932624,51859,171,0,21,0,1,1003.160633
NV55438,5285.26816,23422,72,25,76,0,3,518.4
RM10880,3096.511217,21604,79,14,28,0,1,379.2
GL56175,3589.710715,79298,90,22,2,0,1,244.362072
UK52289,2582.408525,76731,64,2,68,0,1,201.455005
LL45497,2487.729726,67282,62,29,27,0,1,297.6
BC62782,13575.67599,48534,115,29,79,1,2,552.0
YM57893,4685.504251,77678,116,32,81,0,1,741.418485
JP30654,28685.82785,48412,104,15,23,0,2,707.430832
RA66180,2764.032126,33837,72,29,54,4,1,305.575785
EN60878,6183.111464,23712,85,2,20,0,3,376.126419
JF36291,3873.647046,28142,105,18,50,0,1,701.708239
BK59444,18929.3306,72196,68,8,61,0,2,152.184244
MK70700,5553.295758,68197,69,1,81,0,3,176.819414
IW71076,5011.259184,75248,63,13,71,0,5,104.454624
AP98768,10442.44633,0,98,9,50,0,2,941.718054
OM24164,2199.61781,0,65,5,19,1,1,468.0
QP84605,8709.845263,41546,111,4,47,0,3,121.306839
VC87846,7484.310483,46998,96,13,98,0,6,460.8
ZM92052,2613.023132,57099,67,20,37,0,1,67.859881
ON73702,9080.639651,33897,114,15,67,0,8,539.843003
QQ90441,13770.97618,59207,116,23,21,0,2,556.8
HU35721,2876.822941,40171,73,8,78,0,1,350.4
XH85336,5548.031892,67798,69,1,78,0,9,331.2
ZH17561,5097.526248,21665,136,0,25,0,1,765.709629
AG85615,24143.87556,0,87,9,75,0,2,626.4
OY74069,3538.059456,0,67,12,67,5,7,321.6
DJ91267,29091.23936,34226,244,29,22,0,2,494.395024
KB72438,19834.20115,65989,123,4,43,1,2,115.545086
TR67616,4731.366975,30686,61,22,45,0,3,19.938981
GF65731,35537.846,0,113,15,6,0,2,799.926741
HB67642,34611.37896,20090,109,10,59,0,2,523.2
DP84567,20216.30883,0,183,6,16,0,2,878.4
VV77534,13976.51925,77094,176,25,29,0,5,444.470676
GL67540,5904.088162,97413,73,21,80,0,6,268.819985
SV50502,5595.835041,79189,69,6,97,0,4,331.2
UK59698,2294.303629,0,62,5,31,0,1,297.6
OA57352,6273.911874,18577,86,21,76,0,6,412.8
ZF84449,3726.727996,0,112,7,34,1,1,806.4
VH31965,5285.118669,40783,67,13,43,1,9,321.6
HG39060,5110.680779,0,74,34,51,0,4,532.8
EM29359,7126.596501,17483,183,24,63,0,1,1317.6
SF57173,4601.634099,84394,114,9,38,0,1,691.412378
OT47603,9155.239699,0,127,3,93,0,3,804.811859
SW31412,14808.05624,41440,62,20,80,1,2,297.6
JS36322,8901.678357,0,136,14,69,1,8,1090.86434
RE81445,5734.598243,98132,71,10,61,0,3,50.587035
RM24280,4177.696973,0,112,4,49,0,1,537.6
LC25393,27776.28906,88220,230,28,63,0,2,151.528482
UX38930,10364.34749,58327,129,31,5,0,3,347.075948
HD95496,7851.901368,25950,66,27,1,0,2,271.697529
RX24650,4772.943848,20993,133,35,90,0,1,638.4
DW19309,14226.50485,65726,177,35,90,0,7,849.6
EG48956,4031.104947,0,63,35,59,3,3,639.45899
UF88986,2794.907476,39783,72,28,43,0,1,345.6
DB42794,4362.931238,58842,110,6,74,0,1,528.0
JB50798,9624.524417,25629,124,3,70,2,6,595.2
JY45873,5015.009472,48567,130,12,15,0,1,624.0
TE35785,6948.422239,0,196,0,73,2,1,1337.063487
CM55703,2896.918767,33746,74,1,6,1,1,355.2
QN65180,21903.91364,22254,79,22,75,0,2,125.194389
GE47180,9028.821403,65974,113,3,43,0,3,235.220971
VQ38776,5303.759534,0,76,18,63,0,3,395.34111
ZY90118,4165.354461,17161,113,1,22,1,1,542.4
IN17648,5123.768112,0,74,1,62,0,7,772.798511
DF95759,9492.342964,0,132,9,85,0,6,633.6
QG45324,8204.863191,0,73,9,14,0,2,350.4
MN61620,9877.295699,67752,131,4,40,4,9,168.517149
YH86390,4815.009736,25398,64,30,80,0,6,307.2
FY13480,6277.011679,0,88,30,19,0,4,633.6
YH61661,8260.639809,33321,105,6,2,0,3,504.0
NL93182,2549.450038,0,78,13,32,0,1,845.654042
UM45563,4502.679656,68798,114,19,69,0,1,92.915251
WE68644,3803.921781,20325,100,4,6,0,1,668.29397
EZ30498,8635.4035,13129,117,15,93,0,6,700.901632
QY74517,5510.558964,0,73,24,57,0,4,525.6
NM88660,3585.884123,49080,91,14,68,0,1,25.299
MZ82036,4889.25278,42536,63,30,57,0,6,375.330097
ID20929,2756.941661,29926,74,25,34,0,1,418.233667
EY50028,3289.547398,0,86,5,55,0,1,398.240791
TT82373,10937.1785,21450,138,15,35,0,4,938.513425
OH64088,7375.567916,33345,65,32,52,0,2,338.619869
SK97780,10110.77818,15752,90,27,37,0,2,339.344531
IO33050,5119.414293,40169,65,1,47,1,3,302.818833
XA55917,8533.832013,26049,113,10,15,1,9,619.165344
JK32620,2224.768,0,68,3,4,0,1,326.4
RQ19236,8042.803784,55411,100,24,53,0,4,259.561195
QC47433,2554.437138,12459,70,4,41,0,1,336.0
RA93608,18073.93999,64620,76,24,32,1,2,364.8
XH97711,2430.506586,83140,61,25,70,0,1,179.161843
AU96286,3167.658442,0,92,20,50,0,1,662.4
KC17170,5465.603983,54422,68,9,8,0,5,75.501852
ZN47335,10357.51422,68309,131,4,67,0,9,306.983596
EI46264,2537.813878,56621,65,27,36,2,1,84.026848
EK87864,2821.947219,38977,70,27,22,0,1,139.489926
GV45403,7757.128146,0,111,32,13,0,3,607.4459
QK31192,4079.132667,0,114,12,43,0,1,631.124372
LU89008,5955.544552,0,83,35,87,0,8,628.023494
NS10490,14158.61364,83235,70,16,33,0,2,336.0
KL98495,8487.238032,0,74,7,93,0,2,426.655599
IU96845,6285.476868,32390,80,20,36,0,8,91.417923
QL93655,11473.48149,66538,95,14,64,0,2,317.844812
QZ42725,2310.882998,0,64,12,24,0,1,460.8
LZ34046,23594.6802,76358,66,25,3,0,2,86.461582
ZH19885,2514.59196,43860,65,15,58,0,1,156.124914
YE88490,5380.898636,55350,67,0,13,0,9,321.6
YC80498,4770.550911,12964,65,2,37,0,4,362.774545
AI85843,6756.651404,33288,86,1,27,2,9,221.856184
XD66024,5936.011773,0,84,31,25,0,3,980.169081
