index,State,Response,Coverage,Education,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,customer__lifetime__value,income,monthly__premium__auto,months__since__last__claim,months__since__policy__inception,number_of__open__complaints,number_of__policies
47,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer4,Agent,Two-Door Car,Medsize,5514.344018,23218,71,7,10,0,4
48,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize,3343.875326,0,92,11,77,0,1
49,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize,2294.478927,0,62,11,56,0,1
52,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Special L1,Offer4,Branch,Four-Door Car,Medsize,7983.431709,36014,69,4,40,3,2
53,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize,4854.745666,29834,64,19,44,0,3
54,California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Small,4293.997319,16701,113,20,26,0,1
55,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer3,Call Center,Four-Door Car,Small,7164.395543,46623,91,1,53,0,3
56,California,No,Basic,College,Employed,M,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize,7619.5158,64749,64,24,59,0,2
57,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Small,3958.002823,0,101,29,12,0,1
58,Oregon,No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,4499.493252,16969,124,34,47,2,1
59,Oregon,No,Premium,Master,Disabled,F,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,4059.567414,11621,108,4,98,0,1
60,Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,4458.113369,17622,65,1,36,1,3
61,California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Small,8110.333139,11489,105,4,50,0,6
62,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Small,3339.764873,0,94,20,53,0,1
64,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Large,6613.973653,0,63,21,28,0,2
65,Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize,2930.693543,33663,73,29,71,0,1
66,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize,8672.194272,22547,112,7,60,0,3
67,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Two-Door Car,Small,11638.66926,61486,97,5,65,0,2
68,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Large,6846.150323,0,95,13,20,0,5
69,California,No,Premium,College,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize,11727.77648,29879,102,17,0,0,2
71,Oregon,No,Basic,Master,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Web,Two-Door Car,Large,2614.474305,65186,65,29,27,0,1
72,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,2451.752695,26840,64,1,47,2,1
73,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Sports Car,Medsize,6781.270203,0,104,30,3,1,5
74,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize,4974.801539,75644,65,5,68,3,9
75,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small,8591.604933,38984,73,27,38,0,2
76,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Medsize,5592.161392,71811,71,17,48,0,6
77,Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize,8009.472833,20961,67,20,33,0,2
78,Washington,No,Extended,College,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,11318.08982,38923,99,6,83,2,2
80,California,No,Extended,College,Unemployed,F,Rural,Single,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Large,8025.229358,0,77,20,26,0,2
81,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,5780.182197,51066,74,23,0,0,8
82,California,No,Basic,Doctor,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer3,Branch,SUV,Medsize,4118.539113,34378,102,12,54,0,1
83,Nevada,No,Basic,Master,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Large,2523.07015,43072,63,35,15,0,1
84,Oregon,No,Extended,College,Disabled,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small,6554.216396,25222,90,28,69,0,3
85,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize,7703.397294,36765,66,15,32,1,2
86,California,Yes,Extended,College,Retired,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,5926.729379,23091,96,28,90,5,5
87,California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer3,Web,Four-Door Car,Medsize,2683.470677,48269,69,3,79,3,1
88,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize,2695.182419,32720,67,13,12,0,1
89,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,6047.02516,20396,76,15,60,1,4
90,Oregon,No,Premium,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Small,13171.01282,21513,119,21,81,1,2
91,Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Call Center,Two-Door Car,Medsize,10656.88195,72540,88,7,3,0,2
92,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,2527.653796,80744,63,24,84,0,1
93,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Branch,Two-Door Car,Small,2672.095756,52822,67,23,88,0,1
94,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,5313.294035,0,77,8,10,1,9
96,Arizona,No,Basic,Master,Medical Leave,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,8375.353929,17780,109,12,18,0,9
97,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,4801.661503,18107,62,29,11,0,8
98,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer3,Web,Four-Door Car,Medsize,5745.94334,57740,74,30,87,3,9
99,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Small,6066.115969,32627,76,11,60,0,7
100,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,8002.308333,0,107,3,65,0,3
101,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize,2393.915369,0,70,24,10,0,1
102,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate Auto,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize,4762.8179,65795,62,2,85,1,3
103,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,4330.38602,60475,107,9,18,0,1
104,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize,9402.729769,0,130,28,88,0,4
105,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Small,6966.694527,41837,88,29,93,0,9
106,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer3,Branch,Four-Door Car,Medsize,7694.064293,32303,65,13,34,0,2
107,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Medsize,8717.561149,0,117,5,89,1,3
108,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,5928.748528,40531,74,17,32,0,9
109,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Offer4,Agent,Four-Door Car,Medsize,2452.977288,79898,62,5,86,1,1
110,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Small,6701.571657,56398,85,4,18,0,7
111,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L2,Offer2,Web,Four-Door Car,Small,7556.24034,35257,98,16,2,1,8
112,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,SUV,Medsize,8492.6988,27804,109,19,54,0,7
113,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,7713.494046,45506,66,16,32,2,2
115,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Medsize,7290.069769,0,102,11,70,1,3
116,Oregon,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize,4772.943848,20993,133,35,90,0,1
117,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize,6806.491395,37839,86,35,77,0,9
118,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Medsize,2469.781334,92711,62,24,10,0,1
119,California,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize,3103.923041,74665,78,10,90,2,1
120,Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Web,Two-Door Car,Medsize,2981.875575,0,83,26,89,0,1
121,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Call Center,Sports Car,Medsize,8902.737595,46833,112,6,3,0,9
122,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Small,5499.447223,88768,68,17,77,0,7
124,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,2509.107875,33555,63,17,11,0,1
126,Oregon,No,Extended,Master,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,3133.503432,58850,78,20,26,0,1
127,Arizona,No,Extended,College,Employed,M,Urban,Married,Special Auto,Special L2,Offer1,Branch,Four-Door Car,Medsize,3837.451863,21880,97,29,37,0,1
128,Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize,11790.49617,25251,66,13,43,0,2
129,Washington,No,Basic,Master,Unemployed,F,Rural,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize,7838.068321,0,69,9,12,0,2
130,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Sports Car,Medsize,4305.808345,24188,109,14,82,0,1
131,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Special Auto,Special L2,Offer1,Branch,Four-Door Car,Medsize,5973.976904,41611,74,14,8,0,8
132,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,5670.442396,28406,72,16,35,1,4
133,Arizona,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,4731.749346,69833,118,32,99,0,1
134,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Web,Four-Door Car,Small,8026.379641,0,74,15,91,0,2
135,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,4022.963529,0,117,6,1,0,1
136,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Special L2,Offer1,Branch,Sports Car,Medsize,9618.310865,80536,119,5,83,0,3
137,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small,2274.775451,0,63,2,5,0,1
138,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Medsize,9552.926922,97732,79,0,70,0,2
139,Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special Auto,Special L3,Offer3,Branch,Four-Door Car,Small,10388.55323,61222,89,20,55,0,2
140,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer4,Web,Two-Door Car,Large,2470.121222,0,74,7,20,0,1
141,Arizona,No,Premium,Master,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Medsize,5619.068508,50335,140,9,54,0,1
142,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,Sports Car,Medsize,9047.119209,0,127,30,11,0,6
144,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Large,3731.504584,0,96,31,34,0,1
145,Nevada,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer4,Web,Four-Door Car,Medsize,3660.770258,64495,92,34,30,0,1
146,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize,7928.829252,0,72,7,75,0,2
147,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Call Center,Two-Door Car,Medsize,5011.751577,28859,67,24,51,3,4
148,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,7988.258292,77330,99,0,21,0,3
149,Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Large,3885.456401,0,105,3,92,0,1
150,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Small,2659.337982,24495,70,29,65,0,1
151,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize,8564.768226,95697,107,29,29,0,9
152,Arizona,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,SUV,Medsize,4885.162511,26372,126,11,7,0,1
153,Arizona,No,Extended,Bachelor,Medical Leave,F,Rural,Married,Personal Auto,Personal L1,Offer1,Branch,SUV,Medsize,9753.307106,17514,127,2,5,0,3
154,California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,2946.153697,89270,74,17,90,0,1
155,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Small,2581.110945,29757,65,13,55,0,1
156,Oregon,No,Extended,College,Employed,M,Rural,Single,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize,3517.385764,51814,92,28,89,0,1
157,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small,9743.350113,24028,82,14,27,0,2
158,Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize,3873.647046,28142,105,18,50,0,1
159,Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Web,Two-Door Car,Large,7649.28199,52705,64,14,8,1,2
160,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Medsize,2287.59692,0,63,1,5,0,1
161,Washington,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Medsize,4475.424592,84903,111,7,63,0,1
162,California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,8714.922135,0,118,14,64,0,4
163,Washington,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize,2248.449633,24910,63,7,63,1,1
164,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,7416.197322,0,77,15,12,2,2
165,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,7771.158973,21876,68,12,28,0,2
166,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,6968.3419,0,69,33,61,1,2
167,California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small,4250.282624,0,61,17,1,1,7
170,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Offer4,Branch,Four-Door Car,Medsize,2413.139714,27501,63,20,0,0,1
171,Oregon,No,Premium,Doctor,Disabled,F,Urban,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,15363.84716,15897,101,30,99,0,2
172,Nevada,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,8456.961887,25141,73,12,4,1,2
173,Nevada,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Small,2189.642522,0,61,5,46,3,1
174,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize,5780.182197,51066,74,23,0,0,8
175,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Sports Car,Medsize,4639.981638,28358,117,24,37,0,1
176,Washington,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Agent,SUV,Medsize,4465.335703,61846,112,1,48,0,1
177,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,5968.118877,90972,74,3,47,0,8
