,customer,response,effective_to_date,gender_f,gender_m,corporate_auto,personal_auto,special_auto,customer_lifetime_value,total_claim_amount,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,state_Arizona,state_California,state_Nevada,state_Oregon,state_Washington,marital_status_Divorced,marital_status_Married,marital_status_Single,policy_combined_Corporate Auto_L1,policy_combined_Corporate Auto_L2,policy_combined_Corporate Auto_L3,policy_combined_Personal Auto_L1,policy_combined_Personal Auto_L2,policy_combined_Personal Auto_L3,policy_combined_Special Auto_L1,policy_combined_Special Auto_L2,policy_combined_Special Auto_L3,renew_offer_type_Offer1,renew_offer_type_Offer2,renew_offer_type_Offer3,renew_offer_type_Offer4,sales_channel_Agent,sales_channel_Branch,sales_channel_Call Center,sales_channel_Web,vehicle_class_Four-Door Car,vehicle_class_Luxury Car,vehicle_class_Luxury SUV,vehicle_class_SUV,vehicle_class_Sports Car,vehicle_class_Two-Door Car,employmentstatus_Disabled,employmentstatus_Employed,employmentstatus_Medical Leave,employmentstatus_Retired,employmentstatus_Unemployed,location_code_Rural,location_code_Suburban,location_code_Urban,vehicle_size_Large,vehicle_size_Medsize,vehicle_size_Small,coverage_Basic,coverage_Extended,coverage_Premium,education_Bachelor,education_College,education_Doctor,education_High School or Below,education_Master,day,week,month
10,DP39365,0,2011-02-06,0,1,1,0,0,0.49333554785155487,0.491586116583726,77026,110,9,82,2,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6,5,2
11,SJ95423,1,2011-01-10,0,1,1,0,0,0.49478120818609406,0.5498874783796399,99845,110,23,25,1,8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,10,2,1
12,IL66569,0,2011-01-18,0,1,1,0,0,0.2492435006196517,0.31982800247852433,83689,70,21,10,2,8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,18,3,1
13,BW63560,0,2011-01-17,1,0,1,0,0,0.3978497482791473,0.04460472170771017,24599,64,12,50,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,17,3,1
14,FV94802,0,2011-02-06,0,1,0,1,0,0.047816629644204106,0.4730607672790653,25049,67,14,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,6,5,2
15,OE15005,0,2011-01-05,0,1,0,1,0,0.14635619549281595,0.6743041362568734,28855,101,12,59,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,5,1,1
16,WC83389,0,2011-02-27,0,1,0,1,0,0.272542106436961,0.32174727387363194,51148,72,9,1,0,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,27,8,2
17,FL50705,0,2011-01-14,1,0,1,0,0,0.4478552166535026,0.5048882467415202,66140,101,11,21,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,14,2,1
18,ZK25313,0,2011-02-19,0,1,0,1,0,0.06963411128939623,0.36989055182716085,57749,74,31,21,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,19,7,2
19,SV62436,0,2011-01-21,1,0,0,1,0,0.0817687982060348,0.3948901249594496,13789,79,8,49,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,21,3,1
20,TZ98966,0,2011-02-24,1,0,1,0,0,0.039475435088956234,0.5773628040301211,0,73,4,44,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,24,8,2
21,HM55802,0,2011-02-05,1,0,1,0,0,0.0353230896749086,0.45738905779017147,17870,61,30,91,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,5,5,2
22,FS42516,0,2011-01-29,0,1,0,1,0,0.27910006380576124,0.4052909952812555,97541,72,22,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,29,4,1
23,US89481,0,2011-02-28,1,0,0,1,0,0.14643701327132833,0.832382654774503,0,111,15,47,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,28,9,2
24,HO30839,0,2011-02-12,1,0,1,0,0,0.2465615571339376,0.5376355532062622,10511,139,33,64,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,12,6,2
25,GE62437,0,2011-02-02,1,0,0,1,0,0.7867124557989337,0.5548873930060977,86584,111,33,54,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2,5,2
26,EJ77678,0,2011-02-07,1,0,0,1,0,0.09560698659912228,0.39989003958590735,75690,80,17,44,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,7,6,2
27,SV85652,0,2011-02-28,0,1,0,1,0,0.03978945686207566,0.33561409855593377,23158,63,4,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,28,9,2
28,PF41800,0,2011-01-25,0,1,0,1,0,0.20140898617587663,0.3208818990665734,0,65,19,56,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,25,4,1
29,AO98601,0,2011-01-18,0,1,1,0,0,0.22311068584668328,0.3148914909361255,54500,63,28,17,0,6,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,18,3,1
30,SK67821,0,2011-02-13,1,0,1,0,0,0.21696479347932987,0.015977512600639007,37260,62,19,42,0,8,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,13,6,2
31,YV55495,0,2011-01-15,1,0,0,1,0,0.27496536727518417,0.2128881774343703,68987,71,11,40,0,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,15,2,1
32,KY38074,0,2011-01-08,0,1,0,1,0,0.8574283447819312,0.5848868807648442,42305,117,10,62,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,8,1,1
33,DM79012,0,2011-02-06,1,0,0,1,0,0.3919759621139074,0.45488910047694264,65706,91,19,86,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,6,5,2
34,CM61827,0,2011-01-25,0,1,0,1,0,0.08521764445382407,0.6748853440410838,0,90,7,79,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,25,4,1
35,WC35801,0,2011-02-07,0,1,0,1,0,0.04458281127081179,0.163850162675139,53243,66,4,15,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,7,6,2
36,QG25316,0,2011-01-18,1,0,1,0,0,0.053907122763068166,0.5043867303049133,0,70,7,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,18,3,1
37,MB98372,1,2011-01-11,1,0,1,0,0,0.062413202583878835,0.019603756932517043,50071,71,3,32,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,11,2,1
38,IL19217,1,2011-01-28,1,0,0,1,0,0.14591044031392778,0.9195394426140172,60021,99,12,28,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,28,4,1
39,SR38658,0,2011-02-08,0,1,0,1,0,0.7387656925460804,0.5148880759944356,43244,103,15,16,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,8,6,2
40,DH41343,0,2011-02-23,0,1,0,0,1,0.0390089052812467,0.3048916616832101,92834,61,15,56,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,23,8,2
41,HG65722,0,2011-01-25,1,0,0,1,0,0.7807461197475088,0.0004361863021188913,10105,172,5,4,3,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,25,4,1
42,BU27331,0,2011-01-31,0,1,0,1,0,0.1837645492233809,0.6031844370840701,0,73,7,57,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,31,5,1
43,XM45289,0,2011-01-02,1,0,0,1,0,0.2585308993205354,0.4663404049459188,23218,71,7,10,0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2,52,1
44,KP34198,0,2011-02-07,1,0,1,0,0,0.10336468421557438,0.5515792036600975,0,92,11,77,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,7,6,2
45,SH90947,0,2011-01-18,1,0,0,1,0,0.028343621724429502,0.32595710928235894,0,62,11,56,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,18,3,1
46,RB69909,0,2011-02-21,1,0,0,0,1,0.4350453052582174,0.18109801712635756,36014,69,4,40,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,21,8,2
47,XR95069,0,2011-02-16,0,1,0,1,0,0.211376392947536,0.3198914055625833,29834,64,19,44,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,16,7,2
48,FR46645,0,2011-01-17,0,1,0,1,0,0.17128864648473038,0.8661591394993596,16701,113,20,26,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,17,3,1
49,SY17488,0,2011-02-05,1,0,1,0,0,0.3764926330263073,0.45488910047694264,46623,91,1,53,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,5,5,2
50,AP67935,0,2011-02-13,0,1,0,0,1,0.40902905613002616,0.3150635609146973,64749,64,24,59,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,13,6,2
51,FS37417,0,2011-02-23,1,0,0,1,0,0.14726849156032154,0.5048882467415202,0,101,29,12,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,23,8,2
52,ML29312,0,2011-01-28,1,0,0,1,0,0.1859794947151607,0.7340177833130165,16969,124,34,47,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,28,4,1
53,UB61619,0,2011-02-28,1,0,0,1,0,0.1545293164836388,0.5398876491267244,11621,108,4,98,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,28,9,2
54,CD86811,1,2011-01-02,0,1,0,1,0,0.1830212581599586,0.32489132018904104,17622,65,1,36,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,52,1
55,RU83859,0,2011-01-22,1,0,0,1,0,0.4441174538946314,0.5248879052473512,11489,105,4,50,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,22,3,1
56,FG63582,0,2011-01-15,0,1,0,1,0,0.10307082905114484,0.8991808100293353,0,94,20,53,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,15,2,1
57,WB37082,0,2011-01-23,1,0,0,1,0,0.3371431221593617,0.7044592994824612,0,63,21,28,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,23,3,1
58,SM52139,0,2011-01-31,0,1,0,1,0,0.07382643118537155,0.3648906372007031,33663,73,29,71,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,31,5,1
59,FL82372,0,2011-01-26,1,0,1,0,0,0.48428475312522323,0.5598873076325555,22547,112,7,60,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,26,4,1
60,DP45816,0,2011-01-10,1,0,0,1,0,0.6963572413339105,0.48453301514043307,61486,97,5,65,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,10,2,1
61,GW33762,1,2011-01-27,1,0,0,1,0,0.3537413690045521,0.47488875898277366,0,95,13,20,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,27,4,1
62,RZ33670,0,2011-01-09,1,0,0,1,0,0.702727492200411,0.52098613332844,29879,102,17,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,9,1,1
63,MO91628,0,2011-02-11,0,1,0,1,0,0.05122000406449842,0.005557715518674185,65186,65,29,27,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,11,6,2
64,HW87852,0,2011-02-12,0,1,0,1,0,0.039587080524735335,0.3198914055625833,26840,64,1,47,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,12,6,2
65,BN87372,1,2011-01-18,0,1,0,1,0,0.21995915458017043,0.4871840052914429,75644,65,5,68,3,9,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,18,3,1
66,YX23800,0,2011-02-11,0,1,0,1,0,0.47852344324937424,0.3648906372007031,38984,73,27,38,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,11,6,2
67,DZ87709,0,2011-02-01,1,0,0,1,0,0.26409404217419297,0.030140269729894358,71811,71,17,48,0,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,5,2
68,XW13033,0,2011-02-15,0,1,0,1,0,0.4369069781139707,0.3348911494419566,20961,67,20,33,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,15,7,2
69,LN31673,0,2011-02-06,0,1,0,1,0,0.6734391045606811,0.12044569859802977,38923,99,6,83,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,6,5,2
70,ZU35962,0,2011-01-26,1,0,0,1,0,0.4380334077908733,0.0267794156581443,0,77,20,26,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,26,4,1
71,VH85817,1,2011-02-26,0,1,0,1,0,0.27753559826775487,0.8207092218067041,51066,74,23,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,26,8,2
72,DT85712,0,2011-01-27,0,1,0,1,0,0.15874518716901928,0.509888161367978,34378,102,12,54,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,27,4,1
73,YJ88573,0,2011-01-16,0,1,0,1,0,0.04468554594100976,0.3148914909361255,43072,63,35,15,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,16,2,1
74,SQ19467,0,2011-01-27,1,0,0,1,0,0.3328710921467102,0.49532929641893025,25222,90,28,69,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,27,4,1
75,HF88410,0,2011-02-28,0,1,0,1,0,0.4150257212693589,0.3341089461314114,36765,66,15,32,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,28,9,2
76,ET79815,1,2011-01-25,0,1,0,1,0,0.28801221635906893,0.47988867360923143,23091,96,28,90,5,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,25,4,1
