,customer,state,response,coverage,education,effective_to_date,employmentstatus,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,gender_f,gender_m,policy_combined,corporate_auto,personal_auto,special_auto,customer_lifetime_value,total_claim_amount,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
10,DP39365,California,0,Premium,Master,2011-02-06,Employed,Urban,Married,Offer2,Agent,Four-Door Car,Medsize,0,1,Corporate Auto_L1,1,0,0,8798.797003,472.029737,77026,110,9,82,2,3
11,SJ95423,Arizona,1,Basic,High School or Below,2011-01-10,Employed,Suburban,Married,Offer2,Branch,SUV,Medsize,0,1,Corporate Auto_L3,1,0,0,8819.018934,528.0,99845,110,23,25,1,8
12,IL66569,California,0,Basic,College,2011-01-18,Employed,Urban,Single,Offer4,Call Center,Four-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0,5384.431665,307.139132,83689,70,21,10,2,8
13,BW63560,Oregon,0,Basic,Bachelor,2011-01-17,Employed,Rural,Married,Offer2,Branch,Four-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0,7463.139377,42.920271,24599,64,12,50,1,2
14,FV94802,Nevada,0,Basic,High School or Below,2011-02-06,Medical Leave,Suburban,Married,Offer2,Call Center,Two-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,2566.867823,454.245098,25049,67,14,7,0,1
15,OE15005,California,0,Basic,College,2011-01-05,Medical Leave,Suburban,Married,Offer3,Call Center,SUV,Medsize,0,1,Personal Auto_L2,0,1,0,3945.241604,647.442031,28855,101,12,59,0,1
16,WC83389,Oregon,0,Basic,College,2011-02-27,Employed,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0,5710.333115,308.981664,51148,72,9,1,0,7
17,FL50705,California,0,Premium,High School or Below,2011-01-14,Employed,Suburban,Married,Offer1,Call Center,Four-Door Car,Small,1,0,Corporate Auto_L2,1,0,0,8162.617053,484.8,66140,101,11,21,0,3
18,ZK25313,Oregon,0,Basic,High School or Below,2011-02-19,Employed,Suburban,Single,Offer1,Branch,Two-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0,2872.051273,355.2,57749,74,31,21,0,1
19,SV62436,Washington,0,Extended,Bachelor,2011-01-21,Disabled,Suburban,Divorced,Offer4,Call Center,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0,3041.791561,379.2,13789,79,8,49,0,1
20,TZ98966,Nevada,0,Basic,Bachelor,2011-02-24,Unemployed,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0,2450.190996,554.376763,0,73,4,44,3,1
21,HM55802,California,0,Basic,Bachelor,2011-02-05,Disabled,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0,2392.10789,439.2,17870,61,30,91,0,1
22,FS42516,Oregon,0,Basic,College,2011-01-29,Employed,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,0,1,Personal Auto_L3,0,1,0,5802.065978,389.185006,97541,72,22,1,0,3
23,US89481,California,0,Premium,Bachelor,2011-02-28,Unemployed,Suburban,Single,Offer1,Agent,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0,3946.372085,799.2,0,111,15,47,0,1
24,HO30839,Washington,0,Extended,Master,2011-02-12,Disabled,Urban,Married,Offer1,Branch,SUV,Medsize,1,0,Corporate Auto_L1,1,0,0,5346.916576,516.237951,10511,139,33,64,0,1
25,GE62437,Arizona,0,Premium,College,2011-02-02,Employed,Suburban,Single,Offer1,Call Center,Four-Door Car,Large,1,0,Personal Auto_L3,0,1,0,12902.56014,532.8,86584,111,33,54,2,2
26,EJ77678,Oregon,0,Extended,Master,2011-02-07,Employed,Suburban,Married,Offer2,Branch,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0,3235.360468,384.0,75690,80,17,44,1,1
27,SV85652,Arizona,0,Basic,College,2011-02-28,Employed,Suburban,Married,Offer4,Call Center,Four-Door Car,Small,0,1,Personal Auto_L2,0,1,0,2454.58354,322.294043,23158,63,4,6,1,1
28,PF41800,California,0,Basic,Bachelor,2011-01-25,Unemployed,Urban,Married,Offer1,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,4715.321344,308.15089,0,65,19,56,0,3
29,AO98601,Washington,0,Basic,Bachelor,2011-01-18,Employed,Suburban,Married,Offer1,Agent,Two-Door Car,Small,0,1,Corporate Auto_L2,1,0,0,5018.885233,302.4,54500,63,28,17,0,6
30,SK67821,Oregon,0,Basic,Bachelor,2011-02-13,Employed,Rural,Married,Offer3,Web,Four-Door Car,Medsize,1,0,Corporate Auto_L1,1,0,0,4932.916345,15.437681,37260,62,19,42,0,8
31,YV55495,Arizona,0,Basic,High School or Below,2011-01-15,Employed,Urban,Married,Offer1,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0,5744.229745,204.475147,68987,71,11,40,0,6
32,KY38074,California,0,Premium,Bachelor,2011-01-08,Employed,Suburban,Married,Offer1,Agent,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0,13891.73567,561.6,42305,117,10,62,0,2
33,DM79012,Oregon,0,Extended,Master,2011-02-06,Employed,Suburban,Married,Offer2,Web,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0,7380.976717,436.8,65706,91,19,86,0,8
34,CM61827,Oregon,0,Extended,Bachelor,2011-01-25,Unemployed,Suburban,Single,Offer3,Agent,Two-Door Car,Small,0,1,Personal Auto_L2,0,1,0,3090.034104,648.0,0,90,7,79,0,1
35,WC35801,Arizona,0,Basic,High School or Below,2011-02-07,Employed,Rural,Divorced,Offer1,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,2521.633095,157.397849,53243,66,4,15,2,1
36,QG25316,Nevada,0,Basic,High School or Below,2011-01-18,Unemployed,Suburban,Married,Offer3,Call Center,Two-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0,2652.061785,484.318536,0,70,7,1,1,1
37,MB98372,Oregon,1,Basic,College,2011-01-11,Employed,Rural,Single,Offer2,Agent,Two-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0,2771.045031,18.918935,50071,71,3,32,0,1
38,IL19217,California,1,Extended,Bachelor,2011-01-28,Employed,Suburban,Married,Offer2,Agent,Four-Door Car,Small,1,0,Personal Auto_L2,0,1,0,3939.00637,882.871945,60021,99,12,28,0,1
39,SR38658,Arizona,0,Basic,High School or Below,2011-02-08,Employed,Suburban,Married,Offer4,Agent,Sports Car,Medsize,0,1,Personal Auto_L2,0,1,0,12231.87968,494.4,43244,103,15,16,0,2
40,DH41343,Washington,0,Basic,College,2011-02-23,Employed,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,0,1,Special Auto_L2,0,0,1,2443.665166,292.8,92834,61,15,56,0,1
41,HG65722,Oregon,0,Premium,Doctor,2011-01-25,Disabled,Rural,Married,Offer1,Branch,SUV,Medsize,1,0,Personal Auto_L2,0,1,0,12819.10289,0.517753,10105,172,5,4,3,3
42,BU27331,Arizona,0,Basic,Bachelor,2011-01-31,Unemployed,Suburban,Single,Offer3,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,4468.510542,579.165954,0,73,7,57,3,5
43,XM45289,Oregon,0,Basic,High School or Below,2011-01-02,Employed,Suburban,Single,Offer4,Agent,Two-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0,5514.344018,447.79344,23218,71,7,10,0,4
44,KP34198,California,0,Extended,Bachelor,2011-02-07,Unemployed,Suburban,Married,Offer2,Call Center,Four-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0,3343.875326,529.624084,0,92,11,77,0,1
45,SH90947,Arizona,0,Basic,High School or Below,2011-01-18,Unemployed,Suburban,Married,Offer4,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0,2294.478927,313.023175,0,62,11,56,0,1
46,RB69909,Nevada,0,Basic,High School or Below,2011-02-21,Employed,Rural,Married,Offer4,Branch,Four-Door Car,Medsize,1,0,Special Auto_L1,0,0,1,7983.431709,173.956072,36014,69,4,40,3,2
47,XR95069,Washington,0,Basic,Bachelor,2011-02-16,Employed,Suburban,Single,Offer4,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,4854.745666,307.2,29834,64,19,44,0,3
48,FR46645,California,0,Premium,Bachelor,2011-01-17,Disabled,Suburban,Married,Offer1,Branch,Four-Door Car,Small,0,1,Personal Auto_L2,0,1,0,4293.997319,831.625979,16701,113,20,26,0,1
49,SY17488,Arizona,0,Extended,College,2011-02-05,Employed,Suburban,Divorced,Offer3,Call Center,Four-Door Car,Small,1,0,Corporate Auto_L3,1,0,0,7164.395543,436.8,46623,91,1,53,0,3
50,AP67935,California,0,Basic,College,2011-02-13,Employed,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,0,1,Special Auto_L2,0,0,1,7619.5158,302.56519,64749,64,24,59,0,2
51,FS37417,Arizona,0,Basic,High School or Below,2011-02-23,Unemployed,Suburban,Married,Offer1,Call Center,SUV,Small,1,0,Personal Auto_L2,0,1,0,3958.002823,484.8,0,101,29,12,0,1
52,ML29312,Oregon,0,Extended,High School or Below,2011-01-28,Disabled,Suburban,Divorced,Offer1,Call Center,SUV,Medsize,1,0,Personal Auto_L3,0,1,0,4499.493252,704.768111,16969,124,34,47,2,1
53,UB61619,Oregon,0,Premium,Master,2011-02-28,Disabled,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0,4059.567414,518.4,11621,108,4,98,0,1
54,CD86811,Arizona,1,Basic,Bachelor,2011-01-02,Retired,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0,4458.113369,312.0,17622,65,1,36,1,3
55,RU83859,California,0,Premium,Bachelor,2011-01-22,Medical Leave,Suburban,Married,Offer1,Call Center,Two-Door Car,Small,1,0,Personal Auto_L3,0,1,0,8110.333139,504.0,11489,105,4,50,0,6
56,FG63582,Oregon,0,Extended,Bachelor,2011-01-15,Unemployed,Suburban,Single,Offer1,Agent,Two-Door Car,Small,0,1,Personal Auto_L3,0,1,0,3339.764873,863.327324,0,94,20,53,0,1
57,WB37082,Arizona,0,Basic,Bachelor,2011-01-23,Unemployed,Suburban,Single,Offer3,Branch,Four-Door Car,Large,1,0,Personal Auto_L3,0,1,0,6613.973653,676.391482,0,63,21,28,0,2
58,SM52139,Washington,0,Basic,College,2011-01-31,Employed,Suburban,Married,Offer3,Web,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,2930.693543,350.4,33663,73,29,71,0,1
59,FL82372,Oregon,0,Basic,College,2011-01-26,Employed,Suburban,Divorced,Offer1,Agent,SUV,Medsize,1,0,Corporate Auto_L3,1,0,0,8672.194272,537.6,22547,112,7,60,0,3
60,DP45816,Arizona,0,Extended,High School or Below,2011-01-10,Employed,Urban,Married,Offer4,Branch,Two-Door Car,Small,1,0,Personal Auto_L3,0,1,0,11638.66926,465.258644,61486,97,5,65,0,2
61,GW33762,Oregon,1,Extended,Bachelor,2011-01-27,Unemployed,Suburban,Divorced,Offer1,Call Center,Two-Door Car,Large,1,0,Personal Auto_L3,0,1,0,6846.150323,456.0,0,95,13,20,0,5
62,RZ33670,California,0,Premium,College,2011-01-09,Disabled,Suburban,Married,Offer3,Web,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0,11727.77648,500.254235,29879,102,17,0,0,2
63,MO91628,Oregon,0,Basic,Master,2011-02-11,Employed,Rural,Married,Offer2,Web,Two-Door Car,Large,0,1,Personal Auto_L2,0,1,0,2614.474305,5.434505,65186,65,29,27,0,1
64,HW87852,Oregon,0,Basic,Master,2011-02-12,Medical Leave,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0,2451.752695,307.2,26840,64,1,47,2,1
65,BN87372,Oregon,1,Basic,Bachelor,2011-01-18,Employed,Suburban,Divorced,Offer2,Branch,Two-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,4974.801539,467.803638,75644,65,5,68,3,9
66,YX23800,Oregon,0,Basic,Bachelor,2011-02-11,Employed,Suburban,Married,Offer2,Branch,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0,8591.604933,350.4,38984,73,27,38,0,2
67,DZ87709,Oregon,0,Basic,High School or Below,2011-02-01,Employed,Rural,Single,Offer2,Call Center,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0,5592.161392,29.03416,71811,71,17,48,0,6
68,XW13033,Nevada,0,Basic,College,2011-02-15,Employed,Suburban,Married,Offer2,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0,8009.472833,321.6,20961,67,20,33,0,2
69,LN31673,Washington,0,Extended,College,2011-02-06,Employed,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,11318.08982,115.728852,38923,99,6,83,2,2
70,ZU35962,California,0,Extended,College,2011-01-26,Unemployed,Rural,Single,Offer3,Branch,Two-Door Car,Large,1,0,Personal Auto_L3,0,1,0,8025.229358,25.807685,0,77,20,26,0,2
71,VH85817,California,1,Basic,High School or Below,2011-02-26,Employed,Suburban,Single,Offer2,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,5780.182197,787.993313,51066,74,23,0,0,8
72,DT85712,California,0,Basic,Doctor,2011-01-27,Employed,Suburban,Married,Offer3,Branch,SUV,Medsize,0,1,Personal Auto_L1,0,1,0,4118.539113,489.6,34378,102,12,54,0,1
73,YJ88573,Nevada,0,Basic,Master,2011-01-16,Employed,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,0,1,Personal Auto_L3,0,1,0,2523.07015,302.4,43072,63,35,15,0,1
74,SQ19467,Oregon,0,Extended,College,2011-01-27,Disabled,Suburban,Single,Offer2,Agent,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0,6554.216396,475.623251,25222,90,28,69,0,3
75,HF88410,Washington,0,Basic,High School or Below,2011-02-28,Employed,Suburban,Married,Offer1,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0,7703.397294,320.849072,36765,66,15,32,1,2
76,ET79815,California,1,Extended,College,2011-01-25,Retired,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0,5926.729379,460.8,23091,96,28,90,5,5
77,QC35222,California,0,Basic,Bachelor,2011-01-01,Employed,Urban,Married,Offer3,Web,Four-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0,2683.470677,282.151207,48269,69,3,79,3,1
78,CJ15590,Oregon,0,Basic,Bachelor,2011-02-01,Employed,Suburban,Divorced,Offer3,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0,2695.182419,321.6,32720,67,13,12,0,1
79,OI48267,California,1,Extended,College,2011-02-19,Employed,Suburban,Married,Offer1,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,6047.02516,364.8,20396,76,15,60,1,4
80,JY67916,Oregon,0,Premium,College,2011-01-27,Medical Leave,Suburban,Married,Offer2,Branch,Two-Door Car,Small,0,1,Personal Auto_L3,0,1,0,13171.01282,679.827592,21513,119,21,81,1,2
81,OE75231,Washington,1,Extended,Bachelor,2011-02-27,Employed,Suburban,Married,Offer2,Call Center,Two-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0,10656.88195,631.743039,72540,88,7,3,0,2
82,CZ33664,Oregon,0,Basic,Bachelor,2011-01-17,Employed,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0,2527.653796,11.879037,80744,63,24,84,0,1
83,WK30175,Oregon,0,Basic,Bachelor,2011-02-10,Employed,Suburban,Married,Offer1,Branch,Two-Door Car,Small,0,1,Corporate Auto_L1,1,0,0,2672.095756,350.529033,52822,67,23,88,0,1
84,ON44465,California,0,Extended,High School or Below,2011-01-24,Unemployed,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0,5313.294035,863.3947,0,77,8,10,1,9
85,KH48895,Arizona,0,Basic,Master,2011-02-15,Medical Leave,Rural,Married,Offer1,Branch,SUV,Medsize,1,0,Personal Auto_L3,0,1,0,8375.353929,132.588288,17780,109,12,18,0,9
86,NZ30757,California,0,Basic,Bachelor,2011-02-16,Medical Leave,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0,4801.661503,297.6,18107,62,29,11,0,8
87,RI22468,Arizona,0,Basic,Bachelor,2011-01-22,Employed,Urban,Married,Offer3,Web,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0,5745.94334,269.905129,57740,74,30,87,3,9
88,FZ30935,Oregon,0,Extended,College,2011-02-25,Employed,Suburban,Married,Offer1,Agent,Two-Door Car,Small,0,1,Personal Auto_L2,0,1,0,6066.115969,380.036697,32627,76,11,60,0,7
89,UG93476,California,1,Basic,College,2011-01-11,Unemployed,Suburban,Married,Offer1,Agent,SUV,Medsize,1,0,Personal Auto_L3,0,1,0,8002.308333,513.6,0,107,3,65,0,3
90,AB96670,California,1,Basic,College,2011-01-31,Unemployed,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0,2393.915369,425.266308,0,70,24,10,0,1
91,XK64261,Oregon,0,Basic,Bachelor,2011-01-12,Employed,Rural,Single,Offer3,Call Center,Two-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0,4762.8179,49.011099,65795,62,2,85,1,3
92,EV68375,California,1,Premium,College,2011-02-16,Employed,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,4330.38602,513.6,60475,107,9,18,0,1
93,UN51653,California,0,Extended,High School or Below,2011-02-09,Unemployed,Suburban,Single,Offer1,Web,SUV,Medsize,1,0,Personal Auto_L3,0,1,0,9402.729769,936.0,0,130,28,88,0,4
94,TO96662,Oregon,0,Extended,Bachelor,2011-01-19,Employed,Rural,Married,Offer1,Call Center,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0,6966.694527,142.062768,41837,88,29,93,0,9
95,MR52087,California,0,Basic,Bachelor,2011-01-04,Employed,Rural,Married,Offer3,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0,7694.064293,45.152521,32303,65,13,34,0,2
96,DE75225,Oregon,0,Basic,High School or Below,2011-01-09,Unemployed,Suburban,Married,Offer1,Agent,SUV,Medsize,0,1,Personal Auto_L1,0,1,0,8717.561149,561.6,0,117,5,89,1,3
97,EP80820,California,0,Basic,Bachelor,2011-01-27,Employed,Rural,Married,Offer1,Agent,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0,5928.748528,30.567357,40531,74,17,32,0,9
98,GU99037,Oregon,0,Basic,College,2011-02-14,Employed,Urban,Married,Offer4,Agent,Four-Door Car,Medsize,0,1,Corporate Auto_L1,1,0,0,2452.977288,271.606799,79898,62,5,86,1,1
99,WI57118,California,0,Extended,College,2011-02-27,Employed,Suburban,Married,Offer4,Agent,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0,6701.571657,408.0,56398,85,4,18,0,7
100,YQ74870,Washington,0,Extended,High School or Below,2011-02-12,Employed,Suburban,Divorced,Offer2,Web,Four-Door Car,Small,0,1,Corporate Auto_L2,1,0,0,7556.24034,470.4,35257,98,16,2,1,8
101,MQ14219,Arizona,0,Basic,College,2011-02-26,Employed,Suburban,Married,Offer2,Branch,SUV,Medsize,0,1,Personal Auto_L3,0,1,0,8492.6988,784.8,27804,109,19,54,0,7
102,KN20603,Oregon,0,Basic,Bachelor,2011-02-20,Employed,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,7713.494046,316.8,45506,66,16,32,2,2
103,JI70886,California,0,Basic,High School or Below,2011-02-15,Unemployed,Suburban,Married,Offer1,Agent,SUV,Medsize,0,1,Corporate Auto_L2,1,0,0,7290.069769,489.6,0,102,11,70,1,3
104,VF72557,Oregon,1,Extended,High School or Below,2011-02-18,Retired,Suburban,Divorced,Offer2,Agent,SUV,Medsize,0,1,Personal Auto_L3,0,1,0,4772.943848,638.4,20993,133,35,90,0,1
105,OX28638,Arizona,0,Extended,High School or Below,2011-01-21,Employed,Suburban,Married,Offer2,Branch,Two-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0,6806.491395,465.633954,37839,86,35,77,0,9
106,SK55033,California,0,Basic,Bachelor,2011-01-15,Employed,Suburban,Single,Offer3,Agent,Two-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0,2469.781334,368.400146,92711,62,24,10,0,1
107,OO88645,California,0,Extended,College,2011-02-05,Employed,Urban,Married,Offer2,Call Center,Four-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0,3103.923041,236.902001,74665,78,10,90,2,1
108,YT36855,Washington,0,Extended,College,2011-02-24,Unemployed,Suburban,Married,Offer3,Web,Two-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0,2981.875575,582.679087,0,83,26,89,0,1
109,CW82151,California,0,Basic,Bachelor,2011-01-05,Employed,Rural,Married,Offer1,Call Center,Sports Car,Medsize,0,1,Personal Auto_L3,0,1,0,8902.737595,64.109663,46833,112,6,3,0,9
110,DY22043,Oregon,0,Basic,High School or Below,2011-01-28,Employed,Suburban,Married,Offer3,Branch,Two-Door Car,Small,1,0,Personal Auto_L3,0,1,0,5499.447223,326.4,88768,68,17,77,0,7
111,SH36774,California,0,Basic,High School or Below,2011-01-12,Employed,Suburban,Single,Offer3,Web,Luxury SUV,Medsize,0,1,Personal Auto_L3,0,1,0,15023.59858,921.6,28262,192,9,77,0,3
112,EM43724,Nevada,0,Basic,Bachelor,2011-02-16,Employed,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0,2509.107875,101.89645,33555,63,17,11,0,1
113,XA55993,Oregon,0,Extended,Master,2011-02-07,Employed,Rural,Single,Offer2,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0,3133.503432,143.747794,58850,78,20,26,0,1
114,GO36627,Arizona,0,Extended,College,2011-01-13,Employed,Urban,Married,Offer1,Branch,Four-Door Car,Medsize,0,1,Special Auto_L2,0,0,1,3837.451863,424.077159,21880,97,29,37,0,1
115,QH48047,Oregon,1,Basic,College,2011-01-03,Retired,Suburban,Divorced,Offer2,Web,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0,11790.49617,316.8,25251,66,13,43,0,2
116,RB50392,Washington,0,Basic,Master,2011-02-17,Unemployed,Rural,Married,Offer2,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0,7838.068321,2.704934,0,69,9,12,0,2
117,UH65059,Arizona,0,Basic,High School or Below,2011-01-21,Employed,Suburban,Married,Offer1,Agent,Sports Car,Medsize,0,1,Personal Auto_L3,0,1,0,4305.808345,523.2,24188,109,14,82,0,1
118,FV21968,Nevada,0,Basic,Bachelor,2011-01-26,Employed,Rural,Married,Offer1,Branch,Four-Door Car,Medsize,1,0,Special Auto_L2,0,0,1,5973.976904,113.801497,41611,74,14,8,0,8
119,QA87025,Oregon,0,Basic,Bachelor,2011-01-31,Employed,Urban,Married,Offer1,Call Center,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0,5670.442396,192.87572,28406,72,16,35,1,4
120,TQ13499,Arizona,0,Premium,College,2011-01-02,Employed,Suburban,Married,Offer1,Agent,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0,4731.749346,828.662719,69833,118,32,99,0,1
121,BU44523,Arizona,0,Basic,High School or Below,2011-02-07,Unemployed,Suburban,Single,Offer1,Web,Four-Door Car,Small,1,0,Corporate Auto_L2,1,0,0,8026.379641,532.8,0,74,15,91,0,2
122,PU25891,Oregon,0,Basic,High School or Below,2011-01-11,Employed,Rural,Married,Offer1,Branch,Sports Car,Medsize,1,0,Special Auto_L2,0,0,1,9618.310865,53.798708,80536,119,5,83,0,3
123,RB81636,Washington,0,Basic,College,2011-01-15,Unemployed,Suburban,Single,Offer2,Agent,Four-Door Car,Small,1,0,Personal Auto_L2,0,1,0,2274.775451,606.642452,0,63,2,5,0,1
124,SX26335,Oregon,0,Extended,College,2011-02-08,Employed,Urban,Married,Offer4,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0,9552.926922,289.9122,97732,79,0,70,0,2
125,AZ95587,Arizona,0,Extended,Bachelor,2011-01-11,Employed,Urban,Single,Offer3,Branch,Four-Door Car,Small,1,0,Special Auto_L3,0,0,1,10388.55323,392.604371,61222,89,20,55,0,2
126,DS81757,Oregon,0,Basic,College,2011-01-09,Unemployed,Suburban,Single,Offer4,Web,Two-Door Car,Large,0,1,Personal Auto_L1,0,1,0,2470.121222,721.242206,0,74,7,20,0,1
127,OJ94107,Arizona,0,Premium,Master,2011-02-04,Employed,Urban,Married,Offer1,Call Center,SUV,Medsize,0,1,Personal Auto_L2,0,1,0,5619.068508,456.52385,50335,140,9,54,0,1
128,YV64727,Washington,0,Premium,High School or Below,2011-02-16,Employed,Suburban,Married,Offer3,Agent,SUV,Medsize,0,1,Corporate Auto_L3,1,0,0,6692.143668,806.4,63221,168,28,49,0,1
