,Customer,State,Response,Coverage,Education,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,customer_id,Year,Effective To Date
15,BW,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize,63560,2011,2011-01-17
16,FV,Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,94802,2011,2011-02-06
17,OE,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Offer3,Call Center,SUV,Medsize,15005,2011,2011-01-05
18,WC,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,83389,2011,2011-02-27
19,FL,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Offer1,Call Center,Four-Door Car,Small,50705,2011,2011-01-14
20,ZK,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car,Medsize,25313,2011,2011-02-19
21,SV,Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Personal Auto,Offer4,Call Center,Four-Door Car,Medsize,62436,2011,2011-01-21
22,YH,Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,23384,2011,2011-01-26
23,TZ,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Branch,Four-Door Car,Medsize,98966,2011,2011-02-24
24,HM,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize,55802,2011,2011-02-05
25,FS,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Large,42516,2011,2011-01-29
26,US,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,89481,2011,2011-02-28
27,HO,Washington,No,Extended,Master,Disabled,F,Urban,Married,Corporate Auto,Offer1,Branch,SUV,Medsize,30839,2011,2011-02-12
28,GE,Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Large,62437,2011,2011-02-02
29,EJ,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Small,77678,2011,2011-02-07
30,SV,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer4,Call Center,Four-Door Car,Small,85652,2011,2011-02-28
31,UL,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,Luxury SUV,Medsize,64533,2011,2011-01-22
32,PF,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,41800,2011,2011-01-25
33,AO,Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Small,98601,2011,2011-01-18
34,SK,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer3,Web,Four-Door Car,Medsize,67821,2011,2011-02-13
35,YV,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,55495,2011,2011-01-15
36,KY,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small,38074,2011,2011-01-08
37,DM,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Small,79012,2011,2011-02-06
38,CM,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Agent,Two-Door Car,Small,61827,2011,2011-01-25
39,WC,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,35801,2011,2011-02-07
40,QG,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Offer3,Call Center,Two-Door Car,Medsize,25316,2011,2011-01-18
41,MB,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,Offer2,Agent,Two-Door Car,Medsize,98372,2011,2011-01-11
42,IL,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Small,19217,2011,2011-01-28
43,SR,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer4,Agent,Sports Car,Medsize,38658,2011,2011-02-08
44,DH,Washington,No,Basic,College,Employed,M,Suburban,Married,Special Auto,Offer2,Call Center,Four-Door Car,Large,41343,2011,2011-02-23
45,HG,Oregon,No,Premium,Doctor,Disabled,F,Rural,Married,Personal Auto,Offer1,Branch,SUV,Medsize,65722,2011,2011-01-25
46,BU,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Call Center,Four-Door Car,Medsize,27331,2011,2011-01-31
47,XM,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Offer4,Agent,Two-Door Car,Medsize,45289,2011,2011-01-02
48,KP,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car,Medsize,34198,2011,2011-02-07
49,SH,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,90947,2011,2011-01-18
50,WE,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Small,95729,2011,2011-01-17
51,PY,California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Web,SUV,Medsize,51963,2011,2011-01-11
52,RB,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Offer4,Branch,Four-Door Car,Medsize,69909,2011,2011-02-21
53,XR,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer4,Agent,Four-Door Car,Medsize,95069,2011,2011-02-16
54,FR,California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Small,46645,2011,2011-01-17
55,SY,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,Offer3,Call Center,Four-Door Car,Small,17488,2011,2011-02-05
56,AP,California,No,Basic,College,Employed,M,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car,Medsize,67935,2011,2011-02-13
57,FS,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Call Center,SUV,Small,37417,2011,2011-02-23
58,ML,Oregon,No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,SUV,Medsize,29312,2011,2011-01-28
59,UB,Oregon,No,Premium,Master,Disabled,F,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,61619,2011,2011-02-28
60,CD,Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,86811,2011,2011-01-02
61,RU,California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Offer1,Call Center,Two-Door Car,Small,83859,2011,2011-01-22
62,FG,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Two-Door Car,Small,63582,2011,2011-01-15
63,NN,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,SUV,Medsize,71951,2011,2011-01-27
64,WB,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Branch,Four-Door Car,Large,37082,2011,2011-01-23
65,SM,Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize,52139,2011,2011-01-31
66,FL,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Agent,SUV,Medsize,82372,2011,2011-01-26
67,DP,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer4,Branch,Two-Door Car,Small,45816,2011,2011-01-10
68,GW,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,Two-Door Car,Large,33762,2011,2011-01-27
69,RZ,California,No,Premium,College,Disabled,F,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize,33670,2011,2011-01-09
70,PY,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Offer4,Agent,SUV,Medsize,70169,2011,2011-02-24
71,MO,Oregon,No,Basic,Master,Employed,M,Rural,Married,Personal Auto,Offer2,Web,Two-Door Car,Large,91628,2011,2011-02-11
72,HW,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,87852,2011,2011-02-12
73,HB,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Sports Car,Medsize,20453,2011,2011-02-04
74,BN,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,87372,2011,2011-01-18
75,YX,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Small,23800,2011,2011-02-11
76,DZ,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,87709,2011,2011-02-01
77,XW,Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,13033,2011,2011-02-15
78,LN,Washington,No,Extended,College,Employed,M,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,31673,2011,2011-02-06
79,OM,California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer2,Branch,Luxury Car,Small,82309,2011,2011-02-27
80,ZU,California,No,Extended,College,Unemployed,F,Rural,Single,Personal Auto,Offer3,Branch,Two-Door Car,Large,35962,2011,2011-01-26
81,VH,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,85817,2011,2011-02-26
82,DT,California,No,Basic,Doctor,Employed,M,Suburban,Married,Personal Auto,Offer3,Branch,SUV,Medsize,85712,2011,2011-01-27
83,YJ,Nevada,No,Basic,Master,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Large,88573,2011,2011-01-16
84,SQ,Oregon,No,Extended,College,Disabled,F,Suburban,Single,Personal Auto,Offer2,Agent,Four-Door Car,Small,19467,2011,2011-01-27
85,HF,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,88410,2011,2011-02-28
86,ET,California,Yes,Extended,College,Retired,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,79815,2011,2011-01-25
87,QC,California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Offer3,Web,Four-Door Car,Medsize,35222,2011,2011-01-01
88,CJ,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,15590,2011,2011-02-01
89,OI,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,48267,2011,2011-02-19
90,JY,Oregon,No,Premium,College,Medical Leave,M,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Small,67916,2011,2011-01-27
91,OE,Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Offer2,Call Center,Two-Door Car,Medsize,75231,2011,2011-02-27
92,CZ,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,33664,2011,2011-01-17
93,WK,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Offer1,Branch,Two-Door Car,Small,30175,2011,2011-02-10
94,ON,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,44465,2011,2011-01-24
95,TV,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Large,87155,2011,2011-02-24
96,KH,Arizona,No,Basic,Master,Medical Leave,F,Rural,Married,Personal Auto,Offer1,Branch,SUV,Medsize,48895,2011,2011-02-15
97,NZ,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,30757,2011,2011-02-16
98,RI,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize,22468,2011,2011-01-22
99,FZ,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Small,30935,2011,2011-02-25
100,UG,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,93476,2011,2011-01-11
101,AB,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,96670,2011,2011-01-31
102,XK,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate Auto,Offer3,Call Center,Two-Door Car,Medsize,64261,2011,2011-01-12
103,EV,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,68375,2011,2011-02-16
104,UN,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Web,SUV,Medsize,51653,2011,2011-02-09
105,TO,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Small,96662,2011,2011-01-19
106,MR,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,52087,2011,2011-01-04
107,DE,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,75225,2011,2011-01-09
108,EP,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,80820,2011,2011-01-27
109,GU,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Offer4,Agent,Four-Door Car,Medsize,99037,2011,2011-02-14
110,WI,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer4,Agent,Four-Door Car,Small,57118,2011,2011-02-27
111,YQ,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,Offer2,Web,Four-Door Car,Small,74870,2011,2011-02-12
112,MQ,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,SUV,Medsize,14219,2011,2011-02-26
113,KN,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,20603,2011,2011-02-20
114,CR,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,48975,2011,2011-02-02
115,JI,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Agent,SUV,Medsize,70886,2011,2011-02-15
116,VF,Oregon,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Personal Auto,Offer2,Agent,SUV,Medsize,72557,2011,2011-02-18
117,OX,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,28638,2011,2011-01-21
118,SK,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,Offer3,Agent,Two-Door Car,Medsize,55033,2011,2011-01-15
119,OO,California,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car,Medsize,88645,2011,2011-02-05
120,YT,Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Offer3,Web,Two-Door Car,Medsize,36855,2011,2011-02-24
121,CW,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer1,Call Center,Sports Car,Medsize,82151,2011,2011-01-05
122,DY,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer3,Branch,Two-Door Car,Small,22043,2011,2011-01-28
123,SH,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer3,Web,Luxury SUV,Medsize,36774,2011,2011-01-12
124,EM,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,43724,2011,2011-02-16
125,FH,Oregon,No,Premium,College,Employed,M,Suburban,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,85960,2011,2011-01-03
126,XA,Oregon,No,Extended,Master,Employed,F,Rural,Single,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,55993,2011,2011-02-07
127,GO,Arizona,No,Extended,College,Employed,M,Urban,Married,Special Auto,Offer1,Branch,Four-Door Car,Medsize,36627,2011,2011-01-13
128,QH,Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Personal Auto,Offer2,Web,Four-Door Car,Medsize,48047,2011,2011-01-03
129,RB,Washington,No,Basic,Master,Unemployed,F,Rural,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,50392,2011,2011-02-17
130,UH,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Sports Car,Medsize,65059,2011,2011-01-21
131,FV,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Special Auto,Offer1,Branch,Four-Door Car,Medsize,21968,2011,2011-01-26
132,QA,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,87025,2011,2011-01-31
133,TQ,Arizona,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small,13499,2011,2011-01-02
134,BU,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Web,Four-Door Car,Small,44523,2011,2011-02-07
135,MS,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,SUV,Medsize,41162,2011,2011-01-26
136,PU,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Offer1,Branch,Sports Car,Medsize,25891,2011,2011-01-11
137,RB,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer2,Agent,Four-Door Car,Small,81636,2011,2011-01-15
138,SX,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,26335,2011,2011-02-08
139,AZ,Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special Auto,Offer3,Branch,Four-Door Car,Small,95587,2011,2011-01-11
140,DS,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer4,Web,Two-Door Car,Large,81757,2011,2011-01-09
141,OJ,Arizona,No,Premium,Master,Employed,M,Urban,Married,Personal Auto,Offer1,Call Center,SUV,Medsize,94107,2011,2011-02-04
142,LP,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Branch,Sports Car,Medsize,84436,2011,2011-01-21
143,YV,Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer3,Agent,SUV,Medsize,64727,2011,2011-02-16
144,LM,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Large,19287,2011,2011-02-24
145,ZU,Nevada,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,Offer4,Web,Four-Door Car,Medsize,18643,2011,2011-01-18
146,AZ,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Offer1,Call Center,Four-Door Car,Medsize,82578,2011,2011-01-30
147,XC,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Call Center,Two-Door Car,Medsize,67861,2011,2011-01-09
148,YC,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Four-Door Car,Medsize,43143,2011,2011-02-01
149,EK,Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Branch,Four-Door Car,Large,59571,2011,2011-02-28
150,GD,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer4,Branch,Four-Door Car,Small,83998,2011,2011-01-31
151,WA,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer2,Agent,Sports Car,Medsize,25797,2011,2011-02-17
152,PD,Arizona,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Offer4,Agent,SUV,Medsize,27940,2011,2011-02-12
153,BS,Arizona,No,Extended,Bachelor,Medical Leave,F,Rural,Married,Personal Auto,Offer1,Branch,SUV,Medsize,77946,2011,2011-02-24
154,YM,California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,50253,2011,2011-02-01
155,NR,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Small,15332,2011,2011-02-06
156,RC,Oregon,No,Extended,College,Employed,M,Rural,Single,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,62865,2011,2011-01-23
157,CC,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Small,15295,2011,2011-01-21
158,KA,Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Personal Auto,Offer2,Agent,Sports Car,Medsize,61892,2011,2011-01-20
159,OS,Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Web,Two-Door Car,Large,94884,2011,2011-01-06
160,ND,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Offer2,Agent,Two-Door Car,Medsize,87334,2011,2011-02-22
161,ML,Washington,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,93326,2011,2011-02-27
162,YL,California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Agent,SUV,Medsize,74911,2011,2011-02-21
163,JP,Washington,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,69864,2011,2011-01-29
164,HL,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,53154,2011,2011-02-22
165,RI,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small,78966,2011,2011-02-21
166,IC,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,13702,2011,2011-01-10
167,BE,California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,10809,2011,2011-01-18
168,HT,Oregon,No,Extended,High School or Below,Employed,F,Urban,Divorced,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,87217,2011,2011-01-16
169,TH,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,95618,2011,2011-01-06
170,TS,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,19868,2011,2011-01-27
171,LP,Oregon,No,Premium,Doctor,Disabled,F,Urban,Divorced,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,45550,2011,2011-01-15
172,QR,Nevada,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,87004,2011,2011-01-09
173,OE,Nevada,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer3,Agent,Four-Door Car,Small,75747,2011,2011-01-28
174,DX,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,91392,2011,2011-02-26
175,AB,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer2,Call Center,Sports Car,Medsize,72731,2011,2011-01-04
176,RU,Washington,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer2,Agent,SUV,Medsize,49126,2011,2011-02-01
177,IS,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,12901,2011,2011-01-27
178,IX,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Web,Two-Door Car,Medsize,37561,2011,2011-02-14
179,HH,California,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Offer2,Call Center,Sports Car,Small,90090,2011,2011-01-23
180,IU,California,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,25463,2011,2011-02-18
181,KC,Nevada,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer3,Branch,Luxury Car,Medsize,11055,2011,2011-01-24
